player_name,main_position,is_goalkeeper,overall_elo,elo_2018-2019,club_2018-2019,elo_2019-2020,club_2019-2020,elo_2020-2021,club_2020-2021,elo_2021-2022,club_2021-2022,elo_2022-2023,club_2022-2023,elo_2023-2024,club_2023-2024,elo_2024-2025,club_2024-2025,elo_2025-2026,club_2025-2026
Henrik MØLLGAARD,PL,False,1553.6400000000485,1315.720000000015,AAH,1416.2968000000283,AAH,1499.931040000039,AAH,1566.908032000048,AAH,1639.054425600054,AAH,1635.2819404800546,AAH,1618.3343523840535,AAH,0,UNKNOWN
Omar Ingi MAGNUSSON,PL,False,1339.4400000000255,1375.8800000000238,AAH,1388.647200000027,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Rasmus THIEMER-JENSEN,PL,False,1197.7320000000002,1197.36,BSV,1197.1183999999998,FHK,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,1197.6720000000003,LTH,0.0,UNKNOWN,0,UNKNOWN
Nikolaj MARKUSSEN,PL,False,1646.4040000000662,1309.2800000000161,BSV,1407.16320000003,BSH,0.0,UNKNOWN,1448.5640000000355,TTH,1578.0264000000536,TTH,1700.0,TTH,1699.2,TTH,0,UNKNOWN
Janus SMARÁSON,PL,False,1356.1280000000258,1326.4000000000162,AAH,1415.4560000000286,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Stefan HUNDSTRUP,VF,False,1207.4480000000005,1210.6400000000015,BSV,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Aljosa REZAR,MV,True,1438.6019999999965,1459.8900000000367,BSH,1568.2666000000484,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Andreas Holst JENSEN,PL,False,1321.2680000000137,1295.440000000014,AAH,0.0,UNKNOWN,1310.2480000000144,AAH,1342.001600000018,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Sebastian SKUBE,PL,False,1471.4040000000523,1337.5600000000193,BSV,1420.226400000032,BSH,1567.4083200000557,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Johan HANSEN,PL,False,1357.8360000000152,1310.520000000012,BSV,1418.8488000000168,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Mark STRANDGAARD,HF,False,1372.9840000000204,1305.8400000000145,AAH,1366.4496000000229,AAH,1431.6716800000306,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Jesper Meinby PEDERSEN,PL,False,1253.1720000000078,1231.5600000000043,AAH,0.0,UNKNOWN,0.0,UNKNOWN,1266.4920000000081,KIF,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
René ANTONSEN,ST,False,1241.356000000005,1250.2400000000075,AAH,1256.0656000000085,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Nikolaj Øris NIELSEN,PL,False,1700.0,1399.7600000000261,BSV,1517.0944000000397,BSH,1654.026720000057,BSH,1700.0,BSH,1700.0,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Mads Øris NIELSEN,PL,False,1308.5840000000112,1285.2000000000105,BSV,1296.8080000000116,BSH,1344.9152000000176,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Michael KNUDSEN,ST,False,1271.4560000000108,1265.320000000009,BSV,1298.1608000000147,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Jacob LASSEN,PL,False,1685.4080000000822,1326.3600000000174,BSV,1393.6984000000252,BSH,1580.9379200000449,BSH,1700.0,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Klaus THOMSEN,PL,False,1176.7319999999954,1189.2799999999982,BSV,1183.243199999997,BSH,1168.318559999995,BSH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Kasper LARSEN,MV,True,1700.0,1443.0750000000346,BSH,1653.7905000000665,BSH,1699.7,BSH,1700.0,SJE,1700.0,SJE,1700.0,SJE,1700.0,BSH,0,UNKNOWN
Frederik Bech JENSEN,VF,False,1206.2720000000008,1208.9600000000012,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Kristian SAEVERÅS,MV,True,1418.9074999999996,1343.1400000000244,AAH,1504.136600000045,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Magnus SAUGSTRUP,ST,True,1360.2510000000275,1267.7700000000102,AAH,1317.1038000000183,AAH,1418.4068400000333,AAH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Jan GREBENC,PL,False,1234.6080000000036,1249.4400000000066,SKH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
Rickard FRISK,MV,True,1629.6214999999888,1478.1000000000406,KIF,1686.3440000000699,KIF,1700.0,TTH,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0.0,UNKNOWN,0,UNKNOWN
