team_code,team_name,seasons_played,avg_rating,peak_rating,total_games,career_change,consistency
TES,Team Esbjerg,5,1693.5,1757.9,159,11.6,45.6
ODE,Odense Håndbold,5,1690.1,1747.9,162,120.4,47.9
IKA,Ikast Håndbold,5,1604.3,1656.4,161,130.5,45.0
VHK,Viborg HK,5,1498.0,1609.0,151,-147.1,82.1
NFH,Nykøbing F. Håndbold,5,1480.5,1518.1,155,17.7,27.2
KBH,København Håndbold,5,1431.1,1470.4,146,20.5,53.2
SVK,Silkeborg-Voel KFUM,5,1343.4,1408.5,146,-82.9,45.7
AAR,AAR,4,1319.2,1361.3,112,-122.5,49.7
HHE,Horsens Håndbold Elite,5,1267.2,1348.8,142,3.1,51.4
HOL,HOL,3,1265.0,1329.1,54,3.6,88.2
RIN,Ringkøbing Håndbold,4,1260.4,1276.0,111,16.6,15.2
SKB,Skanderborg Håndbold,5,1225.7,1364.3,136,58.0,73.0
AJA,AJA,4,1194.6,1334.3,108,-309.7,114.2
