position,position_name,count,best_player,best_rating,overall_rank,avg_rating,median_rating,std_rating,min_rating,max_rating,season
HB,Højre back,24,Martin LARSEN,1474.0,1,1271.4166666666667,1255.55,72.21453946501998,1200.2,1474.0,2017-2018
HF,Højre fløj,41,Jacob LASSEN,1331.9,23,1237.0487804878048,1225.3,35.818459779499314,1200.4,1331.9,2017-2018
MV,Målvogter,24,Frank MIKKELSEN,1220.0,156,1204.4083333333333,1203.5,4.989982719031366,1199.0,1220.0,2017-2018
PL,Playmaker,67,Philip STENMALM,1420.3,3,1254.8626865671642,1223.9,61.38858307590214,1199.8,1420.3,2017-2018
ST,Streg,55,Bjarte MYRHOL,1329.0,25,1240.509090909091,1237.6,32.96030313106332,1200.4,1329.0,2017-2018
VB,Venstre back,21,Nicolai PEDERSEN,1437.4,2,1281.8523809523806,1263.6,69.93998583820004,1200.6,1437.4,2017-2018
VF,Venstre fløj,32,Lasse UTH,1320.0,30,1242.259375,1241.7,31.29025262400725,1200.5,1320.0,2017-2018
HB,Højre back,24,Kasper Irming ANDERSEN,1593.8,2,1360.6333333333332,1327.9499999999998,130.12628203158008,1200.4,1593.8,2018-2019
HF,Højre fløj,35,Mark STRANDGAARD,1419.1,31,1291.0285714285715,1295.3,74.22130489852854,1200.5,1419.1,2018-2019
MV,Målvogter,28,Frank MIKKELSEN,1306.0,105,1227.564285714286,1227.55,28.706964109076193,1197.8,1306.0,2018-2019
PL,Playmaker,68,Nikolaj Øris NIELSEN,1613.8,1,1337.644117647059,1313.85,102.97568526563077,1200.0,1613.8,2018-2019
ST,Streg,52,Bjarte MYRHOL,1444.4,24,1286.7480769230772,1272.35,68.04227489362663,1200.5,1444.4,2018-2019
VB,Venstre back,15,Lasse Kjær MØLLER,1554.1,4,1293.4733333333336,1241.7,120.59420423568493,1200.5,1554.1,2018-2019
VF,Venstre fløj,40,Lasse UTH,1444.3,25,1278.99,1266.95,69.6638735791463,1199.5,1444.3,2018-2019
HB,Højre back,19,Jesper DAHL,1511.2,8,1377.8157894736842,1372.8,93.57746798572764,1203.4,1511.2,2019-2020
HF,Højre fløj,35,Johan HANSEN,1486.9,17,1315.9600000000003,1303.8,91.26342995449396,1200.3,1486.9,2019-2020
MV,Målvogter,30,Björgvin Pall GUSTAVSSON,1327.9,99,1270.02,1278.4,31.269787114831733,1195.5,1327.9,2019-2020
PL,Playmaker,61,Nikolaj Øris NIELSEN,1529.4,2,1354.0901639344263,1345.7,106.11576336705438,1200.3,1529.4,2019-2020
ST,Streg,48,Miha ZVIZEJ,1486.0,18,1313.5895833333334,1300.4,84.69344781003046,1200.9,1486.0,2019-2020
VB,Venstre back,17,Lasse Kjær MØLLER,1539.9,1,1328.7823529411764,1288.8,122.83392362909215,1199.7,1539.9,2019-2020
VF,Venstre fløj,39,Emil JAKOBSEN,1469.5,24,1306.5564102564103,1314.7,85.26165237503902,1199.9,1469.5,2019-2020
HB,Højre back,18,Runar KARASON,1581.5,4,1335.4444444444443,1275.9499999999998,144.40794430738555,1200.3,1581.5,2020-2021
HF,Højre fløj,40,Andreas FLODMAN,1491.5,22,1295.4550000000002,1245.15,109.32594397324465,1200.6,1491.5,2020-2021
MV,Målvogter,32,Sebastian FRANDSEN,1371.3,70,1281.4125,1272.6,47.20076373083589,1201.0,1371.3,2020-2021
PL,Playmaker,77,Nikolaj LÆSØ,1635.3,1,1345.0233766233762,1321.6,114.29845614846283,1199.9,1635.3,2020-2021
ST,Streg,60,Jacob LASSEN,1589.8,3,1295.34,1251.6999999999998,104.8451387458859,1200.2,1589.8,2020-2021
VB,Venstre back,11,Aaron MENSING,1615.4,2,1267.9727272727273,1204.0,126.32291233904554,1200.2,1615.4,2020-2021
VF,Venstre fløj,40,Emil JAKOBSEN,1534.4,10,1309.365,1278.1999999999998,113.61667571267871,1199.9,1534.4,2020-2021
HB,Højre back,27,Eivind TANGEN,1592.4,2,1313.459259259259,1266.8,126.51868897901473,1200.2,1592.4,2021-2022
HF,Højre fløj,39,Lasse PEDERSEN,1506.3,26,1329.576923076923,1328.7,97.73325529359698,1201.9,1506.3,2021-2022
MV,Målvogter,39,Salah BOUTAF,1379.6,86,1276.4974358974357,1270.4,58.355397022669756,1187.7,1379.6,2021-2022
PL,Playmaker,99,Jacob LASSEN,1656.8,1,1361.279797979798,1336.1,125.46400653036972,1199.5,1656.8,2021-2022
ST,Streg,68,Emil BERGHOLT,1588.3,4,1304.4823529411763,1296.5,94.36677878186062,1201.0,1588.3,2021-2022
VB,Venstre back,10,Mishels LIABA,1384.1,84,1257.69,1225.95,68.73797995932735,1200.5,1384.1,2021-2022
VF,Venstre fløj,50,Bjarke CHRISTENSEN,1510.2,21,1302.7,1287.25,99.7088434863616,1200.4,1510.2,2021-2022
