player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Rasmus GRAFFE,AJX,Ajax København,1209.7,2,ST,False,NORMAL,209.7
Gustav Russel FALHOLT,AJX,Ajax København,1208.7,2,HB,False,NORMAL,208.7
Hakan SAHIN,AJX,Ajax København,1205.9,2,ST,False,NORMAL,205.9
Magnus PLANT,AJX,Ajax København,1203.4,2,HF,False,NORMAL,203.4
Nichlas POULSEN,AJX,Ajax København,1202.6,1,HF,False,NORMAL,202.6
Frederik Elmkjær HANSEN,AJX,Ajax København,1202.6,2,PL,False,NORMAL,202.6
Andreas Knigge HYLLEBERG,AJX,Ajax København,1202.2,1,PL,False,NORMAL,202.2
Jakob Vive RASMUSSEN,AJX,Ajax København,1202.0,2,ST,True,NORMAL,202.0
Jakob JESSEN,AJX,Ajax København,1201.6,2,VF,False,NORMAL,201.6
Mads Bro SØRENSEN,AJX,Ajax København,1201.4,1,ST,False,NORMAL,201.4
Frederik BJERRE,AJX,Ajax København,1201.3,1,VF,False,NORMAL,201.3
Magnus LARSEN,AJX,Ajax København,1201.0,1,HF,False,NORMAL,201.0
