player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
NIKOLAJ LÆSØ,ARH,Århus Håndbold,1580.0,24,PL,False,LEGENDARY,247.0
ANDERS KRAGH MARTINUSEN,ARH,Århus Håndbold,1528.1999999999998,23,PL,False,LEGENDARY,178.1
TORBEN PETERSEN,ARH,Århus Håndbold,1513.9,24,PL,False,LEGENDARY,181.2
TOBIAS TORPEGAARD MØLLER,ARH,Århus Håndbold,1279.9,21,VF,False,ELITE,102.7
BESARD HAKAJ,ARH,Århus Håndbold,1270.5,22,ST,False,ELITE,29.9
FREDRIK SCHILLING SØRENSEN,ARH,Århus Håndbold,1180.4,7,VF,False,NORMAL,24.5
JENS FREDSGAARD,ARH,Århus Håndbold,1139.1,23,MV,True,NORMAL,84.1
NIKOLAI SKOVMAND VINTHER,ARH,Århus Håndbold,1138.4,20,HF,False,NORMAL,36.2
LUKAS JØRGENSEN,ARH,Århus Håndbold,1123.2,20,ST,False,NORMAL,72.3
MADS PETER LØNBORG,ARH,Århus Håndbold,1110.0,16,HF,False,NORMAL,38.7
EMIL JESSEN,ARH,Århus Håndbold,1103.9,21,PL,False,NORMAL,88.9
ERIK VEJE RASMUSSEN,ARH,Århus Håndbold,1087.9,5,Ukendt,False,NORMAL,-1.0
ANTON LAURSEN,ARH,Århus Håndbold,1087.4,11,PL,False,NORMAL,5.1
CHRISTOFFER HOFFMANN BONDE,ARH,Århus Håndbold,1055.6999999999998,20,MV,True,NORMAL,10.6
MATHIAS LARSON,ARH,Århus Håndbold,1038.3,10,PL,False,NORMAL,23.3
PETER LUND,ARH,Århus Håndbold,1021.9,17,VF,False,NORMAL,0.9
JON KATBALLE CHRISTENSEN,ARH,Århus Håndbold,1019.9,6,HB,False,NORMAL,4.9
