player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Anders Kragh MARTINUSEN,FHK,Fredericia Håndbold Klub,1523.1,27,PL,False,NORMAL,124.9
Jakob MIKKELSEN,FHK,Fredericia Håndbold Klub,1263.4,26,HB,False,NORMAL,101.8
Mads Emil Bayer LENBROCH,FHK,Fredericia Håndbold Klub,1246.1,13,VF,False,NORMAL,28.6
Martin BISGAARD,FHK,Fredericia Håndbold Klub,1220.2,25,VF,False,NORMAL,85.3
Mathias HEDEGAARD,FHK,Fredericia Håndbold Klub,1189.0,24,ST,False,NORMAL,75.2
Emil TELLERUP,FHK,Fredericia Håndbold Klub,1187.5,7,MV,True,NORMAL,14.7
Mishels LIABA,FHK,Fredericia Håndbold Klub,1175.9,10,PL,False,NORMAL,42.4
Rasmus Meyer EJLERSEN,FHK,Fredericia Håndbold Klub,1172.7,24,ST,False,NORMAL,50.4
Jakob FREDERIKSEN,FHK,Fredericia Håndbold Klub,1157.8,15,ST,False,NORMAL,43.2
Nicolaj NØRAGER,FHK,Fredericia Håndbold Klub,1153.9,27,VB,False,NORMAL,138.9
Rune ANDERSEN,FHK,Fredericia Håndbold Klub,1137.7,22,PL,False,NORMAL,39.9
Kristian STOKLUND,FHK,Fredericia Håndbold Klub,1120.5,17,PL,False,NORMAL,105.5
Kasper YOUNG,FHK,Fredericia Håndbold Klub,1081.7,26,HF,False,NORMAL,66.7
Mikkel Møller LØVKVIST,FHK,Fredericia Håndbold Klub,1025.2,2,MV,True,NORMAL,10.2
Jonas Kruse KRISTENSEN,FHK,Fredericia Håndbold Klub,1021.1,5,VB,False,NORMAL,6.1
Rasmus BOYSEN,FHK,Fredericia Håndbold Klub,1015.4,1,VB,False,NORMAL,0.4
