player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Emil LÆRKE,GOG,GOG,1487.1,36,PL,False,NORMAL,84.2
Mathias GIDSEL,GOG,GOG,1463.0,21,PL,False,NORMAL,65.5
Emil Wernsdorf MADSEN,GOG,GOG,1327.7,33,PL,False,NORMAL,79.7
Oscar BERGENDAHL,GOG,GOG,1321.0,24,ST,False,NORMAL,42.7
Morten OLSEN,GOG,GOG,1301.7,25,PL,False,NORMAL,111.3
Simon PYTLICK,GOG,GOG,1248.8,34,PL,False,NORMAL,135.3
Viktor Gisli HALLGRIMSSON,GOG,GOG,1199.2,5,MV,True,NORMAL,-1.9
Kasper KILDELUND,GOG,GOG,1159.9,22,HF,False,NORMAL,54.6
Lasse Mathias PEDERSEN,GOG,GOG,1153.8,3,PL,False,NORMAL,2.5
Jerry TOLLBRING,GOG,GOG,1150.1,38,VF,False,NORMAL,135.1
Anders ZACHARIASSEN,GOG,GOG,1132.3,11,ST,False,NORMAL,34.0
Lukas JØRGENSEN,GOG,GOG,1058.9,23,ST,False,NORMAL,43.9
Morten TOFT OLSEN,GOG,GOG,1051.9,7,PL,False,NORMAL,36.9
Mathias LARSON,GOG,GOG,1041.3,14,VF,False,NORMAL,26.3
Kasper EMIL KILDELUND,GOG,GOG,1031.6,5,HF,False,NORMAL,16.6
Viktor VLASTOS,GOG,GOG,1029.2,7,HF,False,NORMAL,14.2
Anders JUHL ZACHARIASSEN,GOG,GOG,1029.0,6,ST,False,NORMAL,14.0
Christoffer DREYER,GOG,GOG,1021.8,2,ST,False,NORMAL,6.8
Joachim Lyng ALS,GOG,GOG,1021.0,6,VF,False,NORMAL,6.0
Torbjørn BERGERUD,GOG,GOG,1015.5,6,MV,True,NORMAL,0.5
Torbjørn SITTRUP BERGERUD,GOG,GOG,1013.7,2,MV,True,NORMAL,-1.3
