player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Jonas SAMUELSSON,HCM,HC Midtjylland,1299.2,29,HF,False,NORMAL,299.2
Besard HAKAJ,HCM,HC Midtjylland,1283.6,31,ST,False,NORMAL,283.6
Esben Lie HANSEN,HCM,HC Midtjylland,1275.5,17,PL,False,NORMAL,275.5
Rasmus CARLSEN,HCM,HC Midtjylland,1253.8,17,PL,False,NORMAL,253.8
Lars JAKOBSEN,HCM,HC Midtjylland,1247.7,15,VB,False,NORMAL,247.7
Casper SAS,HCM,HC Midtjylland,1239.4,18,VF,False,NORMAL,239.4
Jacob ØSTERGAARD,HCM,HC Midtjylland,1224.5,21,ST,False,NORMAL,224.5
Morten SLUNDT,HCM,HC Midtjylland,1220.1,9,HF,False,NORMAL,220.1
Casper EBBESEN,HCM,HC Midtjylland,1216.0,12,PL,False,NORMAL,216.0
Rasmus MADSEN,HCM,HC Midtjylland,1215.8,7,PL,False,NORMAL,215.8
Jacob LARSEN,HCM,HC Midtjylland,1213.4,5,PL,False,NORMAL,213.4
Jørgen RASMUSSEN,HCM,HC Midtjylland,1209.2,7,VF,False,NORMAL,209.2
Dennis Staunstrup KIRKEGAARD,HCM,HC Midtjylland,1209.1,4,HF,False,NORMAL,209.1
Georgi Arvelodi DIKHAMINJIA,HCM,HC Midtjylland,1208.0,8,HB,False,NORMAL,208.0
Andreas Frederik Flensted OLSEN,HCM,HC Midtjylland,1205.5,7,PL,False,NORMAL,205.5
Oliver Baadsgaard BONDROP,HCM,HC Midtjylland,1205.3,9,ST,False,NORMAL,205.3
Jacob Holk NIELSEN,HCM,HC Midtjylland,1204.3,8,PL,False,NORMAL,204.3
Emil Foldager JENSEN,HCM,HC Midtjylland,1203.7,7,HF,False,NORMAL,203.7
Mathias GJESTRUD,HCM,HC Midtjylland,1203.4,4,PL,False,NORMAL,203.4
Anders PETERSEN,HCM,HC Midtjylland,1203.3,3,MV,True,NORMAL,203.3
Eske HEMMINGSEN,HCM,HC Midtjylland,1202.1,4,MV,True,NORMAL,202.1
Lars Rismark EGGEN,HCM,HC Midtjylland,1200.8,2,MV,True,NORMAL,200.8
