player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
KASPER IRMING ANDERSEN,KIF,KIF Kolding,1526.6,30,HB,False,LEGENDARY,288.9
OLAFUR GUSTAFSSON,KIF,KIF Kolding,1391.1999999999998,25,PL,False,ELITE,269.6
MARTIN LARSEN,KIF,KIF Kolding,1388.1,16,PL,False,ELITE,71.0
JENS PESCHARDT,KIF,KIF Kolding,1270.3,31,PL,False,ELITE,148.2
MATTIAS THYNELL,KIF,KIF Kolding,1264.2,21,PL,False,ELITE,188.8
ANDREAS VÆVER,KIF,KIF Kolding,1190.3000000000002,29,VF,False,NORMAL,83.9
ANDREAS FLODMAN,KIF,KIF Kolding,1185.6,30,HF,False,NORMAL,170.6
CYRIL VIUDES,KIF,KIF Kolding,1114.1,29,ST,False,NORMAL,62.6
JACOB HANSEN,KIF,KIF Kolding,1075.5,9,ST,False,NORMAL,15.5
ALEXANDER MORSTEN,KIF,KIF Kolding,1075.1,28,ST,False,NORMAL,60.1
JEPPE LARSEN,KIF,KIF Kolding,1071.0,15,VF,False,NORMAL,15.4
ANDERS PETERSEN,KIF,KIF Kolding,1038.4,28,MV,True,NORMAL,1.5
LARS FREDERIKSEN,KIF,KIF Kolding,1038.1,8,Ukendt,False,NORMAL,-2.2
MATHIAS DAUGÅRD,KIF,KIF Kolding,1024.4,8,VF,False,NORMAL,9.4
JACOB KÜHNE,KIF,KIF Kolding,1021.6,6,PL,False,NORMAL,6.6
RICKARD FRISK,KIF,KIF Kolding,1012.8,28,MV,True,NORMAL,-2.2
