player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
JESPER DAHL,NSH,Nordsjælland Håndbold,1402.8,24,HB,False,LEGENDARY,183.1
KASPER KISUM,NSH,Nordsjælland Håndbold,1394.5,24,PL,False,ELITE,206.0
CARL-EMIL HAUNSTRUP,NSH,Nordsjælland Håndbold,1309.9,24,HF,False,ELITE,144.0
TOBIAS JØRGENSEN,NSH,Nordsjælland Håndbold,1203.1,24,PL,False,NORMAL,113.5
MATHIAS MØLLER,NSH,Nordsjælland Håndbold,1202.1999999999998,20,PL,False,NORMAL,104.1
FREDERIK IVERSEN,NSH,Nordsjælland Håndbold,1193.5,24,VF,False,NORMAL,98.9
ANDREAS JOHANN NIELSEN,NSH,Nordsjælland Håndbold,1135.8000000000002,23,ST,False,NORMAL,32.4
MATIAS RAVN CAMPBELL,NSH,Nordsjælland Håndbold,1098.5,22,PL,False,NORMAL,83.5
DANIEL ASTRUP PEDERSEN,NSH,Nordsjælland Håndbold,1070.4,6,ST,False,NORMAL,8.1
ANDERS AGGER,NSH,Nordsjælland Håndbold,1065.8,23,ST,False,NORMAL,21.7
MARCUS HOLMÉN,NSH,Nordsjælland Håndbold,1057.0,22,MV,True,NORMAL,42.0
FREDERIK KJÆR ANDERSSON,NSH,Nordsjælland Håndbold,1055.6999999999998,23,MV,True,NORMAL,4.1
FABIAN SANDVEN,NSH,Nordsjælland Håndbold,1047.6,12,PL,False,NORMAL,32.6
