player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
JACOB HOLM,REH,Ribe-Esbjerg HH,1390.2,29,PL,False,ELITE,375.2
LUKAS KARLSSON,REH,Ribe-Esbjerg HH,1267.1,27,PL,False,ELITE,252.1
MORTEN NYBERG,REH,Ribe-Esbjerg HH,1186.3,21,PL,False,NORMAL,171.3
MIHA ZVIZEJ,REH,Ribe-Esbjerg HH,1121.1,28,ST,False,NORMAL,106.1
YEHIA ELDERAA,REH,Ribe-Esbjerg HH,1113.2,18,VB,False,NORMAL,98.2
PELLE SCHILLING GULDAGER,REH,Ribe-Esbjerg HH,1102.4,20,VF,False,NORMAL,87.4
RASMUS NIELSEN,REH,Ribe-Esbjerg HH,1098.5,26,HF,False,NORMAL,83.5
MATHIAS JØRGENSEN,REH,Ribe-Esbjerg HH,1097.3,25,HF,False,NORMAL,82.3
RASMUS BOYSEN,REH,Ribe-Esbjerg HH,1089.0,25,MV,True,NORMAL,74.0
LASSE NIKOLAJSEN,REH,Ribe-Esbjerg HH,1060.3,18,VF,False,NORMAL,45.3
PHILIP HOLM,REH,Ribe-Esbjerg HH,1053.9,25,PL,False,NORMAL,38.9
JONAS BRUUS TIDEMAND,REH,Ribe-Esbjerg HH,1025.6,10,ST,False,NORMAL,10.6
SØREN TAU SØRENSEN,REH,Ribe-Esbjerg HH,1024.5,21,ST,False,NORMAL,9.5
EMIL TELLERUP,REH,Ribe-Esbjerg HH,1014.8,23,MV,True,NORMAL,-0.2
TIM WINKLER,REH,Ribe-Esbjerg HH,1013.8,19,MV,True,NORMAL,-1.2
RASMUS SCHMIDT LIND,REH,Ribe-Esbjerg HH,1013.6,11,MV,True,NORMAL,-1.4
KASPER NIELSEN,REH,Ribe-Esbjerg HH,1010.0,13,ST,False,NORMAL,-5.0
