player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MORTEN BALLING,SAH,SAH - Skanderborg AGF,1662.8,34,HF,False,LEGENDARY,260.5
THOMAS ARNOLDSEN,SAH,SAH - Skanderborg AGF,1598.7,32,HF,False,LEGENDARY,361.3
MORTEN HEMPEL JENSEN,SAH,SAH - Skanderborg AGF,1557.8,33,HF,False,LEGENDARY,206.6
LARS SKAARUP,SAH,SAH - Skanderborg AGF,1500.5,34,VF,False,LEGENDARY,162.0
MATHIAS BITSCH,SAH,SAH - Skanderborg AGF,1481.8,32,HF,False,LEGENDARY,143.5
KRISTIAN BONEFELD,SAH,SAH - Skanderborg AGF,1375.6999999999998,30,HF,False,ELITE,44.6
MIKE HAACK,SAH,SAH - Skanderborg AGF,1337.2,22,HF,False,ELITE,72.3
HÁKUN WEST AV TEIGUM,SAH,SAH - Skanderborg AGF,1231.8,30,HF,False,NORMAL,147.0
THOR CHRISTENSEN,SAH,SAH - Skanderborg AGF,1178.1,33,HF,False,NORMAL,65.1
ALLAN TOFT HANSEN,SAH,SAH - Skanderborg AGF,1174.1,17,HF,False,NORMAL,2.7
MADS KALSTRUP,SAH,SAH - Skanderborg AGF,1142.7,8,ST,False,NORMAL,6.8
NICK RASMUSSEN,SAH,SAH - Skanderborg AGF,1115.2,5,HF,False,NORMAL,-1.0
JON KATBALLE,SAH,SAH - Skanderborg AGF,1072.4,21,HF,False,NORMAL,57.4
MATHIAS SMED,SAH,SAH - Skanderborg AGF,1062.3,25,HF,False,NORMAL,13.2
LUKAS GOLLER,SAH,SAH - Skanderborg AGF,1037.5,13,PL,False,NORMAL,22.5
FREDERIK ARNOLDSEN,SAH,SAH - Skanderborg AGF,1032.2,13,ST,False,NORMAL,17.2
