player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MADS PETER-LØNBORG,SFH,Skive fH,1324.2,28,PL,False,ELITE,211.4
MAGNUS HAUBRO JENSEN,SFH,Skive fH,1303.4,26,PL,False,ELITE,180.0
NICKOLEI JENSEN,SFH,Skive fH,1252.2,26,PL,False,ELITE,123.5
SHADRACH-AMIE NSONI,SFH,Skive fH,1238.3000000000002,24,MV,True,NORMAL,117.9
TOBIAS SVEND RASMUSSEN,SFH,Skive fH,1229.5,22,PL,False,NORMAL,117.2
MALTE JUSTESEN,SFH,Skive fH,1218.0,27,VF,False,NORMAL,93.4
ANDREAS SØGAARD RASMUSSEN,SFH,Skive fH,1201.9,26,ST,False,NORMAL,86.1
OLIVER JUHL,SFH,Skive fH,1179.3,27,HF,False,NORMAL,72.0
BENJAMIN HOLM,SFH,Skive fH,1162.4,17,HB,False,NORMAL,50.2
MAGNUS SØNNICHSEN,SFH,Skive fH,1159.3,22,HF,False,NORMAL,42.3
MAGNUS BRANDBYGE,SFH,Skive fH,1158.0,25,MV,True,NORMAL,38.5
MATIAS DAMGAARD,SFH,Skive fH,1125.8,26,PL,False,NORMAL,110.8
ANDERS GADE,SFH,Skive fH,1113.6,24,PL,False,NORMAL,98.6
SØREN TAU SØRENSEN,SFH,Skive fH,1109.0,19,ST,False,NORMAL,8.4
FREDERIK SASS,SFH,Skive fH,1056.9,13,VF,False,NORMAL,41.9
ANDREAS BOHL DAMGAARD,SFH,Skive fH,1043.2,9,PL,False,NORMAL,28.2
ANDREAS SØGAARD RASMUSSENASSIST,SFH,Skive fH,1037.3,14,ST,False,NORMAL,22.3
