player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Aaron MENSING,SJH,SønderjyskE Herrehåndbold,1510.5,24,PL,False,NORMAL,111.0
Oliver Nøddesbo EGGERT,SJH,SønderjyskE Herrehåndbold,1453.3,24,PL,False,NORMAL,55.6
Mikkel Kjær MØLLER,SJH,SønderjyskE Herrehåndbold,1426.9,21,VF,False,NORMAL,52.5
Frederik LADEFOGED,SJH,SønderjyskE Herrehåndbold,1407.2,11,ST,False,NORMAL,20.5
Jon ANDERSEN,SJH,SønderjyskE Herrehåndbold,1402.0,24,PL,False,NORMAL,77.7
Frederik BØRM,SJH,SønderjyskE Herrehåndbold,1370.3,19,ST,False,NORMAL,41.8
Kasper OLSEN,SJH,SønderjyskE Herrehåndbold,1369.9,12,PL,False,NORMAL,36.5
Christian JENSEN,SJH,SønderjyskE Herrehåndbold,1360.0,10,HF,False,NORMAL,32.7
Lasse HAMANN-BOERITHS,SJH,SønderjyskE Herrehåndbold,1247.9,9,PL,False,NORMAL,11.7
Kristian Dahl PEDERSEN,SJH,SønderjyskE Herrehåndbold,1241.1,3,MV,True,NORMAL,16.5
Arnar Birkir HÁLFDÁNSSON,SJH,SønderjyskE Herrehåndbold,1195.6,20,HB,False,NORMAL,46.3
Rasmus BERTELSEN,SJH,SønderjyskE Herrehåndbold,1161.4,1,ST,False,NORMAL,1.8
Oskar SUNNEFELDT,SJH,SønderjyskE Herrehåndbold,1061.7,24,PL,False,NORMAL,46.7
Alec SMIT,SJH,SønderjyskE Herrehåndbold,1055.9,10,HF,False,NORMAL,40.9
Sveinn JÓHANNSSON,SJH,SønderjyskE Herrehåndbold,1043.8,15,ST,False,NORMAL,28.8
Josip CAVAR,SJH,SønderjyskE Herrehåndbold,1022.4,7,MV,True,NORMAL,7.4
