player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MARKUS OLSSON,SKH,Skjern Håndbold,1281.9,36,HF,False,ELITE,266.9
JESPER KONRADSSON,SKH,Skjern Håndbold,1271.0,36,HF,False,ELITE,256.0
KASPER SØNDERGAARD,SKH,Skjern Håndbold,1259.9,33,HF,False,ELITE,244.9
EIVIND TANGEN,SKH,Skjern Håndbold,1211.4,36,HF,False,NORMAL,196.4
BJARTE MYRHOL,SKH,Skjern Håndbold,1202.9,35,HF,False,NORMAL,187.9
RENÉ RASMUSSEN,SKH,Skjern Håndbold,1158.6,26,HF,False,NORMAL,143.6
ANDERS EGGERT,SKH,Skjern Håndbold,1103.6,34,VF,False,NORMAL,88.6
JONATHAN STENBÄCKEN,SKH,Skjern Håndbold,1100.7,34,HF,False,NORMAL,85.7
BJARKE CHRISTENSEN,SKH,Skjern Håndbold,1093.4,25,VF,False,NORMAL,78.4
CORNELIUS KRAGH AASTRUP,SKH,Skjern Håndbold,1070.5,25,VB,False,NORMAL,55.5
CHRISTOFFER CICHOSZ,SKH,Skjern Håndbold,1068.4,33,HF,False,NORMAL,53.4
MATHIAS GLIESE JENSEN,SKH,Skjern Håndbold,1029.6,6,HF,False,NORMAL,14.6
TANDRI MÁR KONRÁÐSSON,SKH,Skjern Håndbold,1024.7,24,HF,False,NORMAL,9.7
TIBOR IVANISEVIC,SKH,Skjern Håndbold,1015.0,33,PL,True,NORMAL,0.0
EMIL NIELSEN,SKH,Skjern Håndbold,1014.4,30,MV,True,NORMAL,-0.6
HENRIK KRONBORG,SKH,Skjern Håndbold,1014.1,5,HF,False,NORMAL,-0.9
OLE NØRGAARD,SKH,Skjern Håndbold,1013.6,6,HF,False,NORMAL,-1.4
