player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
CHRISTOFFER DREYER,TMH,TMS Ringsted,1683.8,29,HF,False,LEGENDARY,281.2
TOBIAS NIELSEN,TMH,TMS Ringsted,1648.0,30,HF,False,LEGENDARY,248.0
BENJAMIN HALLGREN,TMH,TMS Ringsted,1647.1999999999998,29,HF,False,LEGENDARY,307.4
MARK NIKOLAJSEN,TMH,TMS Ringsted,1486.7,23,PL,False,LEGENDARY,95.3
OLIVER WOSNIAK,TMH,TMS Ringsted,1358.3,11,HF,False,ELITE,63.8
VICTOR WOLF,TMH,TMS Ringsted,1329.3,27,VF,False,ELITE,74.0
TOBIAS TOMBAK,TMH,TMS Ringsted,1284.6,27,HF,False,ELITE,159.5
FREDERIK HORN,TMH,TMS Ringsted,1272.4,26,HF,False,ELITE,120.9
ANDREAS HAAGEN,TMH,TMS Ringsted,1207.0,29,MV,True,NORMAL,11.3
ANDERS AGGER,TMH,TMS Ringsted,1194.0,28,ST,False,NORMAL,79.1
JOACHIM MØLLER,TMH,TMS Ringsted,1154.9,22,HF,False,NORMAL,14.2
MARC UHD,TMH,TMS Ringsted,1120.4,12,HF,False,NORMAL,-2.9
KENNETH EUGEN OLSEN,TMH,TMS Ringsted,1120.4,6,HF,False,NORMAL,-2.4
SIMON OOMS,TMH,TMS Ringsted,1108.7,27,ST,False,NORMAL,93.7
MALTE EICHHORST,TMH,TMS Ringsted,1106.7,26,MV,True,NORMAL,12.2
AXEL ANDERSSON,TMH,TMS Ringsted,1075.1,22,HF,False,NORMAL,60.1
DINES KJELDGAARD,TMH,TMS Ringsted,1029.1,9,HF,False,NORMAL,14.1
OSCAR LYKKE,TMH,TMS Ringsted,1028.0,5,HF,False,NORMAL,13.0
