player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
RUNE HOYER SCHRØDER,TMT,TM Tønder Håndbold,1187.3,26,VB,False,NORMAL,172.3
OLIVER NØDDESBO EGGERT,TMT,TM Tønder Håndbold,1156.8,22,HF,False,NORMAL,141.8
ULRIK NØDDESBO EGGERT,TMT,TM Tønder Håndbold,1119.8,25,HF,False,NORMAL,104.8
KRISTIAN STOKLUND LARSEN,TMT,TM Tønder Håndbold,1110.0,23,PL,False,NORMAL,95.0
EMIL BERGHOLT,TMT,TM Tønder Håndbold,1097.0,26,HF,True,NORMAL,82.0
KRISTIAN KLITGAARD,TMT,TM Tønder Håndbold,1094.7,19,VF,False,NORMAL,79.7
HANS MARTIN ASMUSSEN,TMT,TM Tønder Håndbold,1090.7,25,HF,False,NORMAL,75.7
NICLAS THYSSEN,TMT,TM Tønder Håndbold,1073.3,21,HF,False,NORMAL,58.3
ROLF RAVN,TMT,TM Tønder Håndbold,1073.1,25,HF,False,NORMAL,58.1
MARTIN KÆRGAARD PEDERSEN,TMT,TM Tønder Håndbold,1069.0,24,ST,False,NORMAL,54.0
THOMAS SCHULTZ CLAUSEN,TMT,TM Tønder Håndbold,1052.6,17,HF,False,NORMAL,37.6
LASSE HAMANN-BOERITHS,TMT,TM Tønder Håndbold,1038.5,11,HF,False,NORMAL,23.5
THOMAS OESEN,TMT,TM Tønder Håndbold,1027.5,10,PL,False,NORMAL,12.5
MATHIAS HØYER MOSEL,TMT,TM Tønder Håndbold,1018.7,23,MV,True,NORMAL,3.7
CHRISTIAN TRANS,TMT,TM Tønder Håndbold,1015.0,26,PL,True,NORMAL,0.0
TORBEN SØRENSEN,TMT,TM Tønder Håndbold,1013.3,6,HF,False,NORMAL,-1.7
MADS THOMSEN,TMT,TM Tønder Håndbold,1008.1,19,HF,False,NORMAL,-6.9
