player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
NIKOLAJ LÆSØ,AAH,Aalborg Håndbold,1723.4,34,PL,False,LEGENDARY,322.9
SEBASTIAN SKUBE,BSH,Bjerringbro-Silkeborg,1677.3,35,HF,False,LEGENDARY,275.2
AARON MENSING,TTH,TTH Holstebro,1675.2,35,HF,False,LEGENDARY,312.0
JACOB LASSEN,BSH,Bjerringbro-Silkeborg,1674.6,35,HF,False,LEGENDARY,330.2
EMIL JAKOBSEN,GOG,GOG,1635.8,34,HF,False,LEGENDARY,298.2
NIKOLAJ ØRIS NIELSEN,BSH,Bjerringbro-Silkeborg,1623.6,33,HF,False,LEGENDARY,226.0
MAGNUS BRAMMING,TTH,TTH Holstebro,1614.2,31,HF,False,LEGENDARY,242.3
JESPER KONRADSSON,SKH,Skjern Håndbold,1613.0,30,HF,False,LEGENDARY,265.5
PETER BALLING,KIF,KIF Kolding,1597.1,30,HF,False,LEGENDARY,299.3
RUNAR KARASON,REH,Ribe-Esbjerg HH,1584.4,27,HF,False,LEGENDARY,251.0
EIVIND TANGEN,SKH,Skjern Håndbold,1581.7,30,HF,False,LEGENDARY,216.0
ANDERS KRAGH MARTINUSEN,FHK,Fredericia Håndbold Klub,1575.5,27,HF,False,LEGENDARY,215.9
MATHIAS GIDSEL,GOG,GOG,1575.0,33,HF,False,LEGENDARY,344.9
SEBASTIAN BARTHOLD,AAH,Aalborg Håndbold,1565.4,31,HF,False,LEGENDARY,228.1
JOHAN MEKLENBORG,TTH,TTH Holstebro,1535.8000000000002,15,HF,False,LEGENDARY,139.9
MAGNUS SAUGSTRUP,AAH,Aalborg Håndbold,1526.5,32,HF,False,LEGENDARY,234.3
JESPER KOKHOLM,LTH,Lemvig-Thyborøn Håndbold,1515.3000000000002,26,HF,False,LEGENDARY,234.4
ANDREAS FLODMAN,KIF,KIF Kolding,1510.1999999999998,22,HF,False,LEGENDARY,168.6
MADS KJELDGAARD ANDERSEN,BSH,Bjerringbro-Silkeborg,1503.6,33,HF,False,LEGENDARY,157.1
HENRIK MØLLGAARD,AAH,Aalborg Håndbold,1492.8,32,HF,False,LEGENDARY,146.8
ANDERS EGGERT,SKH,Skjern Håndbold,1481.3,27,HF,False,LEGENDARY,153.3
RENÉ RASMUSSEN,SKH,Skjern Håndbold,1475.3000000000002,30,HF,False,LEGENDARY,171.4
MARK STRANDGAARD,AAH,Aalborg Håndbold,1471.0,25,HF,False,LEGENDARY,145.3
MARK NIKOLAJSEN,LTH,Lemvig-Thyborøn Håndbold,1465.9,21,HF,False,LEGENDARY,185.8
FELIX CLAAR,AAH,Aalborg Håndbold,1459.7,34,HF,False,LEGENDARY,444.7
THOMAS MOGENSEN,SJH,SønderjyskE Herrehåndbold,1459.1,30,HF,False,LEGENDARY,186.8
JONAS PORUP,TTH,TTH Holstebro,1454.8,33,HF,False,LEGENDARY,135.7
JONAS LANGERHUUS,LTH,Lemvig-Thyborøn Håndbold,1450.4,25,HF,False,LEGENDARY,170.6
MATHIAS JØRGENSEN,REH,Ribe-Esbjerg HH,1447.0,26,HF,False,LEGENDARY,168.6
LUKAS SANDELL,AAH,Aalborg Håndbold,1444.3,34,HF,False,LEGENDARY,429.3
JONAS SAMUELSSON,AAH,Aalborg Håndbold,1441.5,25,HF,False,LEGENDARY,103.8
ERIK THORSTEINSEN TOFT,MTH,Mors-Thy Håndbold,1436.1,21,HF,False,LEGENDARY,117.7
BJARKE CHRISTENSEN,MTH,Mors-Thy Håndbold,1433.3000000000002,25,HF,False,LEGENDARY,198.4
MARCUS DAHLIN,SJH,SønderjyskE Herrehåndbold,1423.3,24,HF,False,LEGENDARY,106.2
JON ANDERSEN,SJH,SønderjyskE Herrehåndbold,1422.6,20,HF,False,LEGENDARY,135.6
ODINN RIKHARDSSON,TTH,TTH Holstebro,1418.6,34,HF,False,LEGENDARY,157.0
