team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
REH,Ribe-Esbjerg HH,16,1255.5,1451.4,1054.0,365,22.8,8,2,7,"{'HB': 3, 'HF': 2, 'PL': 4, 'VF': 2, 'ST': 2, 'VB': 1, 'MV': 2}"
SAH,SAH - Skanderborg AGF,16,1248.4,1443.7,1024.9,286,17.9,7,2,6,"{'PL': 6, 'VF': 2, 'HB': 1, 'ST': 3, 'HF': 2, 'MV': 2}"
SKH,Skjern Håndbold,18,1244.6,1569.9,1018.6,324,18.0,7,2,7,"{'PL': 7, 'HB': 1, 'ST': 3, 'HF': 2, 'VF': 2, 'VB': 1, 'MV': 2}"
TTH,TTH Holstebro,19,1241.1,1557.3,1039.8,332,17.5,10,3,6,"{'PL': 9, 'ST': 2, 'HB': 1, 'VF': 2, 'HF': 2, 'MV': 3}"
FHK,Fredericia Håndbold Klub,16,1227.8,1572.8,1054.6,356,22.2,6,2,5,"{'PL': 7, 'VF': 1, 'HF': 2, 'ST': 4, 'MV': 2}"
AAH,Aalborg Håndbold,19,1208.6,1469.0,1031.4,379,19.9,6,2,6,"{'PL': 7, 'VF': 2, 'HF': 2, 'ST': 4, 'HB': 2, 'MV': 2}"
NSH,Nordsjælland Håndbold,14,1198.4,1454.7,1050.7,287,20.5,5,3,6,"{'HF': 2, 'PL': 5, 'VF': 1, 'ST': 3, 'HB': 1, 'MV': 2}"
SJH,SønderjyskE Herrehåndbold,16,1196.5,1429.9,1023.9,278,17.4,5,2,6,"{'PL': 6, 'VB': 1, 'ST': 2, 'VF': 3, 'HF': 2, 'MV': 2}"
BSH,Bjerringbro-Silkeborg,16,1189.1,1418.4,1019.0,313,19.6,5,2,5,"{'PL': 7, 'ST': 3, 'HF': 2, 'VF': 2, 'MV': 2}"
MTH,Mors-Thy Håndbold,19,1180.4,1390.9,1022.1,351,18.5,5,2,6,"{'PL': 8, 'HF': 2, 'VF': 2, 'MV': 2, 'ST': 4, 'VB': 1}"
KIF,KIF Kolding,19,1164.4,1429.4,1020.4,296,15.6,5,3,6,"{'PL': 5, 'ST': 6, 'VF': 2, 'HF': 2, 'MV': 3, 'VB': 1}"
GOG,GOG,17,1164.2,1461.8,1029.7,273,16.1,3,2,5,"{'PL': 5, 'ST': 5, 'HF': 3, 'VF': 2, 'MV': 2}"
TMH,TMS Ringsted,16,1153.6,1417.4,1012.7,307,19.2,2,3,6,"{'PL': 6, 'VF': 1, 'MV': 3, 'ST': 4, 'HF': 1, 'HB': 1}"
LTH,Lemvig-Thyborøn Håndbold,16,1142.5,1293.4,1030.7,254,15.9,2,2,6,"{'ST': 3, 'PL': 6, 'VB': 1, 'HF': 2, 'MV': 2, 'VF': 2}"
