player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
STINE EIBERG JØRGENSEN,AJK,Ajax København,1396.3,30,PL,False,ELITE,153.1
STINE HOLM,AJK,Ajax København,1386.1,15,HF,False,ELITE,61.5
ANNA GRUNDTVIG,AJK,Ajax København,1351.7,28,VF,False,ELITE,122.8
STINE NØRKLIT LØNBORG,AJK,Ajax København,1304.0,30,PL,False,ELITE,168.0
CECILIE SPECHT,AJK,Ajax København,1247.1,29,HB,False,NORMAL,144.9
LOUISA MITTET,AJK,Ajax København,1243.4,28,HB,False,NORMAL,130.0
MAJA EIBERG JØRGENSEN,AJK,Ajax København,1167.5,14,PL,False,NORMAL,58.5
SOFIE BARDRUM,AJK,Ajax København,1165.6,30,ST,False,NORMAL,88.9
SIW AABECH,AJK,Ajax København,1129.0,27,PL,False,NORMAL,75.9
DENNIS BO JENSEN,AJK,Ajax København,1084.6,6,Ukendt,False,NORMAL,-1.5
STINE BINDSLEV HOLM,AJK,Ajax København,1077.0,14,HF,False,NORMAL,62.0
MATHILDE NIELSEN,AJK,Ajax København,1056.5,29,VF,False,NORMAL,41.5
SARAH NØRKLIT LØNBORG,AJK,Ajax København,1049.2,29,MV,True,NORMAL,6.8
ROSA SKOVLUND SCHMIDT,AJK,Ajax København,1047.2,20,HF,False,NORMAL,32.2
EMMA KARSBÆK EGGERTSEN,AJK,Ajax København,1023.6,8,PL,False,NORMAL,8.6
LOUISE PETTERSSON,AJK,Ajax København,1014.5,26,MV,True,NORMAL,-0.5
