player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Line GYLDENLØVE,BFH,Bjerringbro FH,1321.6,30,PL,False,ELITE,123.1
Melina KRISTENSEN,BFH,Bjerringbro FH,1321.4,22,HF,False,ELITE,70.3
Line FRANDSEN,BFH,Bjerringbro FH,1305.4,29,PL,False,ELITE,132.6
Arlinda HAJDARI,BFH,Bjerringbro FH,1232.7,27,HB,False,NORMAL,56.5
Laura JENSEN,BFH,Bjerringbro FH,1199.3,20,PL,False,NORMAL,98.7
Louise HALD,BFH,Bjerringbro FH,1189.1999999999998,27,HF,False,NORMAL,82.6
Emilie BANGSHØI,BFH,Bjerringbro FH,1185.4,28,VF,False,NORMAL,95.6
Sidsel POULSEN,BFH,Bjerringbro FH,1153.1,26,ST,False,NORMAL,64.8
Marianne HAUGSTED,BFH,Bjerringbro FH,1127.0,24,PL,False,NORMAL,44.2
Rikke Dahl NIELSEN,BFH,Bjerringbro FH,1108.0,18,ST,False,NORMAL,26.5
Sara LILHOLT,BFH,Bjerringbro FH,1107.9,6,ST,False,NORMAL,5.9
Mathilde PIIL,BFH,Bjerringbro FH,1105.3,18,VF,False,NORMAL,28.1
Josephine NORDSTRØM,BFH,Bjerringbro FH,1093.4,3,MV,True,NORMAL,3.9
Emma ERNST,BFH,Bjerringbro FH,1084.8,22,PL,False,NORMAL,41.0
Clara BAK,BFH,Bjerringbro FH,1073.1,11,MV,True,NORMAL,5.7
Sofie LUND,BFH,Bjerringbro FH,1062.2,10,ST,False,NORMAL,13.5
