player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
FREDERIKKE GULMARK,HHE,Horsens Håndbold Elite,1264.0,22,VB,False,ELITE,249.0
MELISSA PETRÉN,HHE,Horsens Håndbold Elite,1210.5,23,PL,False,NORMAL,195.5
EMILY BAUNSGAARD,HHE,Horsens Håndbold Elite,1110.1,22,PL,False,NORMAL,95.1
DANIELA GUSTIN,HHE,Horsens Håndbold Elite,1104.4,10,HF,False,NORMAL,49.1
CAMILLA MADSEN,HHE,Horsens Håndbold Elite,1089.7,22,PL,False,NORMAL,74.7
LINE SKAK,HHE,Horsens Håndbold Elite,1079.4,21,ST,False,NORMAL,38.3
OTHILIA BRØNDUM CHRISTENSEN,HHE,Horsens Håndbold Elite,1078.3000000000002,9,PL,False,NORMAL,18.9
CHARLOTTE BISSER,HHE,Horsens Håndbold Elite,1055.6,17,HF,False,NORMAL,40.6
METTE LASSEN,HHE,Horsens Håndbold Elite,1048.8,17,VF,False,NORMAL,33.8
KATHRINE KUBICKI,HHE,Horsens Håndbold Elite,1035.1,7,VF,False,NORMAL,20.1
SOFIE FYNBO LARSEN,HHE,Horsens Håndbold Elite,1034.7,15,PL,False,NORMAL,19.7
NADJA LÆRKE JENSEN,HHE,Horsens Håndbold Elite,1027.5,7,HB,False,NORMAL,12.5
CAMILLA SOMMER,HHE,Horsens Håndbold Elite,1025.0,8,VF,False,NORMAL,10.0
MELINA KRISTENSEN,HHE,Horsens Håndbold Elite,1023.9,6,HF,False,NORMAL,8.9
RICKA FALK GINDRUP,HHE,Horsens Håndbold Elite,1022.3,8,ST,False,NORMAL,7.3
MÄRTA HEDENQUIST,HHE,Horsens Håndbold Elite,1017.3,13,ST,False,NORMAL,2.3
RIKKE SCHMIDT,HHE,Horsens Håndbold Elite,1014.4,9,MV,True,NORMAL,-0.6
CLAUDIA ROMPEN,HHE,Horsens Håndbold Elite,1014.0,6,MV,True,NORMAL,-1.0
FREDERIKKE RASMUSSEN,HHE,Horsens Håndbold Elite,1012.4,21,MV,True,NORMAL,-2.6
