player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Tea THOMASSEN,HOL,Holstebro Håndbold,1210.5,2,PL,False,NORMAL,10.5
Cecilia HOVGAARD,HOL,Holstebro Håndbold,1209.3,2,PL,False,NORMAL,9.3
Julie BJERREGAARD,HOL,Holstebro Håndbold,1206.5,2,VF,False,NORMAL,6.5
Maja Lundgren PYNDT,HOL,Holstebro Håndbold,1203.7,1,PL,False,NORMAL,3.7
Mathilde HANSEN,HOL,Holstebro Håndbold,1203.6,2,ST,False,NORMAL,3.6
Evi JASPERS,HOL,Holstebro Håndbold,1202.3,2,VF,False,NORMAL,2.3
Camilla PEDERSEN,HOL,Holstebro Håndbold,1201.7,1,ST,False,NORMAL,1.7
Mathilde HYLLEBERG,HOL,Holstebro Håndbold,1201.7,2,PL,False,NORMAL,1.7
Signe Juul ABILDGAARD,HOL,Holstebro Håndbold,1201.3,1,PL,False,NORMAL,1.3
Josefine JENSEN,HOL,Holstebro Håndbold,1201.1,2,VF,False,NORMAL,1.1
