player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
INGVILD BAKKERUD,IKA,Ikast Håndbold,1711.1,34,VB,False,LEGENDARY,312.3
SIMONE PETERSEN,IKA,Ikast Håndbold,1681.5,35,PL,False,LEGENDARY,296.3
STINE SKOGRAND,IKA,Ikast Håndbold,1534.4,33,HB,False,LEGENDARY,184.2
EMMA FRIIS,IKA,Ikast Håndbold,1485.5,30,VF,False,LEGENDARY,134.9
JULIE SCAGLIONE,IKA,Ikast Håndbold,1402.1,33,VB,False,LEGENDARY,264.4
SARAH IVERSEN,IKA,Ikast Håndbold,1398.2,31,ST,False,ELITE,69.8
EMMA LINDQVIST,IKA,Ikast Håndbold,1361.5,32,PL,False,ELITE,182.3
LINE HOUGAARD,IKA,Ikast Håndbold,1324.9,28,HF,False,ELITE,102.6
LINE UNO,IKA,Ikast Håndbold,1307.6,26,PL,False,ELITE,58.5
CECILIE BRANDT,IKA,Ikast Håndbold,1280.5,32,HF,False,ELITE,107.7
VILDE INGEBORG JOHANSEN,IKA,Ikast Håndbold,1262.0,33,ST,False,ELITE,78.2
ALBERTE EBLER,IKA,Ikast Håndbold,1215.1,10,HB,False,NORMAL,88.7
JULIE GANTZEL,IKA,Ikast Håndbold,1146.6,14,ST,False,NORMAL,19.5
TRINE MORTENSEN,IKA,Ikast Håndbold,1139.7,23,VF,False,NORMAL,124.7
JESSICA RYDE,IKA,Ikast Håndbold,1089.8,28,MV,True,NORMAL,-0.4
KASPER CHRISTENSEN,IKA,Ikast Håndbold,1073.7,8,Ukendt,False,NORMAL,-2.0
ANDREA AUSTMO,IKA,Ikast Håndbold,1011.8,31,MV,True,NORMAL,-3.2
