player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
HELENE KINDBERG,KBH,København Håndbold,1781.1,35,HF,False,LEGENDARY,379.8
STINE JØRGENSEN,KBH,København Håndbold,1590.2,23,HF,False,LEGENDARY,191.9
TABEA SCHMID,KBH,København Håndbold,1493.3,35,HF,False,LEGENDARY,324.5
EMMA NAVNE,KBH,København Håndbold,1443.9,32,HF,False,LEGENDARY,178.4
EMILIE YTTING PEDERSEN,KBH,København Håndbold,1432.0,28,HF,False,LEGENDARY,126.8
PERNILLE BRANDENBORG,KBH,København Håndbold,1393.4,35,HF,False,ELITE,153.2
CLARA SKØTT,KBH,København Håndbold,1354.4,12,HF,False,ELITE,60.3
FREJA COHRT,KBH,København Håndbold,1341.2,14,HF,False,ELITE,31.7
CATHARINA MOLENAAR,KBH,København Håndbold,1316.3,30,HF,False,ELITE,143.0
EMILIE YTTING,KBH,København Håndbold,1236.6,7,HF,False,NORMAL,35.0
TONJE LØSETH,KBH,København Håndbold,1217.3,14,HF,False,NORMAL,25.0
MARTHA NICKELSEN,KBH,København Håndbold,1187.6,26,HF,False,NORMAL,80.4
DITTE BACH,KBH,København Håndbold,1172.1,27,HF,False,NORMAL,157.1
MARTINA THÖRN,KBH,København Håndbold,1099.8,6,MV,True,NORMAL,-0.4
ANNE CHRISTINE BOSSEN,KBH,København Håndbold,1098.9,31,MV,True,NORMAL,12.6
BIANCA SCHANSSEMA,KBH,København Håndbold,1076.8,24,MV,True,NORMAL,9.7
BO SPELLERBERG,KBH,København Håndbold,1068.9,12,HF,False,NORMAL,-3.2
AGNES HVIDSTEEN,KBH,København Håndbold,1017.5,6,HF,False,NORMAL,2.5
