player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
KRISTINA KRISTIANSEN,NFH,Nykøbing F. Håndbold,1076.3,6,HF,False,NORMAL,61.3
JOHANNA WESTBERG,NFH,Nykøbing F. Håndbold,1061.7,6,VB,False,NORMAL,46.7
SARAH IVERSEN,NFH,Nykøbing F. Håndbold,1046.8,6,HF,False,NORMAL,31.8
LÆRKE NOLSØE PEDERSEN,NFH,Nykøbing F. Håndbold,1044.2,6,VF,False,NORMAL,29.2
ANGELICA WALLÉN,NFH,Nykøbing F. Håndbold,1032.7,6,HF,False,NORMAL,17.7
SOFIE AMALIE OLSEN,NFH,Nykøbing F. Håndbold,1032.0,6,HF,False,NORMAL,17.0
CELINE LUNDBYE KRISTIANSEN,NFH,Nykøbing F. Håndbold,1030.9,5,HF,False,NORMAL,15.9
EMELIE WESTBERG,NFH,Nykøbing F. Håndbold,1025.8,6,HF,False,NORMAL,10.8
ANNA LAGERQUIST,NFH,Nykøbing F. Håndbold,1023.3,5,HF,False,NORMAL,8.3
CECILIE GREVE,NFH,Nykøbing F. Håndbold,1017.9,6,MV,True,NORMAL,2.9
