player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
DIONE HOUSHEER,ODE,Odense Håndbold,1641.2,31,PL,False,LEGENDARY,238.5
MIE HØJLUND,ODE,Odense Håndbold,1565.9,24,VB,False,LEGENDARY,168.1
LOIS ABBINGH,ODE,Odense Håndbold,1456.1,25,PL,False,LEGENDARY,131.4
MIA REJ,ODE,Odense Håndbold,1428.2,5,PL,False,LEGENDARY,29.3
HELENA ELVER,ODE,Odense Håndbold,1425.9,26,PL,False,LEGENDARY,86.4
LARISSA NUSSER,ODE,Odense Håndbold,1419.1,9,PL,False,LEGENDARY,20.5
RIKKE IVERSEN,ODE,Odense Håndbold,1393.6,33,ST,False,ELITE,76.2
SIDSEL MEJLVANG,ODE,Odense Håndbold,1376.2,25,ST,False,ELITE,29.5
FREJA COHRT,ODE,Odense Håndbold,1356.2,19,VF,False,ELITE,35.8
TONJE LØSETH,ODE,Odense Håndbold,1343.8000000000002,29,PL,False,ELITE,77.4
AYAKA IKEHARA,ODE,Odense Håndbold,1336.3,31,HF,False,ELITE,68.8
BO VAN WETERING,ODE,Odense Håndbold,1258.9,35,VF,False,ELITE,140.7
MAREN AARDAHL,ODE,Odense Håndbold,1237.1,35,ST,False,NORMAL,155.8
KELLY VOLLEBREGT,ODE,Odense Håndbold,1173.0,28,HF,False,NORMAL,62.9
TRINE PEDERSEN,ODE,Odense Håndbold,1122.6,29,PL,False,NORMAL,107.6
FREJA HAMMER,ODE,Odense Håndbold,1098.4,15,MV,True,NORMAL,0.0
MARTINA THÖRN,ODE,Odense Håndbold,1092.4,34,MV,True,NORMAL,2.9
ALTHEA REINHARDT,ODE,Odense Håndbold,1080.6,20,MV,True,NORMAL,-2.4
ULRIK KIRKELY,ODE,Odense Håndbold,1077.6,6,Ukendt,False,NORMAL,-1.9
