player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Emilie Ytting PEDERSEN,SKB,Skanderborg Håndbold,1346.9,17,VF,False,NORMAL,43.4
Henriette HANSEN,SKB,Skanderborg Håndbold,1308.5,26,HF,False,NORMAL,72.9
Mathilde STORGAARD,SKB,Skanderborg Håndbold,1275.2,19,ST,False,NORMAL,29.1
Cecilie Mørch HANSEN,SKB,Skanderborg Håndbold,1259.7,29,PL,False,NORMAL,88.6
Stine Baun ERIKSEN,SKB,Skanderborg Håndbold,1196.5,11,PL,False,NORMAL,6.6
Thea Hamann RASMUSSEN,SKB,Skanderborg Håndbold,1168.7,26,PL,False,NORMAL,90.8
Katrine LARSON,SKB,Skanderborg Håndbold,1164.5,18,PL,False,NORMAL,31.8
Emma Gandrup ERNST,SKB,Skanderborg Håndbold,1163.3,11,PL,False,NORMAL,21.9
Emilie BECH,SKB,Skanderborg Håndbold,1143.2,19,HF,False,NORMAL,39.2
Alberte EBLER,SKB,Skanderborg Håndbold,1126.3,32,HB,False,NORMAL,54.6
Anna VENG,SKB,Skanderborg Håndbold,1126.2,6,MV,True,NORMAL,0.3
Steinunn HANSDOTTIR,SKB,Skanderborg Håndbold,1103.9,18,VF,False,NORMAL,24.2
Sarah Vest KIRKELØKKE,SKB,Skanderborg Håndbold,1082.4,13,ST,False,NORMAL,16.2
Stine Opstrup KRISTENSEN,SKB,Skanderborg Håndbold,1079.2,21,HF,False,NORMAL,64.2
Lotte VESTERGAARD,SKB,Skanderborg Håndbold,1075.0,7,PL,False,NORMAL,5.4
Caroline Amalie RASMUSSEN,SKB,Skanderborg Håndbold,1057.6,5,PL,False,NORMAL,1.4
Emilie YTTING,SKB,Skanderborg Håndbold,1039.1,12,VF,False,NORMAL,24.1
Claudia ROMPEN,SKB,Skanderborg Håndbold,1019.7,12,MV,True,NORMAL,4.7
