player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Estavana POLMAN,TES,Team Esbjerg,1181.2,34,PL,False,NORMAL,153.9
Kristina LISCEVIC,TES,Team Esbjerg,1174.6,34,ST,False,NORMAL,79.9
Vilde Mortensen INGSTAD,TES,Team Esbjerg,1154.6,32,ST,False,NORMAL,109.3
Kristine BREISTØL,TES,Team Esbjerg,1105.3,35,VB,False,NORMAL,90.3
Sanna Charlotte SOLBERG,TES,Team Esbjerg,1101.2,28,VF,False,NORMAL,42.2
Marit Røsberg JACOBSEN,TES,Team Esbjerg,1093.0,31,HF,False,NORMAL,78.0
Line JØRGENSEN,TES,Team Esbjerg,1078.1,30,HB,False,NORMAL,63.1
Clara MONTI DANIELSSON,TES,Team Esbjerg,1062.8,24,ST,False,NORMAL,33.3
Annette JENSEN,TES,Team Esbjerg,1058.7,27,PL,False,NORMAL,43.7
Elma HALILCEVIC,TES,Team Esbjerg,1035.6,7,VF,False,NORMAL,11.5
Emma NIELSEN,TES,Team Esbjerg,1032.1,9,HF,False,NORMAL,17.1
Sandra TOFT,TES,Team Esbjerg,1024.1,9,MV,True,NORMAL,-2.5
Maria Mose VESTERGAARD,TES,Team Esbjerg,1021.1,4,VF,False,NORMAL,6.1
Marit Malm FRAFJORD,TES,Team Esbjerg,1020.0,6,ST,False,NORMAL,5.0
Rikke Marie GRANLUND,TES,Team Esbjerg,1018.1,8,MV,True,NORMAL,3.1
