player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
METTE BRANDT NIELSEN,VEN,Vendsyssel Håndbold,1300.5,17,PL,False,ELITE,106.5
CHRISTINA PEDERSEN,VEN,Vendsyssel Håndbold,1187.3,25,PL,False,NORMAL,172.3
HENRIETTE HANSEN,VEN,Vendsyssel Håndbold,1177.4,22,HF,False,NORMAL,82.3
SOFIE HARTUNG SLETSKOV,VEN,Vendsyssel Håndbold,1143.3,25,PL,False,NORMAL,108.7
METTE BEJDER,VEN,Vendsyssel Håndbold,1131.8,25,PL,False,NORMAL,116.8
PERNILLE BRANDENBORG,VEN,Vendsyssel Håndbold,1113.9,24,ST,False,NORMAL,98.9
STEINUNN HANSDOTTIR,VEN,Vendsyssel Håndbold,1080.6,24,VF,False,NORMAL,65.6
FRIDA MAAG DAMGAARD,VEN,Vendsyssel Håndbold,1053.1,9,PL,False,NORMAL,38.1
IDA-LOUISE ANDERSEN,VEN,Vendsyssel Håndbold,1048.8,14,VF,False,NORMAL,33.8
SARA JAKOBSEN MADSEN,VEN,Vendsyssel Håndbold,1042.4,11,HB,False,NORMAL,27.4
SOFIE LASSEN NYGAARD,VEN,Vendsyssel Håndbold,1040.7,10,PL,False,NORMAL,25.7
CECILIE TERMANSEN,VEN,Vendsyssel Håndbold,1034.9,21,ST,False,NORMAL,19.9
IDA HYLDGAARD SEJR JESPERSEN,VEN,Vendsyssel Håndbold,1028.9,5,ST,False,NORMAL,13.9
SYNNA LIEN,VEN,Vendsyssel Håndbold,1021.9,22,MV,True,NORMAL,6.9
ELIN THORSTEINSDOTTIR,VEN,Vendsyssel Håndbold,1014.5,24,MV,True,NORMAL,-0.5
