player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
KRISTINA JØRGENSEN,VHK,Viborg HK,1755.7,37,HF,False,LEGENDARY,355.3
KRISTINA KRISTIANSEN,NFH,Nykøbing F. Håndbold,1691.4,31,HF,False,LEGENDARY,298.9
MATHILDE NEESGAARD,AAU,Aarhus United,1669.1,30,HF,False,LEGENDARY,339.9
LARISSA NUSSER,KBH,København Håndbold,1620.1999999999998,32,HF,False,LEGENDARY,248.1
LINE HAUGSTED,VHK,Viborg HK,1587.9,32,HF,False,LEGENDARY,218.8
SOFIE BÆK ANDERSEN,SVK,Silkeborg-Voel KFUM,1583.3,31,HF,False,LEGENDARY,267.3
EIRA AUNE,SVK,Silkeborg-Voel KFUM,1579.9,32,HF,False,LEGENDARY,321.4
MELISSA PETRÉN,KBH,København Håndbold,1574.6,30,HF,False,LEGENDARY,274.2
SOFIE BÆK ANDERSEN,SVK,Silkeborg-Voel KFUM,1572.7,30,HF,False,NORMAL,258.1
KRISTINE BREISTØL,TES,Team Esbjerg,1557.6,36,HF,False,LEGENDARY,242.6
METTE TRANBORG,TES,Team Esbjerg,1532.3,36,HF,False,LEGENDARY,183.3
HELENE KINDBERG,SVK,Silkeborg-Voel KFUM,1505.7,25,HF,False,LEGENDARY,179.2
JUNE BØTTGER,AAU,Aarhus United,1501.9,30,VF,False,LEGENDARY,156.3
STINE EIBERG JØRGENSEN,AJK,Ajax København,1493.7,25,HF,False,LEGENDARY,180.3
MOA HÖGDAHL,VHK,Viborg HK,1490.7,23,HF,False,LEGENDARY,144.2
MARIT RØSBERG JACOBSEN,TES,Team Esbjerg,1472.7,21,HF,False,LEGENDARY,119.4
ANNA GRUNDTVIG,AJK,Ajax København,1458.1,30,HF,False,LEGENDARY,153.1
ANN GRETE NØRGAARD,SVK,Silkeborg-Voel KFUM,1456.3,31,HF,False,LEGENDARY,244.5
FREDERIKKE GULMARK,HHE,Horsens Håndbold Elite,1448.4,31,HF,False,LEGENDARY,159.2
CECILIE MØRCH HANSEN,SKB,Skanderborg Håndbold,1445.7,29,HF,False,LEGENDARY,146.5
