team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
TES,Team Esbjerg,16,1232.6,1508.7,1024.7,337,21.1,8,2,6,"{'PL': 5, 'ST': 3, 'HF': 2, 'HB': 2, 'VF': 2, 'MV': 2}"
NFH,Nykøbing F. Håndbold,16,1218.9,1447.5,1013.9,364,22.8,6,2,6,"{'PL': 5, 'ST': 3, 'HF': 3, 'VF': 2, 'HB': 1, 'MV': 2}"
IKA,Ikast Håndbold,18,1203.7,1403.4,1018.6,363,20.2,7,2,7,"{'ST': 4, 'VB': 1, 'VF': 3, 'HB': 1, 'PL': 2, 'HF': 5, 'MV': 2}"
VHK,Viborg HK,16,1179.6,1465.5,1024.6,313,19.6,5,3,6,"{'PL': 6, 'ST': 2, 'VF': 2, 'HF': 2, 'HB': 1, 'MV': 3}"
SJK,SønderjyskE Kvindehåndbold,16,1178.6,1363.4,1037.3,306,19.1,6,2,6,"{'PL': 4, 'HF': 3, 'VF': 2, 'ST': 4, 'MV': 2, 'HB': 1}"
ODE,Odense Håndbold,18,1173.1,1458.0,1016.2,349,19.4,5,3,6,"{'HB': 1, 'PL': 6, 'ST': 4, 'VF': 2, 'MV': 3, 'HF': 2}"
HHE,Horsens Håndbold Elite,18,1171.6,1586.3,999.7,267,14.8,4,3,6,"{'PL': 5, 'ST': 3, 'HF': 4, 'VF': 2, 'MV': 3, 'VB': 1}"
AAU,Aarhus United,16,1167.6,1401.1,1027.2,259,16.2,4,2,6,"{'PL': 4, 'VF': 2, 'HF': 3, 'HB': 1, 'ST': 4, 'MV': 2}"
KBH,København Håndbold,16,1163.8,1413.6,1018.1,305,19.1,3,3,7,"{'VB': 1, 'VF': 2, 'PL': 3, 'ST': 4, 'HF': 2, 'HB': 1, 'MV': 3}"
SKB,Skanderborg Håndbold,18,1148.8,1512.0,1013.8,300,16.7,2,3,6,"{'PL': 6, 'HF': 2, 'VF': 3, 'ST': 3, 'MV': 3, 'HB': 1}"
RIN,Ringkøbing Håndbold,14,1131.0,1360.1,1016.7,274,19.6,2,3,5,"{'PL': 5, 'HF': 2, 'ST': 2, 'VF': 2, 'MV': 3}"
SVK,Silkeborg-Voel KFUM,18,1126.5,1281.2,1016.0,307,17.1,3,2,6,"{'PL': 6, 'ST': 5, 'VF': 2, 'HB': 2, 'HF': 1, 'MV': 2}"
AJK,Ajax København,17,1093.7,1383.1,1015.8,224,13.2,2,2,6,"{'HB': 1, 'VF': 2, 'PL': 6, 'ST': 3, 'HF': 3, 'MV': 2}"
BFH,Bjerringbro FH,14,1090.1,1184.8,1018.5,313,22.4,0,2,5,"{'PL': 4, 'HF': 3, 'ST': 3, 'VF': 2, 'MV': 2}"
