season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level,rating_consistency
2019-2020,LASSE KJÆR MØLLER,1402.3,1676.1999999999998,273.9,24,PL,Playmaker,False,LEGENDARY,1.007,0,11.4125,ELITE,11.4125
2019-2020,NIKOLAJ ØRIS NIELSEN,1399.5,1591.5,192.0,24,PL,Playmaker,False,LEGENDARY,1.003,0,8.0,ELITE,8.0
2019-2020,NIKOLAJ LÆSØ,1361.4,1566.1000000000001,204.7,24,PL,Playmaker,False,LEGENDARY,1.003,0,8.529166666666667,ELITE,8.529166666666667
2019-2020,SEBASTIAN SKUBE,1400.2,1552.0,151.8,22,PL,Playmaker,False,LEGENDARY,1.005,0,6.9,ELITE,6.9
2019-2020,EIVIND TANGEN,1377.5,1537.9,160.4,24,PL,Playmaker,False,LEGENDARY,1.005,0,6.683333333333334,ELITE,6.683333333333334
2019-2020,ANDERS KRAGH MARTINUSEN,1374.0,1534.4,160.4,23,PL,Playmaker,False,LEGENDARY,1.003,0,6.9739130434782615,ELITE,6.9739130434782615
2019-2020,JANUS SMARÁSON,1349.6,1522.0,172.4,21,PL,Playmaker,False,LEGENDARY,1.007,0,8.20952380952381,ELITE,8.20952380952381
2019-2020,JESPER KONRADSSON,1373.7,1519.1000000000001,145.4,24,PL,Playmaker,False,LEGENDARY,1.007,0,6.058333333333334,ELITE,6.058333333333334
2019-2020,CHRIS HOLM JØRGENSEN,1333.3,1510.6,177.3,24,PL,Playmaker,False,LEGENDARY,1.004,0,7.3875,ELITE,7.3875
2019-2020,NIKOLAJ MARKUSSEN,1332.8,1507.6,174.8,22,PL,Playmaker,False,LEGENDARY,1.004,0,7.945454545454546,ELITE,7.945454545454546
2019-2020,JOHAN MEKLENBORG,1355.0,1500.1,145.1,24,PL,Playmaker,False,LEGENDARY,1.004,0,6.045833333333333,ELITE,6.045833333333333
2019-2020,AARON MENSING,1333.0,1493.0,160.0,24,PL,Playmaker,False,LEGENDARY,1.003,0,6.666666666666667,ELITE,6.666666666666667
2019-2020,ERIK THORSTEINSEN TOFT,1353.5,1477.9,124.4,22,PL,Playmaker,False,LEGENDARY,1.002,0,5.654545454545455,ELITE,5.654545454545455
2019-2020,JACOB LASSEN,1340.5,1477.6,137.1,24,PL,Playmaker,False,LEGENDARY,1.004,0,5.7124999999999995,ELITE,5.7124999999999995
2019-2020,MAGNUS BRAMMING,1346.8,1474.0,127.2,24,PL,Playmaker,False,LEGENDARY,1.004,0,5.3,ELITE,5.3
2019-2020,PETER BALLING,1364.5,1468.1,103.6,23,PL,Playmaker,False,LEGENDARY,1.002,0,4.504347826086956,ELITE,4.504347826086956
2019-2020,CORNELIUS KRAGH AASTRUP,1287.4,1464.9,177.5,24,PL,Playmaker,False,LEGENDARY,1.003,0,7.395833333333333,ELITE,7.395833333333333
2019-2020,TORBEN PETERSEN,1304.5,1461.1,156.6,24,PL,Playmaker,False,LEGENDARY,1.005,0,6.5249999999999995,ELITE,6.5249999999999995
2019-2020,JESPER DAHL,1265.3,1455.8999999999999,190.6,24,PL,Playmaker,False,LEGENDARY,1.003,0,7.941666666666666,ELITE,7.941666666666666
2019-2020,MATTIAS THYNELL,1257.8,1440.1,182.3,22,PL,Playmaker,False,LEGENDARY,1.01,0,8.286363636363637,ELITE,8.286363636363637
2019-2020,MARK STRANDGAARD,1326.3,1439.8999999999999,113.6,24,PL,Playmaker,False,LEGENDARY,1.005,0,4.733333333333333,ELITE,4.733333333333333
2019-2020,KASPER SØNDERGAARD,1348.6,1433.3,84.7,22,PL,Playmaker,False,LEGENDARY,1.004,0,3.85,ELITE,3.85
2019-2020,TOBIAS ELLEBÆK,1286.5,1425.0,138.5,24,PL,Playmaker,False,LEGENDARY,1.006,0,5.770833333333333,ELITE,5.770833333333333
2019-2020,OMAR INGI MAGNUSSON,1372.9,1420.0,47.1,6,PL,Playmaker,False,LEGENDARY,1.005,0,7.8500000000000005,NORMAL,7.8500000000000005
