season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2022-2023,Marcus DAHLIN,1350.0,1624.0,274.0,25,HB,Højre back,False,NORMAL,1.002,366,10.96,NORMAL
2022-2023,Mathilde NEESGAARD,1350.0,1551.4,201.4,29,PL,Playmaker,False,NORMAL,1.004,298,6.944827586206896,NORMAL
2022-2023,Simon PYTLICK,1350.0,1551.0,201.0,33,PL,Playmaker,False,NORMAL,1.004,301,6.090909090909091,NORMAL
2022-2023,Louise ELLEBÆK,1340.3,1541.0,200.7,26,VB,Venstre back,False,NORMAL,1.003,331,7.7192307692307685,NORMAL
2022-2023,Eivind TANGEN,1350.0,1539.6,189.6,37,PL,Playmaker,False,NORMAL,1.002,310,5.124324324324324,NORMAL
2022-2023,Kristine BREISTØL,1350.0,1538.8,188.8,31,PL,Playmaker,False,NORMAL,1.003,354,6.090322580645162,NORMAL
2022-2023,Kristian STOKLUND,1350.0,1530.8,180.8,37,PL,Playmaker,False,NORMAL,1.005,218,4.886486486486487,NORMAL
2022-2023,Thomas ARNOLDSEN,1350.0,1526.8,176.8,28,PL,Playmaker,False,NORMAL,1.01,209,6.314285714285715,NORMAL
2022-2023,Marielle MARTINSEN,1349.5,1523.8,174.3,30,PL,Playmaker,False,NORMAL,1.007,337,5.8100000000000005,NORMAL
2022-2023,Lukas SANDELL,1350.0,1522.6,172.6,30,PL,Playmaker,False,NORMAL,1.004,248,5.753333333333333,NORMAL
2022-2023,Mads Kjeldgaard ANDERSEN,1350.0,1515.9,165.9,32,PL,Playmaker,False,NORMAL,1.004,260,5.184375,NORMAL
2022-2023,Felix CLAAR,1350.0,1515.1,165.1,36,PL,Playmaker,False,NORMAL,1.005,252,4.586111111111111,NORMAL
2022-2023,Jonas LARHOLM,1350.0,1511.6,161.6,21,PL,Playmaker,False,NORMAL,1.003,176,7.6952380952380945,NORMAL
2022-2023,Simone PETERSEN,1350.0,1510.2,160.2,35,PL,Playmaker,False,NORMAL,1.005,259,4.5771428571428565,NORMAL
2022-2023,Lea HANSEN,1350.0,1500.1,150.1,22,HF,Højre fløj,False,NORMAL,1.003,111,6.822727272727272,NORMAL
2022-2023,Martin BISGAARD,1350.0,1499.6,149.6,35,VF,Venstre fløj,False,NORMAL,1.011,114,4.274285714285714,NORMAL
2022-2023,Anders Kragh MARTINUSEN,1350.0,1497.4,147.4,31,PL,Playmaker,True,NORMAL,1.008,171,4.754838709677419,NORMAL
2022-2023,Mathias JØRGENSEN,1350.0,1495.8,145.8,31,HF,Højre fløj,False,NORMAL,1.009,138,4.703225806451614,NORMAL
2022-2023,Vilde Mortensen INGSTAD,1350.0,1492.4,142.4,30,ST,Streg,False,NORMAL,1.004,201,4.746666666666667,NORMAL
2022-2023,Noah GAUDIN,1350.0,1491.0,141.0,22,PL,Playmaker,False,NORMAL,1.003,238,6.409090909090909,NORMAL
2022-2023,Nikolaj Øris NIELSEN,1350.0,1490.8,140.8,32,PL,Playmaker,False,NORMAL,1.009,211,4.4,NORMAL
2022-2023,Cecilie Mørch HANSEN,1350.0,1490.0,140.0,28,PL,Playmaker,False,NORMAL,1.001,232,5.0,NORMAL
2022-2023,Ingvild BAKKERUD,1350.0,1488.1,138.1,34,VB,Venstre back,False,NORMAL,1.002,286,4.061764705882353,NORMAL
2022-2023,Dione HOUSHEER,1350.0,1487.3,137.3,31,PL,Playmaker,False,NORMAL,1.003,238,4.429032258064517,NORMAL
2022-2023,Jeppe Gade NIELSEN,1299.9,1485.9,186.0,25,PL,Playmaker,False,NORMAL,1.006,266,7.44,NORMAL
2022-2023,Morten OLSEN,1350.0,1485.0,135.0,30,PL,Playmaker,False,NORMAL,1.003,214,4.5,NORMAL
2022-2023,Andreas LANG,1323.6,1477.7,154.1,30,PL,Playmaker,False,NORMAL,1.0,260,5.136666666666667,NORMAL
2022-2023,Bjarke CHRISTENSEN,1350.0,1473.1,123.1,30,VF,Venstre fløj,False,NORMAL,1.008,103,4.1033333333333335,NORMAL
2022-2023,Sander ØVERJORDET,1350.0,1472.3,122.3,21,PL,Playmaker,False,NORMAL,1.004,154,5.8238095238095235,NORMAL
2022-2023,Hákun West Av TEIGUM,1340.0,1470.9,130.9,32,HF,Højre fløj,False,NORMAL,1.005,124,4.090625,NORMAL
2022-2023,Mette TRANBORG,1350.0,1470.8,120.8,29,HB,Højre back,True,NORMAL,1.004,210,4.165517241379311,NORMAL
2022-2023,Nikolaj MARKUSSEN,1307.2,1470.1,162.9,29,PL,Playmaker,False,NORMAL,1.006,229,5.617241379310345,NORMAL
2022-2023,Niels LINDHOLT,1350.0,1468.3,118.3,27,ST,Streg,False,NORMAL,1.006,107,4.381481481481481,NORMAL
2022-2023,Aron PALMARSSON,1302.8,1467.9,165.1,22,PL,Playmaker,False,NORMAL,1.004,273,7.504545454545454,NORMAL
2022-2023,Nichlas HALD,1324.5,1463.8,139.3,30,PL,Playmaker,False,NORMAL,1.003,242,4.6433333333333335,NORMAL
2022-2023,Melina KRISTENSEN,1338.5,1462.7,124.2,26,HF,Højre fløj,False,NORMAL,1.003,145,4.776923076923077,NORMAL
2022-2023,Kristin THORLEIFSDÓTTIR,1350.0,1462.7,112.7,28,PL,Playmaker,False,NORMAL,1.002,225,4.025,NORMAL
2022-2023,Line Berggren LARSEN,1281.7,1462.6,180.9,28,VF,Venstre fløj,False,NORMAL,1.007,190,6.460714285714286,NORMAL
2022-2023,Jesper KOKHOLM,1350.0,1460.7,110.7,28,HF,Højre fløj,False,NORMAL,1.008,119,3.9535714285714287,NORMAL
2022-2023,Mads Hoxer HANGAARD,1350.0,1459.9,109.9,29,PL,Playmaker,False,NORMAL,1.005,156,3.7896551724137932,NORMAL
2022-2023,Kristian STRANDEN,1350.0,1458.5,108.5,19,PL,Playmaker,False,NORMAL,1.005,163,5.7105263157894735,NORMAL
2022-2023,Jerry TOLLBRING,1329.5,1458.4,128.9,32,VF,Venstre fløj,False,NORMAL,1.009,127,4.028125,NORMAL
2022-2023,Thomas BOILESEN,1350.0,1454.5,104.5,30,PL,Playmaker,False,NORMAL,1.004,135,3.4833333333333334,NORMAL
2022-2023,Eira AUNE,1350.0,1451.4,101.4,29,PL,Playmaker,False,NORMAL,1.003,162,3.496551724137931,NORMAL
2022-2023,Benjamin PEDERSEN,1350.0,1450.6,100.6,30,ST,Streg,False,NORMAL,1.007,110,3.353333333333333,NORMAL
2022-2023,Kristina KRISTIANSEN,1350.0,1450.0,100.0,31,PL,Playmaker,False,NORMAL,1.004,151,3.225806451612903,NORMAL
2022-2023,Emil BERGHOLT,1350.0,1450.0,100.0,24,ST,Streg,False,NORMAL,1.003,117,4.166666666666667,NORMAL
2022-2023,Peter BALLING,1350.0,1448.8,98.8,32,PL,Playmaker,False,NORMAL,1.006,188,3.0875,NORMAL
2022-2023,Julie HOLM,1350.0,1448.7,98.7,25,HB,Højre back,False,NORMAL,1.006,194,3.948,NORMAL
2022-2023,Cecilie SPECHT,1350.0,1446.6,96.6,30,HB,Højre back,False,NORMAL,1.004,161,3.2199999999999998,NORMAL
2022-2023,Morten JØRGENSEN,1293.9,1446.6,152.7,17,VF,Venstre fløj,False,NORMAL,1.004,107,8.98235294117647,NORMAL
2022-2023,Morten BALLING,1350.0,1445.0,95.0,29,PL,Playmaker,False,NORMAL,1.003,109,3.2758620689655173,NORMAL
2022-2023,Alexander LYNGGAARD,1350.0,1441.5,91.5,30,ST,Streg,False,NORMAL,1.007,101,3.05,NORMAL
2022-2023,Nicolaj NØRAGER,1350.0,1441.1,91.1,30,PL,Playmaker,False,NORMAL,1.008,100,3.0366666666666666,NORMAL
2022-2023,Jonatan MOLLERUP,1340.8,1441.0,100.2,31,PL,Playmaker,False,NORMAL,1.003,181,3.232258064516129,NORMAL
2022-2023,Oskar Vind RASMUSSEN,1350.0,1440.7,90.7,29,HF,Højre fløj,False,NORMAL,1.008,86,3.127586206896552,NORMAL
2022-2023,Anna GRUNDTVIG,1350.0,1440.7,90.7,29,VF,Venstre fløj,False,NORMAL,1.008,94,3.127586206896552,NORMAL
2022-2023,Henny REISTAD,1304.2,1440.2,136.0,31,PL,Playmaker,False,NORMAL,1.004,182,4.387096774193548,NORMAL
2022-2023,Marcus MØRK,1350.0,1439.3,89.3,25,PL,Playmaker,False,NORMAL,1.002,204,3.572,NORMAL
2022-2023,Elma HALILCEVIC,1350.0,1437.2,87.2,28,VF,Venstre fløj,False,NORMAL,1.005,100,3.1142857142857143,NORMAL
2022-2023,Mie HØJLUND,1350.0,1436.6,86.6,24,PL,Playmaker,False,NORMAL,1.003,129,3.608333333333333,NORMAL
2022-2023,Morten BJØRNSHAUGE,1322.8,1435.6,112.8,28,ST,Streg,False,NORMAL,1.005,126,4.0285714285714285,NORMAL
2022-2023,Sebastian BARTHOLD,1350.0,1435.6,85.6,32,VF,Venstre fløj,False,NORMAL,1.006,95,2.675,NORMAL
2022-2023,June BØTTGER,1350.0,1435.0,85.0,28,VF,Venstre fløj,False,NORMAL,1.008,91,3.0357142857142856,NORMAL
2022-2023,Kasper YOUNG,1310.3,1434.9,124.6,35,HF,Højre fløj,False,NORMAL,1.01,110,3.56,NORMAL
2022-2023,Magnus HAUBRO,1200.0,1431.6,231.6,24,PL,Playmaker,False,NORMAL,1.003,243,9.65,NORMAL
2022-2023,Sarah Dalsgaard PAULSEN,1200.0,1430.4,230.4,22,PL,Playmaker,False,NORMAL,1.003,263,10.472727272727273,NORMAL
2022-2023,Erik Thorsteinsen TOFT,1350.0,1429.5,79.5,19,PL,Playmaker,False,NORMAL,1.004,131,4.184210526315789,NORMAL
2022-2023,Frederik TILSTED,1350.0,1429.0,79.0,22,PL,Playmaker,False,NORMAL,1.003,146,3.590909090909091,NORMAL
2022-2023,Line HOUGAARD,1350.0,1428.1,78.1,25,HF,Højre fløj,False,NORMAL,1.002,80,3.1239999999999997,NORMAL
2022-2023,Lasse PEDERSEN,1350.0,1425.4,75.4,29,HF,Højre fløj,False,NORMAL,1.003,79,2.6,NORMAL
2022-2023,Lars SKAARUP,1350.0,1425.3,75.3,26,VF,Venstre fløj,False,NORMAL,1.009,73,2.896153846153846,NORMAL
2022-2023,Morten Hempel JENSEN,1350.0,1425.2,75.2,28,PL,Playmaker,False,NORMAL,1.008,101,2.685714285714286,NORMAL
2022-2023,Maria Mose VESTERGAARD,1350.0,1425.0,75.0,25,VF,Venstre fløj,False,NORMAL,1.008,72,3.0,NORMAL
2022-2023,Senjamin BURIC,1331.7,1424.9,93.2,28,ST,Streg,False,NORMAL,1.006,98,3.3285714285714287,NORMAL
2022-2023,Kaja Kamp NIELSEN,1350.0,1423.5,73.5,29,ST,Streg,False,NORMAL,1.004,91,2.5344827586206895,NORMAL
2022-2023,Jonas Gade NIELSEN,1350.0,1421.3,71.3,29,HB,Højre back,False,NORMAL,1.004,107,2.4586206896551723,NORMAL
2022-2023,Miha ZVIZEJ,1350.0,1420.3,70.3,27,ST,Streg,False,NORMAL,1.008,87,2.6037037037037036,NORMAL
2022-2023,Moa HÖGDAHL,1350.0,1420.2,70.2,20,PL,Playmaker,False,NORMAL,1.008,115,3.5100000000000002,NORMAL
2022-2023,Olivia SIMONSEN,1294.8,1419.8,125.0,21,HF,Højre fløj,False,NORMAL,1.003,119,5.9523809523809526,NORMAL
2022-2023,Emma FRIIS,1350.0,1417.8,67.8,29,VF,Venstre fløj,False,NORMAL,1.004,80,2.3379310344827586,NORMAL
2022-2023,Nikita Van Der VLIET,1318.9,1417.8,98.9,32,ST,Streg,False,NORMAL,1.007,127,3.090625,NORMAL
2022-2023,Marit Røsberg JACOBSEN,1350.0,1416.9,66.9,21,HF,Højre fløj,False,NORMAL,1.006,77,3.185714285714286,NORMAL
2022-2023,Lasse UTH,1350.0,1416.6,66.6,30,VF,Venstre fløj,False,NORMAL,1.007,72,2.2199999999999998,NORMAL
2022-2023,Tobias MØLLER,1350.0,1416.1,66.1,28,VF,Venstre fløj,False,NORMAL,1.006,79,2.3607142857142853,NORMAL
2022-2023,Rikke Hoffbeck PETERSEN,1200.0,1416.0,216.0,25,VF,Venstre fløj,False,NORMAL,1.006,180,8.64,NORMAL
2022-2023,Annette JENSEN,1350.0,1412.9,62.9,21,PL,Playmaker,False,NORMAL,1.002,95,2.9952380952380953,NORMAL
2022-2023,Benjamin JAKOBSEN,1350.0,1412.7,62.7,31,ST,Streg,False,NORMAL,1.004,66,2.02258064516129,NORMAL
2022-2023,Lasse MIKKELSEN,1350.0,1411.3,61.3,15,PL,Playmaker,False,NORMAL,1.005,92,4.086666666666667,NORMAL
2022-2023,Ayaka IKEHARA,1350.0,1411.3,61.3,29,HF,Højre fløj,False,NORMAL,1.004,67,2.113793103448276,NORMAL
2022-2023,Melissa PETRÉN,1350.0,1410.5,60.5,16,PL,Playmaker,False,NORMAL,1.003,107,3.78125,NORMAL
2022-2023,Lois ABBINGH,1350.0,1408.4,58.4,25,PL,Playmaker,False,NORMAL,1.003,114,2.336,NORMAL
2022-2023,Magnus BRAMMING,1350.0,1407.9,57.9,22,VF,Venstre fløj,False,NORMAL,1.005,59,2.631818181818182,NORMAL
2022-2023,Rasmus Meyer EJLERSEN,1350.0,1406.2,56.2,31,ST,Streg,False,NORMAL,1.006,65,1.8129032258064517,NORMAL
2022-2023,Amalie WULFF,1288.7,1403.8,115.1,27,ST,Streg,False,NORMAL,1.007,117,4.262962962962963,NORMAL
2022-2023,Line SKAK,1349.6,1401.6,52.0,21,ST,Streg,False,NORMAL,1.004,68,2.4761904761904763,NORMAL
2022-2023,Vilde Ingeborg JOHANSEN,1341.2,1401.6,60.4,22,ST,Streg,False,NORMAL,1.005,76,2.7454545454545456,NORMAL
2022-2023,Jorn SMITS,1302.5,1400.0,97.5,31,PL,Playmaker,False,NORMAL,1.005,111,3.1451612903225805,NORMAL
