season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2018-2019,TES,Team Esbjerg,Kvindeliga,1407.0,1748.4,341.4,0,ELITE,1.128,0
2018-2019,ODE,Odense Håndbold,Kvindeliga,1432.8,1695.6,262.8,0,ELITE,1.009,0
2018-2019,KBH,København Håndbold,Kvindeliga,1427.8,1673.7,245.9,0,ELITE,1.105,0
2018-2019,AAH,Aalborg Håndbold,Herreliga,1429.4,1654.5,225.1,0,ELITE,1.1,0
2018-2019,SKH,Skjern Håndbold,Herreliga,1439.6,1624.9,185.3,0,ELITE,1.155,0
2018-2019,HER,HER,Kvindeliga,1400.0,1579.5,179.5,0,NORMAL,1.0,0
2018-2019,NYK,NYK,Kvindeliga,1397.3,1569.0,171.7,0,NORMAL,1.024,0
2018-2019,GOG,GOG,Herreliga,1442.2,1560.7,118.5,0,NORMAL,0.874,0
2018-2019,AAR,AAR,Kvindeliga,1396.7,1488.8,92.1,0,NORMAL,0.997,0
2018-2019,ÅRH,ÅRH,Kvindeliga,1375.5,1434.5,59.0,0,NORMAL,1.128,0
2018-2019,BSH,Bjerringbro-Silkeborg,Herreliga,1446.1,1424.3,-21.8,0,NORMAL,0.862,0
2018-2019,VHK,Viborg HK,Kvindeliga,1410.5,1417.0,6.5,0,NORMAL,1.053,0
2018-2019,SVK,Silkeborg-Voel KFUM,Kvindeliga,1380.0,1399.8,19.8,0,NORMAL,1.037,0
2018-2019,REH,Ribe-Esbjerg HH,Herreliga,1391.4,1394.1,2.7,0,NORMAL,1.019,0
2018-2019,FC ,FC ,Kvindeliga,1389.7,1389.7,0.0,0,NORMAL,0.898,0
2018-2019,TM ,TM ,Kvindeliga,1355.2,1386.2,31.0,0,NORMAL,1.105,0
2018-2019,HC ,HC ,Kvindeliga,1350.4,1350.4,0.0,0,NORMAL,1.017,0
2018-2019,SØN,SØN,Kvindeliga,1362.6,1348.3,-14.3,0,NORMAL,1.002,0
2018-2019,BFH,Bjerringbro FH,Kvindeliga,1400.0,1339.4,-60.6,0,NORMAL,0.8,0
2018-2019,MTH,Mors-Thy Håndbold,Herreliga,1390.6,1307.1,-83.5,0,NORMAL,0.975,0
2018-2019,AJA,AJA,Kvindeliga,1400.0,1289.5,-110.5,0,NORMAL,0.97,0
2018-2019,NSH,Nordsjælland Håndbold,Herreliga,1384.0,1281.2,-102.8,0,NORMAL,0.86,0
2018-2019,TTH,TTH Holstebro,Herreliga,1418.8,1277.1,-141.7,0,NORMAL,0.937,0
2018-2019,SKB,Skanderborg Håndbold,Kvindeliga,1375.2,1257.5,-117.7,0,NORMAL,0.935,0
2018-2019,EHA,EH Aalborg,Kvindeliga,1400.0,1212.4,-187.6,0,NORMAL,0.996,0
2018-2019,RAN,RAN,Kvindeliga,1371.8,1206.2,-165.6,0,NORMAL,1.001,0
2018-2019,LEM,LEM,Kvindeliga,1400.0,1194.2,-205.8,0,NORMAL,0.882,0
2018-2019,KIF,KIF Kolding,Herreliga,1398.9,1192.7,-206.2,0,NORMAL,1.094,0
2018-2019,TMS,TMS Ringsted,Kvindeliga,1400.0,1174.5,-225.5,0,NORMAL,0.849,0
2018-2019,RIN,Ringkøbing Håndbold,Kvindeliga,1390.6,1092.9,-297.7,0,NORMAL,0.808,0
