season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2021-2022,ARH,Århus Håndbold,2750.4,34,ELITE,141.99,2750.4138288562203,-0.013828856220243324
2021-2022,AAH,Aalborg Håndbold,2385.2,38,ELITE,37.9,2385.24079187307,-0.040791873070247675
2021-2022,GOG,GOG,2353.5,39,ELITE,79.66,2353.53928053207,-0.0392805320698244
2021-2022,BSH,Bjerringbro-Silkeborg,2226.5,38,ELITE,121.13,2226.531740523327,-0.031740523326789116
2021-2022,SKH,Skjern Håndbold,2080.9,39,ELITE,-38.16,2080.925858806039,-0.025858806038741022
2021-2022,NSH,Nordsjælland Håndbold,1901.1,32,ELITE,-39.87,1901.1050359152623,-0.005035915262396884
2021-2022,KIF,KIF Kolding,1871.6,32,ELITE,67.04,1871.5917725821016,0.008227417898297062
2021-2022,FHK,Fredericia Håndbold Klub,1814.8,34,ELITE,32.2,1814.8271763483845,-0.02717634838450067
2021-2022,TTH,TTH Holstebro,1655.5,34,STRONG,-3.41,1655.4816677564618,0.018332243538225157
2021-2022,SKI,Skive fH,1632.4,28,STRONG,79.48,1632.3558991657108,0.04410083428933831
2021-2022,TMS,TMS Ringsted,1600.0,28,NORMAL,145.91,1599.9947235623752,0.005276437624843311
2021-2022,LTH,Lemvig-Thyborøn Håndbold,1462.6,32,NORMAL,-105.76,1462.6407216742004,-0.04072167420054029
2021-2022,SJE,SønderjyskE Herrehåndbold,1460.7,32,NORMAL,-117.21,1460.7452583752163,-0.045258375216235436
2021-2022,MTH,Mors-Thy Håndbold,1370.9,34,NORMAL,10.58,1370.8587115160026,0.041288483997504954
2021-2022,REH,Ribe-Esbjerg HH,1042.6,34,NORMAL,-50.31,1042.629898127074,-0.02989812707414785
2021-2022,HØJ,HØJ Elite,362.3,2,NORMAL,-518.87,362.26805806635844,0.03194193364157627
