season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2024-2025,AAH,Aalborg Håndbold,2088.5,35,ELITE,9.79,32.3,28.2,18.6,2088.496424350979,0.00357564902105878
2024-2025,BSH,Bjerringbro-Silkeborg,1860.9,32,ELITE,45.04,30.4,30.1,15.7,1860.874559916832,0.025440083168177807
2024-2025,FHK,Fredericia Håndbold Klub,1854.0,32,ELITE,25.03,29.8,28.0,16.8,1853.998800254603,0.0011997453968888294
2024-2025,SKH,Skjern Håndbold,1832.3,36,ELITE,-5.53,30.4,28.7,16.3,1832.2970961651206,0.002903834879361966
2024-2025,SAH,SAH - Skanderborg AGF,1733.5,32,STRONG,-8.19,29.8,29.8,13.9,1733.521513019243,-0.021513019243002418
2024-2025,MTH,Mors-Thy Håndbold,1720.0,32,STRONG,-23.24,32.1,31.2,16.2,1720.0189469629318,-0.018946962931750022
2024-2025,GOG,GOG,1687.3,36,STRONG,-35.34,30.3,29.6,16.4,1687.2793709694236,0.02062903057640142
2024-2025,TTH,TTH Holstebro,1687.1,35,STRONG,-35.46,31.4,30.6,17.2,1687.0787600343206,0.021239965679342276
2024-2025,TMH,TMS Ringsted,1666.0,30,STRONG,76.7,30.5,32.2,15.7,1666.0246828201186,-0.024682820118641757
2024-2025,SJH,SønderjyskE Herrehåndbold,1638.6,30,STRONG,-13.26,29.4,29.2,13.4,1638.6412428066517,-0.041242806651780484
2024-2025,REH,Ribe-Esbjerg HH,1560.3,30,NORMAL,-34.18,28.4,29.3,14.0,1560.3149610587475,-0.014961058747530842
2024-2025,GIF,Grindsted GIF Håndbold,1357.0,33,NORMAL,-11.22,27.3,30.6,14.8,1356.980193140624,0.019806859376103603
2024-2025,NSH,Nordsjælland Håndbold,1346.2,30,NORMAL,3.42,29.2,30.0,15.6,1346.2405588379672,-0.040558837967182626
2024-2025,KIF,KIF Kolding,1241.0,26,NORMAL,29.35,26.7,32.1,11.4,1241.043340367014,-0.043340367014025105
2024-2025,SFH,Skive fH,1090.9,3,NORMAL,-105.75,29.0,31.7,9.3,1090.861929726825,0.038070273174980684
