team_code,team_name,seasons_played,avg_rating,peak_rating,total_games,career_change,consistency
TES,Team Esbjerg,8,2853.6,3272.8,249,859.2,380.0
ODE,Odense Håndbold,8,2627.4,3142.8,255,685.7,325.9
IKA,Ikast Håndbold,8,2260.9,2740.4,248,1251.9,401.0
VHK,Viborg HK,8,2123.9,2679.9,236,132.1,401.5
KBH,København Håndbold,8,2097.4,2834.9,233,19.8,445.2
NFH,Nykøbing F. Håndbold,8,1852.7,2164.0,228,768.8,311.0
AHB,Aarhus Håndbold Kvinder,8,1604.2,2219.3,204,136.9,318.2
SVK,Silkeborg-Voel KFUM,8,1462.0,2039.4,216,1239.5,549.5
SJE,SønderjyskE Kvindehåndbold,4,1417.9,2276.5,93,1002.5,609.6
RAN,Randers HK,5,1320.5,1954.1,119,1296.6,509.3
HHE,Horsens Håndbold Elite,6,1206.9,1956.1,176,1320.1,546.3
RIN,Ringkøbing Håndbold,6,1038.4,1647.2,146,-435.8,486.3
SKB,Skanderborg Håndbold,7,1029.1,1648.7,202,985.1,387.4
EHA,EH Aalborg,4,920.4,1462.2,84,492.1,351.1
AJA,Ajax København,6,848.7,1625.6,171,-874.6,513.7
HOL,Holstebro Håndbold,6,746.0,1398.7,115,-1551.2,682.2
BFH,Bjerringbro FH,3,615.3,971.4,64,1000.9,456.8
