season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2019-2020,TES,Team Esbjerg,2458.4,23,ELITE,6.3,2458.410382535642,-0.01038253564183833
2019-2020,VHK,Viborg HK,2237.3,23,ELITE,89.65,2237.3016501149636,-0.0016501149634677859
2019-2020,ODE,Odense Håndbold,2038.5,23,ELITE,-43.24,2038.5435110605756,-0.04351106057561083
2019-2020,IKA,Ikast Håndbold,1942.5,23,ELITE,-12.31,1942.5180678072009,-0.01806780720085044
2019-2020,KBH,København Håndbold,1857.5,24,ELITE,23.88,1857.5442830530328,-0.04428305303281377
2019-2020,NFH,Nykøbing F. Håndbold,1647.0,23,STRONG,-19.64,1647.035387677547,-0.035387677547078056
2019-2020,SVK,Silkeborg-Voel KFUM,1637.2,24,STRONG,-32.02,1637.1708617561303,0.02913824386973829
2019-2020,RAN,Randers HK,1576.8,23,NORMAL,44.99,1576.8154356562673,-0.015435656267300146
2019-2020,AAU,Aarhus United,1386.1,23,NORMAL,-48.33,1386.1015166674042,-0.001516667404303007
2019-2020,HOL,Holstebro Håndbold,1159.4,23,NORMAL,20.65,1159.4356986871155,-0.035698687115427674
2019-2020,SKB,Skanderborg Håndbold,1120.9,23,NORMAL,91.06,1120.8637158974418,0.03628410255828385
2019-2020,EHA,EH Aalborg,932.0,23,NORMAL,20.49,931.9863930724543,0.01360692754565207
2019-2020,HHE,Horsens Håndbold Elite,664.2,23,NORMAL,-61.46,664.2025434149982,-0.002543414998172011
2019-2020,AJK,Ajax København,659.9,23,NORMAL,-96.52,659.8676773170782,0.03232268292174467
