season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2022-2023,TES,Team Esbjerg,2250.0,34,SUPER_ELITE,3.66,32.3,23.5,29.3,2249.9958606589025,0.004139341097470606
2022-2023,ODE,Odense Håndbold,2034.6,35,SUPER_ELITE,-33.09,31.1,24.9,14.6,2034.6044009222423,-0.004400922242439265
2022-2023,IKA,Ikast Håndbold,1893.8,35,ELITE,-11.66,28.7,25.3,16.2,1893.8483729101058,-0.048372910105854316
2022-2023,NFH,Nykøbing F. Håndbold,1838.2,34,ELITE,34.03,28.7,28.1,17.7,1838.209025741056,-0.009025741055893377
2022-2023,VHK,Viborg HK,1783.8,30,ELITE,-8.29,28.4,27.6,16.4,1783.8342302375731,-0.03423023757318333
2022-2023,KBH,København Håndbold,1756.2,30,ELITE,5.42,27.9,28.7,15.8,1756.1966980993013,0.0033019006987160537
2022-2023,SVK,Silkeborg-Voel KFUM,1642.7,30,STRONG,3.22,26.8,29.8,14.9,1642.7211439056177,-0.021143905617691416
2022-2023,RIN,Ringkøbing Håndbold,1400.4,28,NORMAL,11.72,26.5,29.6,14.2,1400.3685744235465,0.03142557645355737
2022-2023,AAU,Aarhus United,1396.3,30,NORMAL,6.23,25.4,27.4,12.1,1396.273357412111,0.026642587889000424
2022-2023,HHE,Horsens Håndbold Elite,1312.8,28,NORMAL,-8.12,25.7,28.2,19.0,1312.7568099368887,0.043190063111296695
2022-2023,SJK,SønderjyskE Kvindehåndbold,1182.9,28,NORMAL,-54.29,25.4,29.0,13.1,1182.9345718296183,-0.03457182961824401
2022-2023,SKB,Skanderborg Håndbold,1164.8,28,NORMAL,6.68,26.9,31.0,21.9,1164.8254272003205,-0.025427200320564225
2022-2023,AJK,Ajax København,1130.1,30,NORMAL,46.51,23.3,27.6,3.5,1130.0818737941631,0.018126205836779263
2022-2023,EHA,EH Aalborg,1011.1,2,NORMAL,-194.46,25.5,29.0,12.0,1011.0876596255416,0.012340374458403858
