team_code,team_name,league,seasons_played,avg_team_rating,avg_top7_rating,peak_team_rating,avg_elite_players,rating_consistency,career_development
SKH,Skjern Håndbold,Herreliga,8,1337.9,1415.9,1364.3,0.0,26.9,75.7
SAH,SAH - Skanderborg AGF,Herreliga,5,1333.1,1397.7,1375.8,0.0,47.9,120.6
BSH,Bjerringbro-Silkeborg,Herreliga,8,1331.8,1415.8,1363.2,0.0,27.7,68.6
AAH,Aalborg Håndbold,Herreliga,8,1329.2,1408.1,1364.6,0.0,28.6,69.7
REH,Ribe-Esbjerg HH,Herreliga,8,1318.3,1402.8,1372.2,0.0,39.0,104.5
TTH,TTH Holstebro,Herreliga,8,1317.1,1393.7,1355.3,0.0,37.3,97.4
FHK,Fredericia Håndbold Klub,Herreliga,6,1312.1,1391.0,1354.1,0.0,36.7,62.4
KIF,KIF Kolding,Herreliga,8,1308.7,1395.0,1338.4,0.0,20.9,28.6
SJH,SønderjyskE Herrehåndbold,Herreliga,8,1308.2,1380.4,1333.5,0.0,25.9,83.4
LTH,Lemvig-Thyborøn Håndbold,Herreliga,6,1306.9,1376.3,1338.0,0.0,24.3,55.3
MTH,Mors-Thy Håndbold,Herreliga,8,1299.7,1371.7,1348.0,0.0,27.0,103.2
NSH,Nordsjælland Håndbold,Herreliga,7,1293.8,1367.6,1324.0,0.0,25.6,61.4
GOG,GOG,Herreliga,8,1292.7,1379.2,1332.0,0.0,21.2,48.3
ARH,Århus Håndbold,Herreliga,3,1286.2,1348.9,1302.5,0.0,17.4,40.4
TMH,TMS Ringsted,Herreliga,5,1272.5,1341.2,1306.5,0.0,26.7,59.3
SFH,Skive fH,Herreliga,4,1242.4,1264.0,1280.2,0.0,37.1,73.8
