team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
AAH,Aalborg Håndbold,16,331,20.6875,2,0,1364.6,1462.2,1406.0,1445.4,1366.2,1405.6,102.8,393.5,1594.1,1200.6,7,"{'PL': 2, 'ST': 4, 'VF': 2, 'HF': 3, 'HB': 2, 'MV': 2, 'VB': 1}",2020-2021,Herreliga
SKH,Skjern Håndbold,14,264,18.857142857142858,2,0,1343.6,1424.6,1364.0,1410.7,1342.4,1375.0,90.3,291.7,1495.1,1203.4,6,"{'PL': 4, 'HB': 2, 'HF': 2, 'ST': 2, 'VF': 2, 'MV': 2}",2020-2021,Herreliga
TTH,TTH Holstebro,20,327,16.35,3,0,1334.4,1447.4,1394.6,1441.0,1333.4,1384.6,96.3,355.1,1563.1,1208.0,7,"{'VB': 1, 'VF': 3, 'HF': 3, 'ST': 5, 'PL': 4, 'MV': 3, 'HB': 1}",2020-2021,Herreliga
BSH,Bjerringbro-Silkeborg,18,356,19.77777777777778,3,0,1328.5,1432.5,1373.4,1406.7,1330.6,1372.7,98.6,338.9,1540.3,1201.4,6,"{'ST': 4, 'PL': 6, 'HF': 2, 'MV': 3, 'VF': 2, 'HB': 1}",2020-2021,Herreliga
LTH,Lemvig-Thyborøn Håndbold,18,280,15.555555555555555,2,0,1319.9,1405.2,1358.9,1390.8,1319.8,1340.8,78.5,241.6,1456.0,1214.4,5,"{'PL': 7, 'HF': 2, 'VF': 3, 'ST': 4, 'MV': 2}",2020-2021,Herreliga
REH,Ribe-Esbjerg HH,19,245,12.894736842105264,2,0,1311.9,1429.3,1371.5,1409.5,1309.4,1373.1,100.7,327.0,1528.8,1201.8,6,"{'HB': 2, 'ST': 3, 'HF': 2, 'PL': 7, 'VF': 3, 'MV': 2}",2020-2021,Herreliga
MTH,Mors-Thy Håndbold,18,268,14.88888888888889,3,0,1311.8,1402.7,1355.6,1394.8,1310.4,1342.5,81.7,239.7,1441.4,1201.7,6,"{'PL': 7, 'HF': 2, 'VF': 2, 'ST': 3, 'VB': 1, 'MV': 3}",2020-2021,Herreliga
SJH,SønderjyskE Herrehåndbold,18,318,17.666666666666668,2,0,1303.3,1373.1,1337.9,1370.1,1302.8,1328.2,70.2,236.0,1436.8,1200.8,7,"{'HB': 2, 'PL': 5, 'ST': 3, 'MV': 2, 'HF': 3, 'VF': 2, 'VB': 1}",2020-2021,Herreliga
FHK,Fredericia Håndbold Klub,17,272,16.0,2,0,1298.5,1356.2,1328.1,1347.3,1299.4,1328.4,66.8,274.5,1474.9,1200.4,7,"{'PL': 4, 'HB': 1, 'VF': 3, 'VB': 3, 'ST': 3, 'MV': 2, 'HF': 1}",2020-2021,Herreliga
KIF,KIF Kolding,18,278,15.444444444444445,3,0,1292.1,1388.4,1334.3,1388.4,1290.0,1338.6,94.7,325.1,1525.8,1200.7,7,"{'HB': 1, 'HF': 3, 'VF': 2, 'ST': 4, 'PL': 4, 'MV': 3, 'VB': 1}",2020-2021,Herreliga
GOG,GOG,21,317,15.095238095238095,2,0,1284.3,1384.1,1338.5,1381.3,1285.1,1333.8,82.3,283.4,1484.4,1201.0,6,"{'VF': 3, 'PL': 8, 'ST': 4, 'HF': 3, 'MV': 2, 'VB': 1}",2020-2021,Herreliga
TMH,TMS Ringsted,21,235,11.19047619047619,3,0,1237.4,1276.7,1259.0,1274.2,1237.3,1253.8,35.6,150.3,1351.0,1200.7,6,"{'PL': 6, 'HF': 4, 'VF': 2, 'MV': 3, 'ST': 4, 'HB': 2}",2020-2021,Herreliga
SFH,Skive fH,8,17,2.125,0,0,1206.4,1206.9,1206.4,1207.2,1206.5,1206.8,2.7,9.2,1212.5,1203.3,5,"{'PL': 3, 'HB': 1, 'ST': 2, 'HF': 1, 'VF': 1}",2020-2021,Herreliga
