team_code,team_name,league,seasons_played,avg_team_rating,avg_top7_rating,peak_team_rating,avg_elite_players,rating_consistency,career_development
ODE,Odense Håndbold,Kvindeliga,3,1238.4,1411.3,1258.5,10.0,14.4,-27.1
SJK,SønderjyskE Kvindehåndbold,Kvindeliga,3,1209.5,1348.9,1236.2,6.0,26.2,62.2
IKA,Ikast Håndbold,Kvindeliga,4,1190.3,1334.4,1251.2,6.2,93.9,218.3
TES,Team Esbjerg,Kvindeliga,8,1189.6,1323.5,1306.9,5.1,84.4,207.2
VHK,Viborg HK,Kvindeliga,8,1158.8,1274.3,1237.4,3.8,58.7,195.2
NFH,Nykøbing F. Håndbold,Kvindeliga,8,1153.4,1285.7,1238.5,4.2,70.9,194.7
SVK,Silkeborg-Voel KFUM,Kvindeliga,8,1149.6,1254.0,1235.0,3.2,65.8,177.6
AAU,Aarhus United,Kvindeliga,6,1148.0,1266.0,1204.5,3.3,47.5,110.0
KBH,København Håndbold,Kvindeliga,8,1144.8,1253.2,1244.3,2.5,63.5,202.1
RIN,Ringkøbing Håndbold,Kvindeliga,5,1138.4,1227.9,1226.9,2.8,64.2,185.6
HHE,Horsens Håndbold Elite,Kvindeliga,6,1131.1,1259.4,1190.6,3.2,47.3,122.9
SKB,Skanderborg Håndbold,Kvindeliga,7,1122.0,1225.1,1196.3,1.7,48.7,61.2
AJK,Ajax København,Kvindeliga,6,1101.1,1186.4,1133.0,1.3,28.5,56.7
EHA,EH Aalborg,Kvindeliga,3,1083.8,1150.3,1107.0,1.0,21.6,52.1
