team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
NFH,Nykøbing F. Håndbold,15,281,18.733333333333334,2,0,1271.2,1311.2,1287.7,1302.3,1270.2,1291.4,45.3,153.3,1352.6,1199.3,7,"{'VF': 2, 'ST': 3, 'PL': 1, 'VB': 3, 'HB': 1, 'HF': 3, 'MV': 2}",2018-2019,Kvindeliga
VHK,Viborg HK,15,300,20.0,3,0,1266.2,1305.7,1280.7,1296.1,1266.1,1288.2,44.8,167.4,1366.4,1199.0,5,"{'PL': 5, 'VF': 2, 'ST': 2, 'HF': 3, 'MV': 3}",2018-2019,Kvindeliga
AAU,Aarhus United,18,318,17.666666666666668,3,0,1265.3,1319.7,1291.2,1309.4,1265.3,1294.0,54.9,204.2,1403.0,1198.8,6,"{'PL': 7, 'VF': 3, 'ST': 3, 'HF': 2, 'HB': 1, 'MV': 2}",2018-2019,Kvindeliga
TES,Team Esbjerg,16,322,20.125,2,0,1261.8,1310.7,1280.6,1294.9,1262.1,1289.0,52.9,180.1,1383.2,1203.1,7,"{'PL': 2, 'ST': 4, 'VB': 1, 'VF': 3, 'HF': 3, 'HB': 1, 'MV': 2}",2018-2019,Kvindeliga
KBH,København Håndbold,19,364,19.157894736842106,3,0,1260.1,1304.6,1283.8,1294.3,1259.7,1280.6,40.8,153.3,1353.0,1199.7,7,"{'HB': 2, 'PL': 3, 'HF': 3, 'VF': 3, 'ST': 4, 'VB': 1, 'MV': 3}",2018-2019,Kvindeliga
SVK,Silkeborg-Voel KFUM,16,264,16.5,2,0,1257.3,1296.3,1273.5,1287.6,1257.1,1278.1,41.0,149.6,1348.6,1199.0,7,"{'PL': 5, 'ST': 2, 'HF': 2, 'VF': 3, 'HB': 1, 'VB': 1, 'MV': 2}",2018-2019,Kvindeliga
SKB,Skanderborg Håndbold,16,275,17.1875,3,0,1249.1,1296.4,1265.0,1289.1,1249.0,1272.3,50.8,169.7,1367.4,1197.7,6,"{'PL': 5, 'HF': 3, 'VF': 2, 'ST': 3, 'HB': 1, 'MV': 2}",2018-2019,Kvindeliga
EHA,EH Aalborg,15,251,16.733333333333334,1,0,1239.8,1272.3,1249.4,1269.4,1238.7,1257.8,34.2,99.8,1299.8,1200.0,6,"{'HB': 1, 'HF': 2, 'PL': 6, 'VF': 2, 'ST': 3, 'MV': 1}",2018-2019,Kvindeliga
AJK,Ajax København,18,290,16.11111111111111,3,0,1236.6,1278.6,1254.4,1270.6,1235.8,1261.7,38.1,120.9,1319.2,1198.3,5,"{'HF': 2, 'PL': 7, 'VF': 2, 'ST': 4, 'MV': 3}",2018-2019,Kvindeliga
RIN,Ringkøbing Håndbold,20,230,11.5,1,0,1229.7,1261.6,1245.8,1253.2,1229.2,1243.7,25.9,76.5,1278.1,1201.6,7,"{'HF': 2, 'PL': 9, 'VF': 2, 'HB': 2, 'VB': 1, 'ST': 3, 'MV': 1}",2018-2019,Kvindeliga
BFH,Bjerringbro FH,6,10,1.6666666666666667,0,0,1205.6,1205.6,1205.6,1208.0,1205.8,1206.3,4.3,12.6,1212.8,1200.2,4,"{'PL': 2, 'HB': 1, 'ST': 2, 'VB': 1}",2018-2019,Kvindeliga
