team_code,team_name,league,seasons_played,avg_team_rating,avg_top7_rating,peak_team_rating,avg_elite_players,rating_consistency,career_development
SAH,SAH - Skanderborg AGF,Herreliga,5,1252.7,1378.9,1338.6,7.6,101.9,265.4
SKH,Skjern Håndbold,Herreliga,8,1244.4,1389.0,1366.3,7.0,85.4,274.8
BSH,Bjerringbro-Silkeborg,Herreliga,8,1240.4,1406.0,1323.3,6.5,74.7,243.0
AAH,Aalborg Håndbold,Herreliga,8,1239.5,1384.7,1340.8,8.5,79.4,184.2
TTH,TTH Holstebro,Herreliga,8,1223.5,1370.8,1316.4,7.5,82.3,244.9
FHK,Fredericia Håndbold Klub,Herreliga,6,1223.0,1396.3,1312.5,7.2,69.8,135.0
REH,Ribe-Esbjerg HH,Herreliga,8,1205.1,1340.7,1334.0,6.0,89.4,225.4
SJH,SønderjyskE Herrehåndbold,Herreliga,8,1184.9,1310.6,1264.4,4.6,63.4,139.5
KIF,KIF Kolding,Herreliga,8,1178.3,1314.6,1249.0,5.1,51.8,131.7
NSH,Nordsjælland Håndbold,Herreliga,7,1171.6,1291.0,1274.4,3.6,69.2,189.2
MTH,Mors-Thy Håndbold,Herreliga,8,1170.7,1302.4,1274.1,4.4,63.0,210.0
GOG,GOG,Herreliga,8,1170.0,1321.9,1242.0,4.1,51.4,135.4
LTH,Lemvig-Thyborøn Håndbold,Herreliga,6,1159.3,1264.8,1201.0,3.5,48.0,137.0
TMH,TMS Ringsted,Herreliga,5,1151.2,1264.4,1244.2,3.2,69.4,180.0
ARH,Århus Håndbold,Herreliga,3,1121.4,1218.0,1151.3,2.3,32.2,74.6
ODE,Odense Håndbold,Kvindeliga,3,1238.4,1411.3,1258.5,10.0,14.4,-27.1
SJK,SønderjyskE Kvindehåndbold,Kvindeliga,3,1209.5,1348.9,1236.2,6.0,26.2,62.2
IKA,Ikast Håndbold,Kvindeliga,4,1190.3,1334.4,1251.2,6.2,93.9,218.3
TES,Team Esbjerg,Kvindeliga,8,1189.6,1323.5,1306.9,5.1,84.4,207.2
VHK,Viborg HK,Kvindeliga,8,1158.8,1274.3,1237.4,3.8,58.7,195.2
NFH,Nykøbing F. Håndbold,Kvindeliga,8,1153.4,1285.7,1238.5,4.2,70.9,194.7
SVK,Silkeborg-Voel KFUM,Kvindeliga,8,1149.6,1254.0,1235.0,3.2,65.8,177.6
AAU,Aarhus United,Kvindeliga,6,1148.0,1266.0,1204.5,3.3,47.5,110.0
KBH,København Håndbold,Kvindeliga,8,1144.8,1253.2,1244.3,2.5,63.5,202.1
RIN,Ringkøbing Håndbold,Kvindeliga,5,1138.4,1227.9,1226.9,2.8,64.2,185.6
HHE,Horsens Håndbold Elite,Kvindeliga,6,1131.1,1259.4,1190.6,3.2,47.3,122.9
SKB,Skanderborg Håndbold,Kvindeliga,7,1122.0,1225.1,1196.3,1.7,48.7,61.2
AJK,Ajax København,Kvindeliga,6,1101.1,1186.4,1133.0,1.3,28.5,56.7
EHA,EH Aalborg,Kvindeliga,3,1083.8,1150.3,1107.0,1.0,21.6,52.1
