team_name,league
Aarhus Håndbold Kvinder,Kvindeliga
Aarhus United,Kvindeliga
Ajax København,Kvindeliga
Bjerringbro FH,Kvindeliga
EH Aalborg,Kvindeliga
Herning-Ikast Håndbold,Kvindeliga
Holstebro Håndbold,Kvindeliga
Horsens Håndbold Elite,Kvindeliga
Ikast Håndbold,Kvindeliga
København Håndbold,Kvindeliga
Nykøbing F. Håndbold,Kvindeliga
Nykøbing F. Håndboldklub,Kvindeliga
Odense Håndbold,Kvindeliga
Randers HK,Kvindeliga
Ringkøbing Håndbold,Kvindeliga
Silkeborg-Voel KFUM,Kvindeliga
Skanderborg Håndbold,Kvindeliga
SønderjyskE,Kvindeliga
SønderjyskE Kvindehåndbold,Kvindeliga
SønderjyskE Kvinder,Kvindeliga
TMS Ringsted,Kvindeliga
Team Esbjerg,Kvindeliga
Vendsyssel Håndbold,Kvindeliga
Viborg HK,Kvindeliga
Voel KFUM,Kvindeliga
Aalborg Håndbold,Herreliga
Ajax København,Herreliga
Bjerringbro-Silkeborg,Herreliga
Fredericia HK,Herreliga
Fredericia Håndbold Klub,Herreliga
Fredericia Håndboldklub,Herreliga
GOG,Herreliga
Grindsted GIF,Herreliga
"Grindsted GIF, Håndbold",Herreliga
HC Midtjylland,Herreliga
HØJ Elite,Herreliga
KIF Kolding,Herreliga
Lemvig-Thyborøn Håndbold,Herreliga
Mors-Thy Håndbold,Herreliga
Nordsjælland Håndbold,Herreliga
Ribe-Esbjerg HH,Herreliga
SAH,Herreliga
SAH - Skjern Håndbold,Herreliga
SAH – Skanderborg AGF,Herreliga
SJE,Herreliga
SKH,Herreliga
Skanderborg AGF,Herreliga
Skanderborg Aarhus Håndbold,Herreliga
Skanderborg Håndbold,Herreliga
Skive fH,Herreliga
Skjern Håndbold,Herreliga
SønderjyskE,Herreliga
SønderjyskE Herrer,Herreliga
Sønderjyske Herrehåndbold,Herreliga
TMS Ringsted,Herreliga
TTH Holstebro,Herreliga
Team Sydhavsøerne,Herreliga
