id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748631,0.00,,,Start 1:e halvleg,,,,,,,,
2,748631,0.30,0-1,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,32,Nikolaj LÆSØ,64,Salah BOUTAF
3,748631,1.33,1-1,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
4,748631,2.04,,BSH,Skud reddet,PL,32,Nikolaj LÆSØ,,,,64,Salah BOUTAF
5,748631,2.12,,GOG,Skud reddet,2:e,37,Linus PERSSON,,,,1,Mikkel LØVKVIST
6,748631,2.36,,BSH,Skud reddet,HB,26,Peter BALLING,,,,64,Salah BOUTAF
7,748631,2.48,,BSH,Advarsel,,14,Alexander LYNGGAARD,,,,,
8,748631,3.07,,GOG,Skud reddet,Gbr,3,Nicolai PEDERSEN,,,,1,Mikkel LØVKVIST
9,748631,4.21,,BSH,Regelfejl,,32,Nikolaj LÆSØ,,,,,
10,748631,4.26,2-1,GOG,Mål,1:e,21,Kasper KILDELUND,Assist,0,,1,Mikkel LØVKVIST
11,748631,4.36,,BSH,Skud forbi,PL,11,Rasmus LAUGE,,,,64,Salah BOUTAF
12,748631,5.13,,GOG,Skud reddet,Gbr,37,Linus PERSSON,,,,1,Mikkel LØVKVIST
13,748631,5.48,2-2,BSH,Mål,PL,26,Peter BALLING,,,,64,Salah BOUTAF
14,748631,5.56,,BSH,Udvisning,,14,Alexander LYNGGAARD,,,,,
15,748631,6.11,3-2,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
16,748631,6.50,,BSH,Skud forbi,HF,4,Patrick BOLDSEN,,,,64,Salah BOUTAF
17,748631,6.50,,GOG,Udvisning,,66,Anton LINDSKOG,,,,,
18,748631,7.11,,GOG,Skud forbi,Gbr,15,Tobias GRØNDAHL,,,,1,Mikkel LØVKVIST
19,748631,8.09,,BSH,Skud reddet,HF,4,Patrick BOLDSEN,,,,64,Salah BOUTAF
20,748631,9.04,4-2,GOG,Mål,PL,15,Tobias GRØNDAHL,,,,1,Mikkel LØVKVIST
21,748631,9.52,4-3,BSH,Mål,Gbr,26,Peter BALLING,,,,64,Salah BOUTAF
22,748631,10.01,,BSH,Udvisning,,19,René Toft HANSEN,,,,,
23,748631,10.29,5-3,GOG,Mål,Gbr,3,Nicolai PEDERSEN,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
24,748631,11.16,,GOG,Udvisning,,9,Henrik JAKOBSEN,,,,,
25,748631,11.36,,BSH,Tilkendt straffe,,11,Rasmus LAUGE,Forårs. str.,37,Linus PERSSON,,
26,748631,11.42,5-4,BSH,Mål på straffe,,23,Mads LENBROCH,,,,64,Salah BOUTAF
27,748631,12.08,,GOG,Fejlaflevering,,15,Tobias GRØNDAHL,,,,,
28,748631,12.30,,GOG,Udvisning,,3,Nicolai PEDERSEN,,,,,
29,748631,12.39,5-5,BSH,Mål,HF,4,Patrick BOLDSEN,Assist,11,Rasmus LAUGE,64,Salah BOUTAF
30,748631,13.47,6-5,GOG,Mål,Gbr,8,Frederik TILSTED,,,,1,Mikkel LØVKVIST
31,748631,14.10,6-6,BSH,Mål,HF,4,Patrick BOLDSEN,Assist,11,Rasmus LAUGE,64,Salah BOUTAF
32,748631,14.47,,GOG,Tilkendt straffe,,66,Anton LINDSKOG,Forårs. str.,19,René Toft HANSEN,,
33,748631,14.52,7-6,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,1,Mikkel LØVKVIST
34,748631,15.23,7-7,BSH,Mål,Gbr,32,Nikolaj LÆSØ,,,,64,Salah BOUTAF
35,748631,16.04,,GOG,Fejlaflevering,,15,Tobias GRØNDAHL,,,,,
36,748631,16.17,,BSH,Regelfejl,,14,Alexander LYNGGAARD,,,,,
37,748631,16.44,8-7,GOG,Mål,Gbr,37,Linus PERSSON,,,,1,Mikkel LØVKVIST
38,748631,17.16,8-8,BSH,Mål,Gbr,11,Rasmus LAUGE,,,,64,Salah BOUTAF
39,748631,17.30,,BSH,Udvisning,,22,Anders ZACHARIASSEN,,,,,
40,748631,17.49,9-8,GOG,Mål,Gbr,29,Hjalte LYKKE,,,,1,Mikkel LØVKVIST
41,748631,18.36,,BSH,Regelfejl,,32,Nikolaj LÆSØ,,,,,
42,748631,19.02,,GOG,Skud reddet,Gbr,29,Hjalte LYKKE,,,,1,Mikkel LØVKVIST
43,748631,19.42,,BSH,Tabt bold,,14,Alexander LYNGGAARD,,,,,
44,748631,19.49,10-8,GOG,Mål,1:e,7,Lasse VILHELMSEN,Assist,71,Alexander BLONZ,1,Mikkel LØVKVIST
45,748631,20.16,,BSH,Time out,,,,,,,,
46,748631,20.28,10-9,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,32,Nikolaj LÆSØ,64,Salah BOUTAF
47,748631,21.45,,GOG,Skud forbi,PL,15,Tobias GRØNDAHL,,,,1,Mikkel LØVKVIST
48,748631,22.11,,BSH,Skud reddet,Gbr,26,Peter BALLING,,,,64,Salah BOUTAF
49,748631,23.00,,GOG,Time out,,,,,,,,
50,748631,23.31,,GOG,Skud reddet,PL,8,Frederik TILSTED,,,,1,Mikkel LØVKVIST
51,748631,23.59,,BSH,Fejlaflevering,,26,Peter BALLING,,,,,
52,748631,24.09,,GOG,Skud reddet,2:e,8,Frederik TILSTED,,,,1,Mikkel LØVKVIST
53,748631,24.09,,BSH,Udvisning,,26,Peter BALLING,,,,,
54,748631,24.50,10-10,BSH,Mål,VB,32,Nikolaj LÆSØ,,,,64,Salah BOUTAF
55,748631,25.21,11-10,GOG,Mål,Gbr,3,Nicolai PEDERSEN,,,,1,Mikkel LØVKVIST
56,748631,25.55,,BSH,Skud reddet,Gbr,21,Gustav PETERSEN,,,,64,Salah BOUTAF
57,748631,26.01,12-10,GOG,Mål,2:e,71,Alexander BLONZ,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
58,748631,26.38,12-11,BSH,Mål,VB,32,Nikolaj LÆSØ,,,,64,Salah BOUTAF
59,748631,26.47,,GOG,Skud forbi,2:e,3,Nicolai PEDERSEN,,,,,
60,748631,27.34,,BSH,Skud blokeret,VB,11,Rasmus LAUGE,Blok af (ret),13,Andreas NIELSEN,,
61,748631,28.00,,BSH,Skud reddet,HB,11,Rasmus LAUGE,,,,64,Salah BOUTAF
62,748631,28.28,,GOG,Skud forbi,HB,3,Nicolai PEDERSEN,,,,1,Mikkel LØVKVIST
63,748631,28.38,,BSH,Skud reddet,2:e,11,Rasmus LAUGE,Retur,22,Anders ZACHARIASSEN,64,Salah BOUTAF
64,748631,28.38,12-12,BSH,Mål,ST,22,Anders ZACHARIASSEN,,,,64,Salah BOUTAF
65,748631,28.38,,Video Proof,Video Proof,,,,,,,,
66,748631,28.38,,Video Proof slut,Video Proof slut,,,,,,,,
67,748631,28.58,13-12,GOG,Mål,Gbr,71,Alexander BLONZ,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
68,748631,29.35,,GOG,Udvisning,,7,Lasse VILHELMSEN,,,,,
69,748631,29.50,,BSH,Fejlaflevering,,11,Rasmus LAUGE,Bold erobret,71,Alexander BLONZ,,
70,748631,29.55,14-12,GOG,Mål,1:e,71,Alexander BLONZ,,,,,
71,748631,30.00,,Video Proof,Video Proof,,,,,,,,
72,748631,30.00,14-13,BSH,Mål,VB,11,Rasmus LAUGE,,,,64,Salah BOUTAF
73,748631,30.00,,Video Proof slut,Video Proof slut,,,,,,,,
74,748631,30.00,14-13,Halvleg,Halvleg,,,,,,,,
75,748631,30.00,,Start 2:e halvleg,Start 2:e halvleg,,,,,,,,
76,748631,30.39,15-13,GOG,Mål,Gbr,15,Tobias GRØNDAHL,,,,1,Mikkel LØVKVIST
77,748631,30.39,,BSH,Udvisning,,11,Rasmus LAUGE,,,,,
78,748631,31.00,15-14,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,32,Nikolaj LÆSØ,64,Salah BOUTAF
79,748631,31.38,16-14,GOG,Mål,HF,21,Kasper KILDELUND,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
80,748631,32.08,16-15,BSH,Mål,Gbr,32,Nikolaj LÆSØ,Assist,9,Gudmundur Bragi ASTPARSSON,64,Salah BOUTAF
81,748631,32.36,17-15,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,1,Mikkel LØVKVIST
82,748631,33.13,17-16,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,11,Rasmus LAUGE,64,Salah BOUTAF
83,748631,33.13,,GOG,Udvisning,,3,Nicolai PEDERSEN,,,,,
84,748631,33.47,18-16,GOG,Mål,Gbr,15,Tobias GRØNDAHL,Assist,8,Frederik TILSTED,1,Mikkel LØVKVIST
