id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748633,0.00,,,Start 1:e halvleg,,,,,,,,
2,748633,0.27,,FHK,Fejlaflevering,,31,William ANDERSSON MOBERG,,,,,
3,748633,0.45,,TTH,Skud reddet,Gbr,25,Jonas PORUP,Retur,0,,16,Thorsten FRIES
4,748633,1.18,,TTH,Fejlaflevering,,25,Jonas PORUP,,,,,
5,748633,2.24,,FHK,Regelfejl,,97,Reinier TABOADA,,,,,
6,748633,2.34,1-0,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,16,Thorsten FRIES
7,748633,2.45,,FHK,Skud reddet,2:e,9,Martin BISGAARD,,,,16,Sander HEIEREN
8,748633,3.22,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
9,748633,3.57,,FHK,Skud forbi,HB,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
10,748633,4.47,,TTH,Regelfejl,,6,Frederik BJERRE,,,,,
11,748633,5.38,,FHK,Regelfejl,,97,Reinier TABOADA,,,,,
12,748633,5.44,,TTH,Skud blokeret,1:e,18,Edwin ASPENBÄCK,Blok af (ret),93,Anders MARTINUSEN,,
13,748633,6.26,,TTH,Skud på stolpe,PL,11,Thomas DAMGAARD,,,,16,Thorsten FRIES
14,748633,6.34,1-1,FHK,Mål,2:e,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
15,748633,7.10,,TTH,Skud reddet,Gbr,11,Thomas DAMGAARD,,,,16,Thorsten FRIES
16,748633,7.22,,FHK,Fejlaflevering,,31,William ANDERSSON MOBERG,,,,,
17,748633,7.57,,FHK,Udvisning,,97,Reinier TABOADA,,,,,
18,748633,8.10,,TTH,Skud reddet,Gbr,18,Edwin ASPENBÄCK,Retur,0,,16,Thorsten FRIES
19,748633,8.20,2-1,TTH,Mål,VB,22,Nikolaj MARKUSSEN,,,,16,Thorsten FRIES
20,748633,9.02,,TTH,Advarsel,,23,Miha ZVIZEJ,,,,,
21,748633,9.38,,FHK,Skud blokeret,PL,31,William ANDERSSON MOBERG,Blok af (ret),25,Jonas PORUP,,
22,748633,9.55,2-2,FHK,Mål,PL,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
23,748633,10.25,,TTH,Regelfejl,,11,Thomas DAMGAARD,,,,,
24,748633,10.38,,FHK,Skud reddet,HF,20,Fredrik MOSSESTAD,,,,16,Sander HEIEREN
25,748633,10.46,3-2,TTH,Mål,1:e,6,Frederik BJERRE,Assist,25,Jonas PORUP,16,Thorsten FRIES
26,748633,11.28,,FHK,Skud forbi,PL,97,Reinier TABOADA,,,,16,Sander HEIEREN
27,748633,11.39,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
28,748633,12.29,,FHK,Time out,,,,,,,,
29,748633,13.05,,FHK,Tilkendt straffe,,97,Reinier TABOADA,Forårs. str.,21,Mathias SMED,,
30,748633,13.08,3-3,FHK,Mål på straffe,,15,Mads KJELDGAARD,,,,16,Sander HEIEREN
31,748633,13.41,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,,,,,
32,748633,13.50,3-4,FHK,Mål,2:e,97,Reinier TABOADA,,,,16,Sander HEIEREN
33,748633,14.01,4-4,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,11,Thomas DAMGAARD,16,Thorsten FRIES
34,748633,14.48,,FHK,Skud reddet,PL,31,William ANDERSSON MOBERG,,,,16,Sander HEIEREN
35,748633,14.59,5-4,TTH,Mål,Gbr,25,Jonas PORUP,Assist,18,Edwin ASPENBÄCK,16,Thorsten FRIES
36,748633,15.45,5-5,FHK,Mål,HB,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
37,748633,15.56,,TTH,Tilkendt straffe,,18,Edwin ASPENBÄCK,Forårs. str.,9,Martin BISGAARD,,
38,748633,16.04,6-5,TTH,Mål på straffe,,6,Frederik BJERRE,,,,16,Thorsten FRIES
39,748633,16.36,,FHK,Tabt bold,,93,Anders MARTINUSEN,,,,,
40,748633,17.40,7-5,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,16,Thorsten FRIES
41,748633,18.25,,FHK,Skud reddet,ST,41,Evgeni PEVNOV,,,,16,Sander HEIEREN
