id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748635,0.00,,,Start 1:e halvleg,,,,,,,,
2,748635,0.46,,REH,Skud reddet,Gbr,14,Nicolaj SPANGGAARD,,,,12,Fabian NORSTEN
3,748635,1.22,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,81,Alfred JÖNSSON,,
4,748635,1.51,,AAH,Straffekast reddet,,15,Jack THURIN,Retur,0,,16,Ágúst BJÖRGVINSSON
5,748635,2.25,1-0,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Ágúst BJÖRGVINSSON
6,748635,2.55,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
7,748635,3.39,,REH,Advarsel,,17,Andreas SØGAARD,,,,,
8,748635,4.05,2-0,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,1,Niklas KRAFT
9,748635,4.43,2-1,REH,Mål,VB,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
10,748635,4.45,,AAH,Advarsel,,17,Martin LARSEN,,,,,
11,748635,5.15,,AAH,Skud reddet,HB,17,Martin LARSEN,,,,1,Niklas KRAFT
12,748635,5.24,2-2,REH,Mål,2:e,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN
13,748635,6.04,,AAH,Skud reddet,ST,20,Felix MÖLLER,,,,1,Niklas KRAFT
14,748635,6.11,2-3,REH,Mål,2:e,6,Jonathan WÜRTZ,,,,12,Fabian NORSTEN
15,748635,6.34,,AAH,Skud reddet,PL,17,Martin LARSEN,,,,1,Niklas KRAFT
16,748635,7.11,2-4,REH,Mål,ST,17,Andreas SØGAARD,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN
17,748635,7.50,,AAH,Skud reddet,VF,6,Sebastian BARTHOLD,,,,1,Niklas KRAFT
18,748635,8.02,,REH,Tilkendt straffe,,81,Alfred JÖNSSON,Forårs. str.,17,Martin LARSEN,,
19,748635,8.02,,AAH,Udvisning,,17,Martin LARSEN,,,,,
20,748635,8.02,2-5,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN
21,748635,8.38,3-5,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,Assist,9,Miguel MARTINS,1,Niklas KRAFT
22,748635,9.18,,REH,Tabt bold,,27,Andre Sindre AHO,Bold erobret,20,Felix MÖLLER,,
23,748635,9.55,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,17,Andreas SØGAARD,,
24,748635,9.55,,REH,Udvisning,,17,Andreas SØGAARD,,,,,
25,748635,9.57,4-5,AAH,Mål på straffe,,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON
26,748635,10.49,,AAH,Udvisning,,20,Felix MÖLLER,,,,,
27,748635,10.56,4-6,REH,Mål,VB,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
28,748635,11.22,5-6,AAH,Mål,VB,3,Lukas NILSSON,,,,1,Niklas KRAFT
29,748635,11.52,,REH,Tilkendt straffe,,27,Andre Sindre AHO,Forårs. str.,3,Lukas NILSSON,,
30,748635,12.07,5-7,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN
31,748635,13.06,,AAH,Skud blokeret,PL,9,Miguel MARTINS,Blok af (ret),4,Elvar ASGEIRSSON,,
