id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748637,0.00,,,Start 1:e halvleg,,,,,,,,
2,748637,0.35,1-0,SJE,Mål,HB,11,Nicolaj JØRGENSEN,,,,16,Christian WETCHE
3,748637,1.15,1-1,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,,,,1,Matthias DORGELO
4,748637,1.56,2-1,SJE,Mål,Gbr,29,Magnus FREDRIKSEN,,,,16,Christian WETCHE
5,748637,2.29,2-2,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,,,,1,Matthias DORGELO
6,748637,2.46,,SJE,Tabt bold,,48,Gabriel SETTERBLOM,,,,,
7,748637,3.15,,GIF,Skud reddet,Gbr,21,Kristoffer VESTERGAARD,Retur,0,,1,Matthias DORGELO
8,748637,3.41,2-3,GIF,Mål,PL,21,Kristoffer VESTERGAARD,Assist,14,Nicolai SKYTTE,1,Matthias DORGELO
9,748637,4.17,3-3,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Christian WETCHE
10,748637,5.19,,GIF,Skud blokeret,PL,14,Nicolai SKYTTE,Blokeret af,14,Jacob BAGERSTED,,
11,748637,6.10,,SJE,Skud reddet,VF,6,Nikolaj SVALASTOG,,,,16,Christian WETCHE
12,748637,6.39,,GIF,Skud på stolpe,VB,4,Frederik NIELSEN,Retur,17,Kristian Krag ØRSTED,1,Matthias DORGELO
13,748637,7.03,3-4,GIF,Mål,ST,17,Kristian Krag ØRSTED,,,,1,Matthias DORGELO
14,748637,7.12,4-4,SJE,Mål,HB,48,Gabriel SETTERBLOM,,,,16,Christian WETCHE
15,748637,7.45,4-5,GIF,Mål,HF,7,Jakob VILLEMOES,,,,1,Matthias DORGELO
16,748637,8.02,5-5,SJE,Mål,Gbr,48,Gabriel SETTERBLOM,,,,16,Christian WETCHE
17,748637,8.38,,GIF,Skud reddet,Gbr,21,Kristoffer VESTERGAARD,,,,1,Matthias DORGELO
18,748637,8.47,,SJE,Skud forbi,HF,33,Ebbe STANKIEWICZ,,,,16,Christian WETCHE
19,748637,9.16,,GIF,Skud blokeret,PL,21,Kristoffer VESTERGAARD,Blokeret af,18,Morten BJØRNSHAUGE,,
20,748637,9.37,6-5,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Christian WETCHE
21,748637,9.57,6-6,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,21,Kristoffer VESTERGAARD,1,Matthias DORGELO
22,748637,10.50,7-6,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,29,Magnus FREDRIKSEN,16,Christian WETCHE
23,748637,11.37,7-7,GIF,Mål,Gbr,14,Nicolai SKYTTE,Assist,21,Kristoffer VESTERGAARD,1,Matthias DORGELO
24,748637,12.00,,SJE,Regelfejl,,0,,,,,,
25,748637,12.03,,GIF,Tilkendt straffe,,14,Nicolai SKYTTE,Forårs. str.,33,Ebbe STANKIEWICZ,,
26,748637,12.24,7-8,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,1,Matthias DORGELO
27,748637,12.40,,SJE,Tilkendt straffe,,48,Gabriel SETTERBLOM,Forårs. str.,19,Magnus SADOVA,,
28,748637,13.04,,SJE,Straffekast reddet,,11,Nicolaj JØRGENSEN,,,,16,Christian WETCHE
