id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748639,0.00,,,Start 1:e halvleg,,,,,,,,
2,748639,1.15,,NSH,Tilkendt straffe,,13,Gustav BRUUN,Forårs. str.,18,Morten BJØRNSHAUGE,,
3,748639,1.20,,SJE,Advarsel,,18,Morten BJØRNSHAUGE,,,,,
4,748639,1.47,,NSH,Straffekast på stolpe,,3,Carl-Emil HAUNSTRUP,,,,30,Julius STEN
5,748639,2.17,0-1,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
6,748639,2.27,1-1,NSH,Mål,2:e,13,Gustav BRUUN,,,,30,Julius STEN
7,748639,2.42,,SJE,Regelfejl,,29,Magnus FREDRIKSEN,,,,,
8,748639,3.09,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
9,748639,3.21,,SJE,Skud reddet,1:e,6,Nikolaj SVALASTOG,Retur,0,,16,Magnus PETERSEN
10,748639,3.49,1-2,SJE,Mål,Gbr,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
11,748639,3.58,2-2,NSH,Mål,2:e,7,Leo MARTINÉZ,,,,30,Julius STEN
12,748639,4.10,,SJE,Skud reddet,2:e,6,Nikolaj SVALASTOG,,,,16,Magnus PETERSEN
13,748639,4.40,,NSH,Skud reddet,Gbr,7,Leo MARTINÉZ,,,,30,Julius STEN
14,748639,5.13,2-3,SJE,Mål,ST,11,Nicolaj JØRGENSEN,Assist,48,Gabriel SETTERBLOM,16,Magnus PETERSEN
15,748639,5.25,3-3,NSH,Mål,ST,5,Julius MØRCH,Assist,7,Leo MARTINÉZ,30,Julius STEN
16,748639,6.12,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,,,,,
17,748639,6.19,4-3,NSH,Mål,2:e,5,Julius MØRCH,Assist,7,Leo MARTINÉZ,30,Julius STEN
18,748639,7.06,,SJE,Tilkendt straffe,,29,Magnus FREDRIKSEN,Forårs. str.,42,Matias CAMPBELL,,
19,748639,7.26,4-4,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
20,748639,7.58,5-4,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,30,Julius STEN
21,748639,8.33,,SJE,Tabt bold,,48,Gabriel SETTERBLOM,,,,,
22,748639,9.31,6-4,NSH,Mål,Gbr,7,Leo MARTINÉZ,,,,30,Julius STEN
23,748639,10.12,,NSH,Advarsel,,57,Nikolaj LARSSON,,,,,
24,748639,10.57,6-5,SJE,Mål,Gbr,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
25,748639,11.43,,NSH,Skud blokeret,PL,13,Gustav BRUUN,Blok af (ret),14,Jacob BAGERSTED,,
26,748639,11.54,7-5,NSH,Mål,Gbr,13,Gustav BRUUN,,,,30,Julius STEN
27,748639,12.48,,SJE,Skud forbi,PL,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
28,748639,13.28,,NSH,Fejlaflevering,,7,Leo MARTINÉZ,,,,,
29,748639,13.34,7-6,SJE,Mål,1:e,6,Nikolaj SVALASTOG,,,,16,Magnus PETERSEN
30,748639,14.10,8-6,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,30,Julius STEN
31,748639,14.48,8-7,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,16,Magnus PETERSEN
32,748639,14.55,9-7,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,13,Gustav BRUUN,30,Julius STEN
33,748639,15.32,,SJE,Tilkendt straffe,,20,August WIGER,Forårs. str.,11,Jonas RAUNDAHL,,
34,748639,15.32,,NSH,Udvisning,,11,Jonas RAUNDAHL,,,,,
35,748639,15.35,9-8,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
36,748639,16.19,10-8,NSH,Mål,Gbr,7,Leo MARTINÉZ,,,,30,Julius STEN
37,748639,16.58,,SJE,Skud reddet,HF,33,Ebbe STANKIEWICZ,,,,16,Magnus PETERSEN
38,748639,17.31,11-8,NSH,Mål,Gbr,17,Assar KAMMENHED,,,,30,Julius STEN
39,748639,17.40,,SJE,Skud reddet,2:e,29,Magnus FREDRIKSEN,Retur,0,,16,Magnus PETERSEN
40,748639,17.41,,SJE,Time out,,,,,,,,
41,748639,18.04,,SJE,Skud reddet,Gbr,20,August WIGER,,,,16,Magnus PETERSEN
42,748639,18.24,12-8,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,19,Thomas BOILESEN,30,Julius STEN
43,748639,18.57,,SJE,Skud reddet,PL,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
44,748639,19.06,,NSH,Skud blokeret,HB,17,Assar KAMMENHED,Blokeret af,29,Magnus FREDRIKSEN,,
45,748639,19.16,12-9,SJE,Mål,1:e,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,16,Magnus PETERSEN
46,748639,20.06,13-9,NSH,Mål,VB,19,Thomas BOILESEN,,,,1,Matthias DORGELO
47,748639,20.39,13-10,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,16,Magnus PETERSEN
48,748639,21.25,14-10,NSH,Mål,ST,21,Tim RANTALA,Assist,19,Thomas BOILESEN,1,Matthias DORGELO
49,748639,21.40,,SJE,Skud forbi,VF,29,Magnus FREDRIKSEN,,,,16,Magnus PETERSEN
50,748639,22.07,15-10,NSH,Mål,HB,17,Assar KAMMENHED,,,,1,Matthias DORGELO
51,748639,23.01,15-11,SJE,Mål,Gbr,23,Tobias OLSEN,,,,16,Magnus PETERSEN
52,748639,23.43,16-11,NSH,Mål,HB,17,Assar KAMMENHED,,,,1,Matthias DORGELO
53,748639,24.19,16-12,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,23,Tobias OLSEN,16,Magnus PETERSEN
54,748639,24.27,17-12,NSH,Mål,2:e,42,Matias CAMPBELL,,,,1,Matthias DORGELO
55,748639,25.36,17-13,SJE,Mål,ST,14,Jacob BAGERSTED,Assist,23,Tobias OLSEN,16,Magnus PETERSEN
56,748639,25.51,,NSH,Time out,,,,,,,,
57,748639,26.23,,NSH,Fejlaflevering,,7,Leo MARTINÉZ,,,,,
58,748639,26.32,17-14,SJE,Mål,1:e,28,Patrick VOLZ,,,,16,Magnus PETERSEN
59,748639,26.37,,NSH,Skud reddet,2:e,19,Thomas BOILESEN,,,,30,Julius STEN
60,748639,26.46,17-15,SJE,Mål,2:e,29,Magnus FREDRIKSEN,,,,16,Magnus PETERSEN
61,748639,27.27,18-15,NSH,Mål,Gbr,13,Gustav BRUUN,,,,30,Julius STEN
62,748639,28.04,18-16,SJE,Mål,Gbr,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
63,748639,28.36,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
64,748639,28.43,,SJE,Regelfejl,,28,Patrick VOLZ,,,,,
65,748639,29.23,19-16,NSH,Mål,Gbr,79,Oliver KLARSKOV,,,,30,Julius STEN
66,748639,29.53,19-17,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
67,748639,29.59,20-17,NSH,Mål,1:e,42,Matias CAMPBELL,,,,,
68,748639,30.00,20-17,,Halvleg,,,,,,,,
69,748639,30.00,,,Start 2:e halvleg,,,,,,,,
70,748639,30.30,20-18,SJE,Mål,Gbr,20,August WIGER,,,,16,Magnus PETERSEN
71,748639,31.12,,NSH,Skud reddet,Gbr,13,Gustav BRUUN,,,,30,Julius STEN
72,748639,31.43,,SJE,Skud reddet,VB,20,August WIGER,,,,16,Magnus PETERSEN
73,748639,31.54,21-18,NSH,Mål,2:e,13,Gustav BRUUN,,,,30,Julius STEN
74,748639,32.06,21-19,SJE,Mål,HB,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
75,748639,33.07,,NSH,Fejlaflevering,,79,Oliver KLARSKOV,,,,,
76,748639,33.37,,SJE,Skud reddet,PL,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
77,748639,33.43,22-19,NSH,Mål,1:e,14,Rasmus MADSBØLL,Assist,,,16,Magnus PETERSEN
78,748639,33.52,,SJE,Skud reddet,2:e,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
79,748639,34.08,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,,,,30,Julius STEN
80,748639,34.41,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,,,,,
81,748639,35.15,,SJE,Udvisning,,18,Morten BJØRNSHAUGE,,,,,
82,748639,35.44,23-19,NSH,Mål,Gbr,79,Oliver KLARSKOV,Assist,14,Rasmus MADSBØLL,30,Julius STEN
83,748639,36.15,23-20,SJE,Mål,HB,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
84,748639,36.43,24-20,NSH,Mål,PL,42,Matias CAMPBELL,,,,30,Julius STEN
85,748639,37.21,,SJE,Skud blokeret,PL,11,Nicolaj JØRGENSEN,Blokeret af,42,Matias CAMPBELL,,
86,748639,38.10,,NSH,Regelfejl,,79,Oliver KLARSKOV,,,,,
87,748639,38.45,,SJE,Skud reddet,PL,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
88,748639,38.50,25-20,NSH,Mål,2:e,42,Matias CAMPBELL,,,,30,Julius STEN
89,748639,39.31,25-21,SJE,Mål,HB,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
90,748639,40.01,26-21,NSH,Mål,Gbr,13,Gustav BRUUN,,,,30,Julius STEN
91,748639,40.15,,SJE,Regelfejl,,20,August WIGER,,,,,
92,748639,41.04,,NSH,Tabt bold,,7,Leo MARTINÉZ,,,,,
93,748639,41.13,26-22,SJE,Mål,1:e,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,16,Magnus PETERSEN
94,748639,41.48,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
95,748639,43.14,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,,,,,
96,748639,43.23,27-22,NSH,Mål,2:e,42,Matias CAMPBELL,,,,30,Julius STEN
97,748639,43.29,,SJE,Time out,,,,,,,,
98,748639,43.59,27-23,SJE,Mål,ST,33,Ebbe STANKIEWICZ,Assist,18,Morten BJØRNSHAUGE,16,Magnus PETERSEN
99,748639,44.55,,NSH,Regelfejl,,7,Leo MARTINÉZ,,,,,
100,748639,45.09,27-24,SJE,Mål,2:e,33,Ebbe STANKIEWICZ,Assist,11,Nicolaj JØRGENSEN,16,Magnus PETERSEN
101,748639,46.06,,NSH,Fejlaflevering,,57,Nikolaj LARSSON,Bold erobret,29,Magnus FREDRIKSEN,,
102,748639,46.13,27-25,SJE,Mål,1:e,23,Tobias OLSEN,,,,16,Magnus PETERSEN
103,748639,46.20,,NSH,Time out,,,,,,,,
104,748639,46.51,,,,,,,,,,,
105,748639,47.08,28-25,NSH,Mål på straffe,,42,Matias CAMPBELL,,,,30,Julius STEN
106,748639,47.46,28-26,SJE,Mål,VB,23,Tobias OLSEN,,,,16,Magnus PETERSEN
107,748639,47.53,,NSH,Skud på stolpe,2:e,13,Gustav BRUUN,,,,30,Julius STEN
108,748639,48.25,,SJE,Regelfejl,,23,Tobias OLSEN,,,,,
109,748639,48.32,29-26,NSH,Mål,2:e,17,Assar KAMMENHED,,,,30,Julius STEN
110,748639,49.15,,SJE,Advarsel,A,,Rasmus Glad VANDBÆK,,,,,
111,748639,49.44,,SJE,Tabt bold,,29,Magnus FREDRIKSEN,,,,,
112,748639,49.50,30-26,NSH,Mål,1:e,42,Matias CAMPBELL,,,,0,
113,748639,50.18,30-27,SJE,Mål,VB,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
114,748639,50.24,31-27,NSH,Mål,1:e,42,Matias CAMPBELL,,,,0,
115,748639,51.04,31-28,SJE,Mål,VF,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,16,Magnus PETERSEN
116,748639,51.45,,NSH,Skud reddet,ST,11,Jonas RAUNDAHL,,,,30,Julius STEN
117,748639,52.20,31-29,SJE,Mål,HB,48,Gabriel SETTERBLOM,,,,16,Magnus PETERSEN
118,748639,52.58,,NSH,Regelfejl,,17,Assar KAMMENHED,,,,,
119,748639,53.31,31-30,SJE,Mål,VF,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,16,Magnus PETERSEN
120,748639,54.04,32-30,NSH,Mål,Gbr,79,Oliver KLARSKOV,,,,30,Julius STEN
121,748639,54.44,,SJE,Skud reddet,Gbr,48,Gabriel SETTERBLOM,,,,29,Jimmi ANDERSEN
122,748639,55.34,,NSH,Skud reddet,HF,3,Carl-Emil HAUNSTRUP,Retur,0,,30,Julius STEN
123,748639,56.08,33-30,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,57,Nikolaj LARSSON,30,Julius STEN
124,748639,56.40,,SJE,Skud reddet,VB,29,Magnus FREDRIKSEN,,,,29,Jimmi ANDERSEN
125,748639,57.26,,NSH,Skud forbi,ST,21,Tim RANTALA,,,,30,Julius STEN
126,748639,57.29,,SJE,Time out,,,,,,,,
127,748639,57.39,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,,,,,
128,748639,57.45,34-30,NSH,Mål,1:e,17,Assar KAMMENHED,Assist,42,Matias CAMPBELL,0,
129,748639,58.01,34-31,SJE,Mål,VB,11,Nicolaj JØRGENSEN,,,,29,Jimmi ANDERSEN
130,748639,58.44,,NSH,Tilkendt straffe,,42,Matias CAMPBELL,Forårs. str.,14,Jacob BAGERSTED,,
131,748639,58.44,,SJE,Udvisning,,14,Jacob BAGERSTED,,,,,
132,748639,58.47,35-31,NSH,Mål på straffe,,42,Matias CAMPBELL,,,,1,Matthias DORGELO
133,748639,59.23,35-32,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,,,,29,Jimmi ANDERSEN
134,748639,59.47,,NSH,Time out,,,,,,,,
135,748639,59.56,,NSH,Regelfejl,,42,Matias CAMPBELL,,,,,
