id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748643,0.00,,,Start 1:e halvleg,,,,,,,,
2,748643,0.40,1-0,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,Assist,21,Marcus MIDTGAARD,1,Rasmus HENRIKSEN
3,748643,0.53,1-1,TTH,Mål,2:e,6,Frederik BJERRE,Assist,25,Jonas PORUP,30,Svend RUGHAVE
4,748643,1.38,,TTH,Advarsel,,4,Christoffer CICHOSZ,,,,,
5,748643,2.17,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,,,,,
6,748643,2.20,1-2,TTH,Mål,1:e,4,Christoffer CICHOSZ,Assist,18,Edwin ASPENBÄCK,30,Svend RUGHAVE
7,748643,2.29,,TTH,Udvisning,,6,Frederik BJERRE,,,,,
8,748643,2.53,2-2,MTH,Mål,ST,4,Kasper LINDGREN,Assist,10,Mads Svane KNUDSEN,1,Rasmus HENRIKSEN
9,748643,3.29,2-3,TTH,Mål,PL,11,Thomas DAMGAARD,,,,30,Svend RUGHAVE
10,748643,3.45,3-3,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,1,Rasmus HENRIKSEN
11,748643,4.32,,TTH,Tabt bold,,18,Edwin ASPENBÄCK,Bold erobret,15,Henrik Toft HANSEN,,
12,748643,4.40,4-3,MTH,Mål,1:e,23,Henrik TILSTED,Assist,21,Marcus MIDTGAARD,1,Rasmus HENRIKSEN
13,748643,5.07,4-4,TTH,Mål,VB,11,Thomas DAMGAARD,,,,30,Svend RUGHAVE
14,748643,5.22,,MTH,Tabt bold,,10,Mads Svane KNUDSEN,Bold erobret,18,Edwin ASPENBÄCK,,
15,748643,5.26,,TTH,Fejlaflevering,,18,Edwin ASPENBÄCK,Bold erobret,21,Marcus MIDTGAARD,,
16,748643,6.06,5-4,MTH,Mål,PL,10,Mads Svane KNUDSEN,,,,1,Rasmus HENRIKSEN
17,748643,7.08,,TTH,Regelfejl,,23,Miha ZVIZEJ,,,,,
18,748643,7.14,,TTH,Udvisning,,23,Miha ZVIZEJ,,,,,
19,748643,7.33,,MTH,Skud reddet,ST,15,Henrik Toft HANSEN,,,,1,Rasmus HENRIKSEN
20,748643,7.39,5-5,TTH,Mål,1:e,28,Kevin GULLIKSEN,Assist,25,Jonas PORUP,30,Svend RUGHAVE
21,748643,8.00,6-5,MTH,Mål,HF,11,Lasse PEDERSEN,Assist,21,Marcus MIDTGAARD,1,Rasmus HENRIKSEN
22,748643,8.35,,TTH,Skud reddet,Gbr,25,Jonas PORUP,,,,30,Svend RUGHAVE
23,748643,9.08,,MTH,Skud reddet,PL,10,Mads Svane KNUDSEN,,,,1,Rasmus HENRIKSEN
24,748643,9.46,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
25,748643,10.23,,MTH,Skud reddet,ST,11,Lasse PEDERSEN,,,,1,Rasmus HENRIKSEN
26,748643,10.38,,TTH,Tilkendt straffe,,4,Christoffer CICHOSZ,Forårs. str.,19,Victor NORLYK,,
27,748643,10.44,,TTH,Straffekast reddet,,6,Frederik BJERRE,,,,30,Svend RUGHAVE
28,748643,11.56,,MTH,Tilkendt straffe,,23,Henrik TILSTED,Forårs. str.,28,Kevin GULLIKSEN,,
29,748643,12.00,,MTH,Straffekast reddet,,10,Mads Svane KNUDSEN,,,,1,Rasmus HENRIKSEN
30,748643,12.29,,MTH,Advarsel,,33,Kasper DIDRIKSEN,,,,,
31,748643,12.37,,MTH,Advarsel,,30,Svend RUGHAVE,,,,,
32,748643,12.50,,TTH,Skud reddet,VB,22,Nikolaj MARKUSSEN,Retur,0,,30,Svend RUGHAVE
33,748643,13.01,6-6,TTH,Mål,PL,22,Nikolaj MARKUSSEN,,,,30,Svend RUGHAVE
34,748643,14.16,7-6,MTH,Mål,HB,21,Marcus MIDTGAARD,,,,1,Rasmus HENRIKSEN
35,748643,14.26,7-7,TTH,Mål,2:e,6,Frederik BJERRE,Assist,25,Jonas PORUP,30,Svend RUGHAVE
36,748643,15.16,,MTH,Skud forbi,PL,19,Victor NORLYK,,,,1,Rasmus HENRIKSEN
37,748643,15.27,,TTH,Fejlaflevering,,18,Edwin ASPENBÄCK,Bold erobret,33,Kasper DIDRIKSEN,,
38,748643,16.11,,MTH,Fejlaflevering,,19,Victor NORLYK,,,,,
39,748643,17.13,,TTH,Skud blokeret,PL,22,Nikolaj MARKUSSEN,Blok af (ret),4,Kasper LINDGREN,,
40,748643,17.21,7-8,TTH,Mål,HB,22,Nikolaj MARKUSSEN,,,,30,Svend RUGHAVE
41,748643,17.55,8-8,MTH,Mål,Gbr,7,Nichlas HALD,Assist,19,Victor NORLYK,1,Rasmus HENRIKSEN
42,748643,18.27,,MTH,Udvisning,,4,Kasper LINDGREN,,,,,
43,748643,18.37,8-9,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,0,Oliver LARSEN,30,Svend RUGHAVE
44,748643,19.24,,MTH,Skud blokeret,PL,9,Kristoffer VESTERGAARD,Blok af (ret),4,Christoffer CICHOSZ,,
45,748643,19.41,,MTH,Passivt spil,,0,,,,,,
46,748643,20.01,8-10,TTH,Mål,ST,3,Sebastian ØRUM,,,,20,Oliver LARSEN
47,748643,20.42,9-10,MTH,Mål,HB,7,Nichlas HALD,,,,1,Rasmus HENRIKSEN
48,748643,21.29,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,Bold erobret,33,Kasper DIDRIKSEN,,
49,748643,21.32,10-10,MTH,Mål,1:e,15,Henrik Toft HANSEN,Assist,19,Victor NORLYK,1,Rasmus HENRIKSEN
50,748643,22.41,,TTH,Skud reddet,PL,22,Nikolaj MARKUSSEN,,,,20,Oliver LARSEN
51,748643,22.55,11-10,MTH,Mål,ST,23,Henrik TILSTED,,,,1,Rasmus HENRIKSEN
52,748643,23.06,,TTH,Skud reddet,Gbr,7,William AAR,,,,20,Oliver LARSEN
53,748643,23.24,,MTH,Time out,,,,,,,,
54,748643,23.54,12-10,MTH,Mål,VB,7,Nichlas HALD,,,,1,Rasmus HENRIKSEN
55,748643,24.27,12-11,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,20,Oliver LARSEN
56,748643,24.37,13-11,MTH,Mål,PL,7,Nichlas HALD,,,,1,Rasmus HENRIKSEN
57,748643,24.45,,MTH,Udvisning,,4,Kasper LINDGREN,,,,,
58,748643,24.45,,TTH,Tilkendt straffe,,18,Edwin ASPENBÄCK,Forårs. str.,4,Kasper LINDGREN,,
59,748643,24.47,13-12,TTH,Mål på straffe,,6,Frederik BJERRE,,,,20,Oliver LARSEN
60,748643,25.22,14-12,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Sander HEIEREN
61,748643,25.56,14-13,TTH,Mål,ST,3,Sebastian ØRUM,Assist,22,Nikolaj MARKUSSEN,20,Oliver LARSEN
62,748643,26.41,15-13,MTH,Mål,Gbr,7,Nichlas HALD,,,,16,Sander HEIEREN
63,748643,26.50,15-14,TTH,Mål,2:e,4,Christoffer CICHOSZ,,,,,
64,748643,27.53,16-14,MTH,Mål,PL,7,Nichlas HALD,,,,16,Sander HEIEREN
65,748643,28.22,16-15,TTH,Mål,HF,13,Sven EHRIG,Assist,18,Edwin ASPENBÄCK,20,Oliver LARSEN
66,748643,29.13,,MTH,Skud reddet,PL,7,Nichlas HALD,,,,16,Sander HEIEREN
67,748643,29.35,,TTH,Time out,,,,,,,,
68,748643,30.00,16-16,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,20,Oliver LARSEN
69,748643,30.00,16-16,,Halvleg,,,,,,,,
70,748643,30.00,,,Start 2:e halvleg,,,,,,,,
71,748643,30.44,16-17,TTH,Mål,Gbr,7,William AAR,Assist,18,Edwin ASPENBÄCK,20,Oliver LARSEN
72,748643,31.40,17-17,MTH,Mål,Gbr,28,Rasmus MADSEN,,,,16,Sander HEIEREN
