id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748644,0.00,,,Start 1:e halvleg,,,,,,,,
2,748644,0.33,1-0,GIF,Mål,PL,21,Kristoffer VESTERGAARD,Assist,15,Jonas FUGLSBJERG,12,Peter JOHANNESSON
3,748644,1.13,,GOG,Fejlaflevering,,3,Nicolai PEDERSEN,,,,,
4,748644,1.18,2-0,GIF,Mål,1:e,14,Nicolai SKYTTE,Assist,15,Jonas FUGLSBJERG,12,Peter JOHANNESSON
5,748644,2.03,,GOG,Skud blokeret,VB,15,Tobias GRØNDAHL,Blok af (ret),11,Kristoffer JESSEN,,
6,748644,2.21,,GOG,Skud på stolpe,VF,71,Alexander BLONZ,,,,16,Christian WETCHE
7,748644,2.59,3-0,GIF,Mål,HB,14,Nicolai SKYTTE,,,,12,Peter JOHANNESSON
8,748644,3.33,,GIF,Advarsel,,11,Kristoffer JESSEN,,,,,
9,748644,3.53,3-1,GOG,Mål,VF,71,Alexander BLONZ,Assist,3,Nicolai PEDERSEN,16,Christian WETCHE
10,748644,3.58,,GOG,Udvisning,,21,Kasper KILDELUND,,,,,
11,748644,4.23,4-1,GIF,Mål,Gbr,14,Nicolai SKYTTE,,,,12,Peter JOHANNESSON
12,748644,5.00,,GOG,Skud reddet,PL,15,Tobias GRØNDAHL,,,,16,Christian WETCHE
13,748644,5.06,,GIF,Skud forbi,1:e,16,Christian WETCHE,,,,0,
14,748644,5.55,,GOG,Tilkendt straffe,,15,Tobias GRØNDAHL,Forårs. str.,11,Kristoffer JESSEN,,
15,748644,6.04,4-2,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,16,Christian WETCHE
16,748644,6.34,5-2,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,12,Peter JOHANNESSON
17,748644,7.29,,GOG,Fejlaflevering,,15,Tobias GRØNDAHL,,,,,
18,748644,8.07,,GIF,Fejlaflevering,,14,Nicolai SKYTTE,,,,,
19,748644,8.12,,GOG,Fejlaflevering,,21,Kasper KILDELUND,,,,,
20,748644,8.21,,GIF,Skud reddet,2:e,17,Kristian Krag ØRSTED,,,,12,Peter JOHANNESSON
21,748644,8.52,5-3,GOG,Mål,Gbr,37,Linus PERSSON,Assist,15,Tobias GRØNDAHL,16,Christian WETCHE
22,748644,9.47,,GIF,Tilkendt straffe,,21,Kristoffer VESTERGAARD,Forårs. str.,15,Tobias GRØNDAHL,,
23,748644,10.06,6-3,GIF,Mål på straffe,,15,Jonas FUGLSBJERG,,,,12,Peter JOHANNESSON
24,748644,10.42,,GOG,Tilkendt straffe,,9,Henrik JAKOBSEN,Forårs. str.,11,Kristoffer JESSEN,,
25,748644,10.55,,GOG,Straffekast reddet,,15,Tobias GRØNDAHL,,,,16,Christian WETCHE
