id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748645,0.00,,,Start 1:e halvleg,,,,,,,,
2,748645,1.01,0-1,GOG,Mål,ST,66,Anton LINDSKOG,Assist,3,Nicolai PEDERSEN,1,Kristoffer LAURSEN
3,748645,1.14,,SAH,Tilkendt straffe,,5,Frederik ARNOLDSEN,Forårs. str.,9,Henrik JAKOBSEN,,
4,748645,1.24,,GOG,Advarsel,,9,Henrik JAKOBSEN,,,,,
5,748645,1.40,1-1,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,64,Salah BOUTAF
6,748645,2.11,,GOG,Fejlaflevering,,15,Tobias GRØNDAHL,Bold erobret,25,Jeppe CIESLAK,,
7,748645,2.16,2-1,SAH,Mål,1:e,25,Jeppe CIESLAK,,,,64,Salah BOUTAF
8,748645,2.26,2-2,GOG,Mål,2:e,15,Tobias GRØNDAHL,,,,1,Kristoffer LAURSEN
9,748645,2.59,3-2,SAH,Mål,ST,5,Frederik ARNOLDSEN,Assist,3,Kristjan ÖRN KRISTJANSSON,64,Salah BOUTAF
10,748645,3.58,,GOG,Skud på stolpe,PL,15,Tobias GRØNDAHL,,,,1,Kristoffer LAURSEN
11,748645,4.35,4-2,SAH,Mål,VB,15,Emil LÆRKE,,,,64,Salah BOUTAF
12,748645,5.32,4-3,GOG,Mål,ST,66,Anton LINDSKOG,Assist,37,Linus PERSSON,1,Kristoffer LAURSEN
13,748645,6.11,,SAH,Fejlaflevering,,5,Frederik ARNOLDSEN,,,,,
14,748645,6.16,4-4,GOG,Mål,1:e,71,Alexander BLONZ,Assist,3,Nicolai PEDERSEN,1,Kristoffer LAURSEN
15,748645,6.44,5-4,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,64,Salah BOUTAF
16,748645,6.56,5-5,GOG,Mål,2:e,15,Tobias GRØNDAHL,,,,1,Kristoffer LAURSEN
17,748645,7.03,6-5,SAH,Mål,2:e,5,Frederik ARNOLDSEN,Assist,6,Kristian BONEFELD,64,Salah BOUTAF
18,748645,7.33,6-6,GOG,Mål,VF,71,Alexander BLONZ,Assist,3,Nicolai PEDERSEN,1,Kristoffer LAURSEN
19,748645,8.17,7-6,SAH,Mål,PL,3,Kristjan ÖRN KRISTJANSSON,,,,64,Salah BOUTAF
20,748645,8.27,7-7,GOG,Mål,2:e,37,Linus PERSSON,,,,1,Kristoffer LAURSEN
21,748645,9.00,,SAH,Skud reddet,HB,3,Kristjan ÖRN KRISTJANSSON,,,,64,Salah BOUTAF
22,748645,9.06,7-8,GOG,Mål,1:e,71,Alexander BLONZ,Assist,,,64,Salah BOUTAF
23,748645,10.11,,SAH,Tilkendt straffe,,20,Morten BALLING,Forårs. str.,37,Linus PERSSON,,
24,748645,10.35,8-8,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,64,Salah BOUTAF
25,748645,11.12,8-9,GOG,Mål,VB,3,Nicolai PEDERSEN,,,,12,Magnus BRANDBYGE
26,748645,11.47,,SAH,Skud reddet,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,64,Salah BOUTAF
27,748645,12.15,,GOG,Skud på stolpe,Gbr,15,Tobias GRØNDAHL,,,,12,Magnus BRANDBYGE
28,748645,12.28,,SAH,Tilkendt straffe,,3,Kristjan ÖRN KRISTJANSSON,Forårs. str.,71,Alexander BLONZ,,
29,748645,12.39,9-9,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,12,Peter JOHANNESSON
30,748645,13.07,9-10,GOG,Mål,VB,3,Nicolai PEDERSEN,,,,12,Magnus BRANDBYGE
31,748645,13.44,10-10,SAH,Mål,ST,28,Morten KAALUND,Assist,15,Emil LÆRKE,64,Salah BOUTAF
32,748645,13.56,10-11,GOG,Mål,2:e,29,Hjalte LYKKE,,,,12,Magnus BRANDBYGE
33,748645,14.31,,SAH,Skud forbi,VB,15,Emil LÆRKE,,,,64,Salah BOUTAF
34,748645,15.13,10-12,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,29,Hjalte LYKKE,12,Magnus BRANDBYGE
