id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748647,0.00,,,Start 1:e halvleg,,,,,,,,
2,748647,0.41,,SKH,Fejlaflevering,,25,Eivind TANGEN,,,,,
3,748647,0.43,,MTH,Skud på stolpe,1:e,15,Henrik Toft HANSEN,,,,1,Christoffer BONDE
4,748647,1.22,,SKH,Tilkendt straffe,,14,Emil BERGHOLT,Forårs. str.,33,Kasper DIDRIKSEN,,
5,748647,1.44,,SKH,Straffekast på stolpe,,19,Bjarke CHRISTENSEN,,,,30,Svend RUGHAVE
6,748647,2.13,,MTH,Fejlaflevering,,21,Marcus MIDTGAARD,,,,,
7,748647,2.25,,SKH,Skud på stolpe,2:e,13,Noah GAUDIN,,,,30,Svend RUGHAVE
8,748647,3.09,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,,,,,
9,748647,3.17,,SKH,Regelfejl,,13,Noah GAUDIN,,,,,
10,748647,3.43,,MTH,Skud reddet,PL,21,Marcus MIDTGAARD,,,,1,Christoffer BONDE
11,748647,3.52,,SKH,Skud reddet,HB,25,Eivind TANGEN,,,,30,Svend RUGHAVE
12,748647,4.06,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,Bold erobret,13,Noah GAUDIN,,
13,748647,4.13,1-0,SKH,Mål,1:e,25,Eivind TANGEN,Assist,13,Noah GAUDIN,30,Svend RUGHAVE
14,748647,4.52,1-1,MTH,Mål,PL,9,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
15,748647,5.20,,SKH,Skud reddet,Gbr,13,Noah GAUDIN,,,,30,Svend RUGHAVE
16,748647,5.53,,MTH,Regelfejl,,9,Kristoffer VESTERGAARD,,,,,
17,748647,5.58,,SKH,Fejlaflevering,,22,Jakob RASMUSSEN,,,,,
18,748647,6.02,1-2,MTH,Mål,1:e,23,Henrik TILSTED,,,,1,Christoffer BONDE
19,748647,6.50,2-2,SKH,Mål,VB,22,Jakob RASMUSSEN,,,,30,Svend RUGHAVE
20,748647,7.00,2-3,MTH,Mål,2:e,21,Marcus MIDTGAARD,,,,1,Christoffer BONDE
21,748647,7.31,3-3,SKH,Mål,Gbr,25,Eivind TANGEN,,,,30,Svend RUGHAVE
22,748647,8.16,,MTH,Skud forbi,PL,9,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
23,748647,8.44,4-3,SKH,Mål,HB,25,Eivind TANGEN,,,,30,Svend RUGHAVE
24,748647,9.35,4-4,MTH,Mål,PL,9,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
25,748647,10.09,,SKH,Fejlaflevering,,25,Eivind TANGEN,,,,,
26,748647,10.45,,MTH,Fejlaflevering,,19,Victor NORLYK,,,,,
27,748647,10.49,5-4,SKH,Mål,1:e,13,Noah GAUDIN,,,,30,Svend RUGHAVE
28,748647,11.07,5-5,MTH,Mål,VF,23,Henrik TILSTED,Assist,21,Marcus MIDTGAARD,1,Christoffer BONDE
29,748647,11.52,,MTH,Advarsel,,33,Kasper DIDRIKSEN,,,,,
30,748647,12.29,,SKH,Fejlaflevering,,22,Jakob RASMUSSEN,,,,,
31,748647,13.04,5-6,MTH,Mål,PL,7,Nichlas HALD,,,,1,Christoffer BONDE
32,748647,13.39,,SKH,Fejlaflevering,,15,Lasse MIKKELSEN,,,,,
33,748647,13.44,5-7,MTH,Mål,1:e,23,Henrik TILSTED,Assist,7,Nichlas HALD,1,Christoffer BONDE
34,748647,14.32,,SKH,Skud reddet,HB,22,Jakob RASMUSSEN,,,,30,Svend RUGHAVE
35,748647,14.37,,MTH,Fejlaflevering,,7,Nichlas HALD,Bold erobret,19,Bjarke CHRISTENSEN,,
36,748647,15.37,,SKH,Tilkendt straffe,,7,Senjamin BURIC,Forårs. str.,4,Kasper LINDGREN,,
37,748647,16.02,6-7,SKH,Mål på straffe,,15,Lasse MIKKELSEN,,,,30,Svend RUGHAVE
38,748647,16.29,6-8,MTH,Mål,VB,7,Nichlas HALD,,,,1,Christoffer BONDE
39,748647,17.04,7-8,SKH,Mål,Gbr,13,Noah GAUDIN,,,,30,Svend RUGHAVE
40,748647,17.39,,MTH,Skud blokeret,PL,7,Nichlas HALD,Blok af (ret),7,Senjamin BURIC,,
41,748647,18.01,,MTH,Tilkendt straffe,,15,Henrik Toft HANSEN,Forårs. str.,7,Senjamin BURIC,,
42,748647,18.30,,MTH,Straffekast reddet,,10,Mads Svane KNUDSEN,,,,1,Christoffer BONDE
43,748647,19.30,,SKH,Skud reddet,Gbr,10,Joaquim NAZARÉ,Retur,0,,30,Svend RUGHAVE
44,748647,19.54,,SKH,Skud blokeret,VB,13,Noah GAUDIN,Blok af (ret),15,Henrik Toft HANSEN,,
45,748647,20.09,,SKH,Skud reddet,ST,7,Senjamin BURIC,,,,30,Svend RUGHAVE
46,748647,20.28,,MTH,Tilkendt straffe,,28,Rasmus MADSEN,Forårs. str.,15,Lasse MIKKELSEN,,
47,748647,20.28,,SKH,Udvisning,,15,Lasse MIKKELSEN,,,,,
