id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748649,0.00,,,Start 1:e halvleg,,,,,,,,
2,748649,0.30,,KIF,Skud reddet,PL,28,Lauritz LEGÉR,,,,16,Andreas HAAGEN
3,748649,1.01,0-1,TMS,Mål,VB,17,Oliver WOSNIAK,,,,12,Josip CAVAR
4,748649,1.39,,KIF,Regelfejl,,18,Benjamin PEDERSEN,,,,,
5,748649,2.15,,KIF,Udvisning,,13,Mathias HEDEGAARD,,,,,
6,748649,2.27,,TMS,Regelfejl,,19,Benjamin HALLGREN,,,,,
7,748649,2.27,,TMS,Udvisning,,19,Benjamin HALLGREN,,,,,
8,748649,2.50,,KIF,Skud reddet,HF,29,Viktor NEVERS,,,,16,Andreas HAAGEN
9,748649,3.17,0-2,TMS,Mål,VB,17,Oliver WOSNIAK,,,,12,Josip CAVAR
10,748649,4.08,1-2,KIF,Mål,HB,5,Oliver NORLYK,,,,16,Andreas HAAGEN
11,748649,4.24,,TMS,Skud forbi,PL,2,Joachim MØLLER,,,,,
12,748649,4.31,2-2,KIF,Mål,HF,29,Viktor NEVERS,Assist,5,Oliver NORLYK,16,Andreas HAAGEN
13,748649,5.06,,TMS,Skud blokeret,PL,17,Oliver WOSNIAK,Blok af (ret),18,Benjamin PEDERSEN,,
14,748649,5.23,,TMS,Skud reddet,HB 19,19,Benjamin HALLGREN,,,,12,Josip CAVAR
15,748649,5.31,,KIF,Udvisning,,21,Kristian STOKLUND,,,,,
16,748649,5.34,,KIF,Regelfejl,,0,,,,,,
17,748649,5.48,,TMS,Skud på stolpe,Gbr 44,44,Tobias TOMBAK,,,,12,Josip CAVAR
18,748649,5.53,3-2,KIF,Mål,PL,12,Josip CAVAR,,,,0,
19,748649,6.23,3-3,TMS,Mål,VB,17,Oliver WOSNIAK,,,,12,Josip CAVAR
20,748649,6.55,4-3,KIF,Mål,PL,5,Oliver NORLYK,,,,16,Andreas HAAGEN
21,748649,7.21,,TMS,Tilkendt straffe,,24,Simon OOMS,Forårs. str.,18,Benjamin PEDERSEN,,
22,748649,7.43,,TMS,Straffekast reddet,,81,Tobias NIELSEN,,,,12,Josip CAVAR
23,748649,8.44,,KIF,Fejlaflevering,,28,Lauritz LEGÉR,Bold erobret,17,Oliver WOSNIAK,,
