id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748650,0.00,,,Start 1:e halvleg,,,,,,,,
2,748650,0.37,0-1,REH,Mål,PL,81,Alfred JÖNSSON,,,,1,Matthias DORGELO
3,748650,1.24,,SJE,Skud reddet,PL,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
4,748650,1.50,,REH,Skud blokeret,VB,14,Nicolaj SPANGGAARD,Blokeret af,0,,,
5,748650,2.05,,SJE,Skud reddet,HB,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
6,748650,2.30,,REH,Skud reddet,PL,6,Jonathan WÜRTZ,Retur,11,Mathias JØRGENSEN,1,Matthias DORGELO
7,748650,3.06,0-2,REH,Mål,ST,17,Andreas SØGAARD,Assist,14,Nicolaj SPANGGAARD,1,Matthias DORGELO
8,748650,3.48,1-2,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
9,748650,3.52,,REH,Fejlaflevering,,81,Alfred JÖNSSON,,,,,
10,748650,3.59,2-2,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
11,748650,4.26,,REH,Skud på stolpe,HB,14,Nicolaj SPANGGAARD,,,,1,Matthias DORGELO
12,748650,4.52,,SJE,Tilkendt straffe,,29,Magnus FREDRIKSEN,Forårs. str.,81,Alfred JÖNSSON,,
13,748650,5.05,,REH,Advarsel,,81,Alfred JÖNSSON,,,,,
14,748650,5.11,3-2,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,1,Niklas KRAFT
15,748650,5.43,,REH,Skud reddet,PL,6,Jonathan WÜRTZ,,,,1,Matthias DORGELO
16,748650,5.50,4-2,SJE,Mål,2:e,48,Gabriel SETTERBLOM,,,,16,Ágúst BJÖRGVINSSON
17,748650,6.02,,REH,Skud reddet,VB,81,Alfred JÖNSSON,,,,1,Matthias DORGELO
18,748650,6.39,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,,,,,
19,748650,6.45,4-3,REH,Mål,1:e,81,Alfred JÖNSSON,,,,1,Matthias DORGELO
20,748650,7.10,,SJE,Tabt bold,,48,Gabriel SETTERBLOM,,,,,
21,748650,7.21,4-4,REH,Mål,2:e,17,Andreas SØGAARD,,,,1,Matthias DORGELO
22,748650,7.43,5-4,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,16,Ágúst BJÖRGVINSSON
23,748650,9.10,,SJE,Udvisning,,14,Jacob BAGERSTED,,,,,
24,748650,9.25,5-5,REH,Mål,ST,17,Andreas SØGAARD,Assist,81,Alfred JÖNSSON,1,Matthias DORGELO
25,748650,10.06,6-5,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,48,Gabriel SETTERBLOM,16,Ágúst BJÖRGVINSSON
26,748650,10.44,6-6,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,27,Andre Sindre AHO,1,Matthias DORGELO
