id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748651,0.00,,,Start 1:e halvleg,,,,,,,,
2,748651,0.55,0-1,GIF,Mål,Gbr,14,Nicolai SKYTTE,,,,16,Magnus PETERSEN
3,748651,1.34,1-1,NSH,Mål,HB,57,Nikolaj LARSSON,,,,16,Christian WETCHE
4,748651,2.21,,GIF,Skud blokeret,PL,21,Kristoffer VESTERGAARD,Blok af (ret),42,Matias CAMPBELL,,
5,748651,2.32,1-2,GIF,Mål,ST,21,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
6,748651,2.55,,NSH,Fejlaflevering,,7,Leo MARTINÉZ,Bold erobret,7,Jakob VILLEMOES,,
7,748651,3.02,,GIF,Skud reddet,2:e,17,Kristian Krag ØRSTED,,,,16,Magnus PETERSEN
8,748651,3.24,2-2,NSH,Mål,HB,57,Nikolaj LARSSON,,,,16,Christian WETCHE
9,748651,3.54,,GIF,Skud reddet,VB,14,Nicolai SKYTTE,,,,16,Magnus PETERSEN
10,748651,4.50,,NSH,Skud reddet,Gbr,13,Gustav BRUUN,,,,16,Christian WETCHE
11,748651,5.05,2-3,GIF,Mål,2:e,20,Frederik IVERSEN,Assist,15,Jonas FUGLSBJERG,16,Magnus PETERSEN
12,748651,5.17,,NSH,Tabt bold,,42,Matias CAMPBELL,,,,,
13,748651,6.04,,GIF,Skud forbi,PL,21,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
14,748651,6.51,,NSH,Skud reddet,Gbr,7,Leo MARTINÉZ,,,,16,Christian WETCHE
15,748651,7.00,,GIF,Regelfejl,,15,Jonas FUGLSBJERG,,,,,
16,748651,7.07,,NSH,Skud reddet,2:e,5,Julius MØRCH,,,,16,Christian WETCHE
17,748651,7.51,,GIF,Skud reddet,Gbr,15,Jonas FUGLSBJERG,,,,16,Magnus PETERSEN
18,748651,8.35,3-3,NSH,Mål,ST,5,Julius MØRCH,Assist,13,Gustav BRUUN,16,Christian WETCHE
