id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748652,0.00,,,Start 1:e halvleg,,,,,,,,
2,748652,0.37,,SKH,Skud reddet,Gbr,15,Lasse MIKKELSEN,,,,1,Mikkel LØVKVIST
3,748652,1.04,1-0,BSH,Mål,VB,32,Nikolaj LÆSØ,Assist,34,Morten OLSEN,1,Christoffer BONDE
4,748652,1.41,,SKH,Skud reddet,PL,13,Noah GAUDIN,Retur,0,,1,Mikkel LØVKVIST
5,748652,3.05,,SKH,Passivt spil,,0,,,,,,
6,748652,3.56,,BSH,Skud forbi,HB,26,Peter BALLING,,,,1,Christoffer BONDE
7,748652,4.34,1-1,SKH,Mål,ST,14,Emil BERGHOLT,Assist,13,Noah GAUDIN,1,Mikkel LØVKVIST
8,748652,5.08,,BSH,Regelfejl,,14,Alexander LYNGGAARD,,,,,
9,748652,5.48,,SKH,Regelfejl,,14,Emil BERGHOLT,,,,,
10,748652,6.00,,BSH,Skud på stolpe,2:e,32,Nikolaj LÆSØ,,,,1,Christoffer BONDE
11,748652,6.28,,SKH,Skud reddet,VB,13,Noah GAUDIN,,,,1,Mikkel LØVKVIST
12,748652,6.38,,BSH,Skud blokeret,2:e,32,Nikolaj LÆSØ,Blok af (ret),14,Emil BERGHOLT,,
13,748652,7.04,2-1,BSH,Mål,PL,34,Morten OLSEN,,,,1,Christoffer BONDE
14,748652,7.38,,SKH,Skud reddet,Gbr,13,Noah GAUDIN,Retur,0,,1,Mikkel LØVKVIST
15,748652,7.58,2-2,SKH,Mål,PL,15,Lasse MIKKELSEN,,,,1,Mikkel LØVKVIST
16,748652,8.07,3-2,BSH,Mål,2:e,34,Morten OLSEN,,,,1,Christoffer BONDE
17,748652,8.43,3-3,SKH,Mål,ST,14,Emil BERGHOLT,Assist,13,Noah GAUDIN,1,Mikkel LØVKVIST
18,748652,9.19,,SKH,Advarsel,,18,Vetle RØNNINGEN,,,,,
19,748652,9.40,,BSH,Skud reddet,HB,34,Morten OLSEN,,,,1,Christoffer BONDE
20,748652,9.46,3-4,SKH,Mål,2:e,10,Joaquim NAZARÉ,Assist,14,Emil BERGHOLT,1,Mikkel LØVKVIST
21,748652,10.25,4-4,BSH,Mål,Gbr,32,Nikolaj LÆSØ,,,,1,Christoffer BONDE
22,748652,11.00,,SKH,Skud reddet,Gbr,10,Joaquim NAZARÉ,,,,1,Mikkel LØVKVIST
23,748652,11.52,5-4,BSH,Mål,ST,22,Anders ZACHARIASSEN,Assist,34,Morten OLSEN,1,Christoffer BONDE
24,748652,12.24,,SKH,Fejlaflevering,,10,Joaquim NAZARÉ,,,,,
25,748652,12.33,6-4,BSH,Mål,2:e,11,Rasmus LAUGE,,,,1,Christoffer BONDE
26,748652,12.40,,SKH,Skud reddet,2:e,13,Noah GAUDIN,,,,1,Mikkel LØVKVIST
27,748652,13.19,,SKH,Advarsel,,7,Senjamin BURIC,,,,,
28,748652,13.39,7-4,BSH,Mål,VF,23,Mads LENBROCH,Assist,32,Nikolaj LÆSØ,1,Christoffer BONDE
29,748652,13.43,,SKH,Time out,,,,,,,,
30,748652,14.06,7-5,SKH,Mål,ST,14,Emil BERGHOLT,Assist,13,Noah GAUDIN,1,Mikkel LØVKVIST
31,748652,14.13,8-5,BSH,Mål,2:e,11,Rasmus LAUGE,,,,1,Christoffer BONDE
32,748652,14.48,,SKH,Skud reddet,VB,15,Lasse MIKKELSEN,,,,1,Mikkel LØVKVIST
33,748652,14.56,,BSH,Skud reddet,2:e,11,Rasmus LAUGE,,,,1,Christoffer BONDE
34,748652,15.55,8-6,SKH,Mål,ST,14,Emil BERGHOLT,Assist,25,Eivind TANGEN,1,Mikkel LØVKVIST
35,748652,16.35,9-6,BSH,Mål,PL,34,Morten OLSEN,,,,1,Christoffer BONDE
36,748652,16.52,,BSH,Advarsel,,22,Anders ZACHARIASSEN,,,,,
37,748652,17.36,9-7,SKH,Mål,PL,25,Eivind TANGEN,Assist,22,Jakob RASMUSSEN,1,Mikkel LØVKVIST
38,748652,18.11,,BSH,Skud reddet,PL,34,Morten OLSEN,,,,1,Christoffer BONDE
39,748652,18.20,,SKH,Skud forbi,2:e,25,Eivind TANGEN,,,,1,Mikkel LØVKVIST
40,748652,19.04,10-7,BSH,Mål,PL,11,Rasmus LAUGE,,,,1,Christoffer BONDE
41,748652,20.03,,SKH,Skud reddet,Gbr,22,Jakob RASMUSSEN,,,,1,Mikkel LØVKVIST
42,748652,20.42,11-7,BSH,Mål,PL,11,Rasmus LAUGE,,,,1,Christoffer BONDE
43,748652,21.17,,SKH,Fejlaflevering,,25,Eivind TANGEN,,,,,
44,748652,21.31,,SKH,Udvisning,,7,Senjamin BURIC,,,,,
45,748652,21.52,12-7,BSH,Mål,PL,11,Rasmus LAUGE,,,,1,Christoffer BONDE
46,748652,22.43,,SKH,Skud reddet,VB,22,Jakob RASMUSSEN,,,,1,Mikkel LØVKVIST
47,748652,22.49,13-7,BSH,Mål,1:e,23,Mads LENBROCH,Assist,14,Alexander LYNGGAARD,0,
48,748652,23.43,,SKH,Fejlaflevering,,13,Noah GAUDIN,,,,,
49,748652,23.48,14-7,BSH,Mål,1:e,4,Patrick BOLDSEN,Assist,11,Rasmus LAUGE,1,Christoffer BONDE
50,748652,23.52,,SKH,Time out,,,,,,,,
51,748652,24.12,14-8,SKH,Mål,Gbr,22,Jakob RASMUSSEN,,,,1,Mikkel LØVKVIST
52,748652,24.49,,BSH,Skud reddet,Gbr,11,Rasmus LAUGE,,,,1,Christoffer BONDE
53,748652,25.58,14-9,SKH,Mål,PL,10,Joaquim NAZARÉ,,,,1,Mikkel LØVKVIST
54,748652,26.36,,BSH,Time out,,,,,,,,
55,748652,26.52,,BSH,Skud reddet,HF,4,Patrick BOLDSEN,,,,1,Christoffer BONDE
56,748652,27.23,,SKH,Skud reddet,VF,19,Bjarke CHRISTENSEN,,,,1,Mikkel LØVKVIST
57,748652,27.45,,SKH,Udvisning,,13,Noah GAUDIN,,,,,
58,748652,27.57,15-9,BSH,Mål,HF,4,Patrick BOLDSEN,Assist,26,Peter BALLING,1,Christoffer BONDE
59,748652,28.52,,SKH,Passivt spil,,0,,,,,,
60,748652,29.44,16-9,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,34,Morten OLSEN,1,Christoffer BONDE
61,748652,29.59,16-10,SKH,Mål,ST,14,Emil BERGHOLT,Assist,10,Joaquim NAZARÉ,1,Mikkel LØVKVIST
62,748652,30.00,16-10,,Halvleg,,,,,,,,
63,748652,30.00,,,Start 2:e halvleg,,,,,,,,
