id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748655,0.00,,,Start 1:e halvleg,,,,,,,,
2,748655,1.03,,TMS,Fejlaflevering,,10,Frederik HORN,Bold erobret,29,Magnus FREDRIKSEN,,
3,748655,1.08,0-1,SJE,Mål,1:e,29,Magnus FREDRIKSEN,,,,0,
4,748655,1.38,,TMS,Tabt bold,,19,Benjamin HALLGREN,Bold erobret,29,Magnus FREDRIKSEN,,
5,748655,2.36,,SJE,Regelfejl,,23,Tobias OLSEN,,,,,
6,748655,2.41,1-1,TMS,Mål,1:e,2,Joachim MØLLER,Assist,19,Benjamin HALLGREN,1,Matthias DORGELO
7,748655,3.33,,SJE,Skud reddet,Gbr,23,Tobias OLSEN,,,,16,Andreas HAAGEN
8,748655,3.43,,TMS,Tilkendt straffe,,24,Simon OOMS,Forårs. str.,29,Magnus FREDRIKSEN,,
9,748655,4.03,2-1,TMS,Mål på straffe,,7,Christoffer DREYER,,,,1,Matthias DORGELO
10,748655,4.42,2-2,SJE,Mål,VF,28,Patrick VOLZ,Assist,11,Nicolaj JØRGENSEN,16,Andreas HAAGEN
11,748655,5.33,,SJE,Advarsel,,18,Morten BJØRNSHAUGE,,,,,
12,748655,5.51,3-2,TMS,Mål,HF,81,Tobias NIELSEN,Assist,19,Benjamin HALLGREN,1,Matthias DORGELO
13,748655,6.41,,SJE,Skud reddet,PL,11,Nicolaj JØRGENSEN,,,,16,Andreas HAAGEN
14,748655,6.53,,TMS,Regelfejl,,7,Christoffer DREYER,,,,,
15,748655,6.56,3-3,SJE,Mål,1:e,11,Nicolaj JØRGENSEN,Assist,23,Tobias OLSEN,16,Andreas HAAGEN
16,748655,7.34,,TMS,Skud reddet,Gbr,19,Benjamin HALLGREN,,,,1,Matthias DORGELO
17,748655,7.43,,SJE,Skud reddet,2:e,23,Tobias OLSEN,,,,16,Andreas HAAGEN
18,748655,7.50,4-3,TMS,Mål,1:e,24,Simon OOMS,Assist,7,Christoffer DREYER,1,Matthias DORGELO
19,748655,8.25,,SJE,Skud reddet,Gbr,29,Magnus FREDRIKSEN,,,,16,Andreas HAAGEN
20,748655,8.33,5-3,TMS,Mål,2:e,2,Joachim MØLLER,Assist,19,Benjamin HALLGREN,1,Matthias DORGELO
21,748655,9.34,5-4,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,16,Andreas HAAGEN
22,748655,10.03,6-4,TMS,Mål,PL,7,Christoffer DREYER,,,,1,Matthias DORGELO
23,748655,10.35,,SJE,Skud forbi,Gbr,23,Tobias OLSEN,,,,16,Andreas HAAGEN
24,748655,10.43,7-4,TMS,Mål,2:e,10,Frederik HORN,Assist,7,Christoffer DREYER,1,Matthias DORGELO
25,748655,10.52,,SJE,Time out,,,,,,,,
26,748655,11.21,7-5,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,,,,16,Andreas HAAGEN
27,748655,11.53,8-5,TMS,Mål,PL,10,Frederik HORN,Assist,2,Joachim MØLLER,1,Matthias DORGELO
28,748655,12.08,,TMS,Advarsel,,2,Joachim MØLLER,,,,,
29,748655,12.31,8-6,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,Assist,29,Magnus FREDRIKSEN,16,Andreas HAAGEN
30,748655,13.12,9-6,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,1,Matthias DORGELO
31,748655,13.28,9-7,SJE,Mål,1:e,29,Magnus FREDRIKSEN,,,,16,Andreas HAAGEN
32,748655,13.32,,TMS,Tilkendt straffe,,7,Christoffer DREYER,Forårs. str.,20,August WIGER,,
33,748655,13.36,10-7,TMS,Mål på straffe,,7,Christoffer DREYER,,,,1,Matthias DORGELO
34,748655,14.13,,TMS,Udvisning,,7,Christoffer DREYER,,,,,
35,748655,14.41,10-8,SJE,Mål,HF,33,Ebbe STANKIEWICZ,Assist,20,August WIGER,16,Andreas HAAGEN
36,748655,15.21,11-8,TMS,Mål,ST,25,Anders AGGER,Assist,19,Benjamin HALLGREN,1,Matthias DORGELO
37,748655,15.57,11-9,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,16,Andreas HAAGEN
38,748655,17.00,12-9,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,30,Julius STEN
39,748655,17.30,12-10,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,,,,16,Andreas HAAGEN
40,748655,18.07,,TMS,Regelfejl,,22,Axel ANDERSSON,,,,,
41,748655,18.23,,SJE,Skud forbi,VF,28,Patrick VOLZ,,,,16,Andreas HAAGEN
42,748655,18.57,13-10,TMS,Mål,PL,17,Oliver WOSNIAK,,,,30,Julius STEN
43,748655,19.27,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,Bold erobret,81,Tobias NIELSEN,,
44,748655,19.35,,TMS,Skud reddet,1:e,81,Tobias NIELSEN,,,,30,Julius STEN
