id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748656,0.00,,,Start 1:e halvleg,,,,,,,,
2,748656,0.57,,FHK,Skud reddet,PL,31,William ANDERSSON MOBERG,,,,1,Emil TELLERUP
3,748656,1.58,,KIF,Skud forbi,PL,21,Kristian STOKLUND,,,,1,Sebastian FRANDSEN
4,748656,2.05,,FHK,Skud reddet,2:e,97,Reinier TABOADA,Retur,97,Reinier TABOADA,1,Emil TELLERUP
5,748656,2.13,,FHK,Skud reddet,ST,97,Reinier TABOADA,Retur,0,,1,Emil TELLERUP
6,748656,2.59,,FHK,Skud reddet,Gbr,31,William ANDERSSON MOBERG,Retur,0,,1,Emil TELLERUP
7,748656,3.31,,FHK,Tilkendt straffe,,41,Evgeni PEVNOV,Forårs. str.,13,Mathias HEDEGAARD,,
8,748656,3.55,1-0,FHK,Mål på straffe,,17,Arnór VIÐARSSON,,,,1,Emil TELLERUP
9,748656,4.52,,KIF,Skud reddet,PL,5,Oliver NORLYK,,,,1,Sebastian FRANDSEN
10,748656,5.30,,FHK,Skud forbi,HB,93,Anders MARTINUSEN,,,,1,Emil TELLERUP
11,748656,6.17,,KIF,Fejlaflevering,,21,Kristian STOKLUND,,,,,
12,748656,6.23,2-0,FHK,Mål,1:e,9,Martin BISGAARD,Assist,93,Anders MARTINUSEN,1,Emil TELLERUP
13,748656,6.43,,FHK,Advarsel,,97,Reinier TABOADA,,,,,
14,748656,7.06,,KIF,Fejlaflevering,,21,Kristian STOKLUND,Bold erobret,97,Reinier TABOADA,,
15,748656,7.09,3-0,FHK,Mål,1:e,97,Reinier TABOADA,,,,0,
16,748656,7.16,,KIF,Time out,,,,,,,,
17,748656,7.32,3-1,KIF,Mål,VF,4,Lars SKAARUP,Assist,28,Lauritz LEGÉR,1,Sebastian FRANDSEN
18,748656,7.50,,FHK,Regelfejl,,97,Reinier TABOADA,,,,,
19,748656,8.26,,KIF,Skud reddet,PL,21,Kristian STOKLUND,,,,1,Sebastian FRANDSEN
20,748656,8.36,4-1,FHK,Mål,2:e,31,William ANDERSSON MOBERG,,,,1,Emil TELLERUP
21,748656,8.43,4-2,KIF,Mål,2:e,21,Kristian STOKLUND,,,,1,Sebastian FRANDSEN
22,748656,9.29,,FHK,Tabt bold,,41,Evgeni PEVNOV,Bold erobret,5,Oliver NORLYK,,
23,748656,9.34,,KIF,Skud reddet,1:e,4,Lars SKAARUP,,,,1,Sebastian FRANDSEN
24,748656,9.46,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,,,,,
25,748656,10.16,,KIF,Tabt bold,,21,Kristian STOKLUND,Bold erobret,7,Kasper YOUNG,,
26,748656,10.20,5-2,FHK,Mål,1:e,41,Evgeni PEVNOV,Assist,7,Kasper YOUNG,0,
27,748656,10.49,,KIF,Regelfejl,,28,Lauritz LEGÉR,,,,,
28,748656,11.19,6-2,FHK,Mål,Gbr,97,Reinier TABOADA,,,,1,Emil TELLERUP
