id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748657,0.00,,,Start 1:e halvleg,,,,,,,,
2,748657,0.51,0-1,AAH,Mål,VB,18,Aleks VLAH,,,,30,Svend RUGHAVE
3,748657,1.32,1-1,MTH,Mål,Gbr,28,Rasmus MADSEN,Assist,19,Victor NORLYK,12,Fabian NORSTEN
4,748657,2.47,,MTH,Advarsel,,28,Rasmus MADSEN,,,,,
5,748657,3.08,,MTH,Udvisning,,28,Rasmus MADSEN,,,,,
6,748657,3.25,1-2,AAH,Mål,Gbr,9,Miguel MARTINS,,,,30,Svend RUGHAVE
7,748657,4.01,,MTH,Skud forbi,PL,21,Marcus MIDTGAARD,,,,12,Fabian NORSTEN
8,748657,4.12,1-3,AAH,Mål,1:e,6,Sebastian BARTHOLD,Assist,0,0,,
9,748657,5.05,2-3,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,12,Fabian NORSTEN
10,748657,5.15,2-4,AAH,Mål,2:e,14,Mads HOXER,,,,30,Svend RUGHAVE
11,748657,5.22,3-4,MTH,Mål,2:e,21,Marcus MIDTGAARD,,,,12,Fabian NORSTEN
12,748657,5.58,3-5,AAH,Mål,PL,14,Mads HOXER,,,,30,Svend RUGHAVE
13,748657,6.08,,MTH,Skud reddet,2:e,19,Victor NORLYK,,,,12,Fabian NORSTEN
14,748657,6.18,3-6,AAH,Mål,2:e,9,Miguel MARTINS,,,,30,Svend RUGHAVE
15,748657,7.43,4-6,MTH,Mål,PL,19,Victor NORLYK,,,,12,Fabian NORSTEN
16,748657,7.56,,AAH,Tabt bold,,18,Aleks VLAH,Bold erobret,28,Rasmus MADSEN,,
17,748657,8.10,,MTH,Tilkendt straffe,,21,Marcus MIDTGAARD,Forårs. str.,11,Simon HALD,,
18,748657,8.15,,AAH,Advarsel,,11,Simon HALD,,,,,
19,748657,8.28,5-6,MTH,Mål på straffe,,11,Lasse PEDERSEN,,,,12,Fabian NORSTEN
20,748657,9.26,,AAH,Skud forbi,PL,9,Miguel MARTINS,,,,30,Svend RUGHAVE
21,748657,9.59,,MTH,Skud blokeret,PL,28,Rasmus MADSEN,Blok af (ret),11,Simon HALD,,
22,748657,10.13,6-6,MTH,Mål,HB,28,Rasmus MADSEN,,,,12,Fabian NORSTEN
23,748657,10.48,,MTH,Advarsel,,4,Kasper LINDGREN,,,,,
24,748657,11.17,,MTH,Udvisning,,33,Kasper DIDRIKSEN,,,,,
25,748657,11.33,,AAH,Skud reddet,VF,6,Sebastian BARTHOLD,,,,30,Svend RUGHAVE
26,748657,12.13,7-6,MTH,Mål,ST,15,Henrik Toft HANSEN,Assist,7,Nichlas HALD,12,Fabian NORSTEN
27,748657,12.45,7-7,AAH,Mål,PL,14,Mads HOXER,,,,30,Svend RUGHAVE
28,748657,13.26,8-7,MTH,Mål,PL,7,Nichlas HALD,,,,12,Fabian NORSTEN
29,748657,13.39,8-8,AAH,Mål,PL,14,Mads HOXER,,,,30,Svend RUGHAVE
30,748657,14.43,9-8,MTH,Mål,Gbr,9,Kristoffer VESTERGAARD,Assist,7,Nichlas HALD,12,Fabian NORSTEN
31,748657,15.27,9-9,AAH,Mål,Gbr,18,Aleks VLAH,,,,30,Svend RUGHAVE
32,748657,15.36,10-9,MTH,Mål,2:e,7,Nichlas HALD,,,,32,Anton HELLBERG
33,748657,15.48,10-10,AAH,Mål,1:e,6,Sebastian BARTHOLD,Assist,9,Miguel MARTINS,30,Svend RUGHAVE
34,748657,16.28,11-10,MTH,Mål,VF,23,Henrik TILSTED,Assist,21,Marcus MIDTGAARD,32,Anton HELLBERG
35,748657,16.39,,AAH,Skud reddet,HB,14,Mads HOXER,,,,30,Svend RUGHAVE
36,748657,16.48,12-10,MTH,Mål,2:e,7,Nichlas HALD,,,,32,Anton HELLBERG
37,748657,16.58,,AAH,Time out,,,,,,,,
38,748657,17.15,,AAH,Skud reddet,Gbr,14,Mads HOXER,,,,30,Svend RUGHAVE
39,748657,17.28,,MTH,Skud forbi,PL,7,Nichlas HALD,,,,32,Anton HELLBERG
40,748657,17.42,,AAH,Fejlaflevering,,9,Miguel MARTINS,,,,,
41,748657,17.46,13-10,MTH,Mål,1:e,17,Malthe BULL,Assist,21,Marcus MIDTGAARD,32,Anton HELLBERG
42,748657,18.25,13-11,AAH,Mål,PL,9,Miguel MARTINS,,,,30,Svend RUGHAVE
43,748657,19.24,14-11,MTH,Mål,VF,25,Magnus NORLYK,Assist,21,Marcus MIDTGAARD,32,Anton HELLBERG
44,748657,20.03,,AAH,Fejlaflevering,,15,Jack THURIN,Bold erobret,21,Marcus MIDTGAARD,,
45,748657,20.09,15-11,MTH,Mål,1:e,25,Magnus NORLYK,Assist,21,Marcus MIDTGAARD,32,Anton HELLBERG
46,748657,20.36,15-12,AAH,Mål,Gbr,18,Aleks VLAH,,,,30,Svend RUGHAVE
47,748657,21.05,,AAH,Udvisning,,22,Rene ANTONSEN,,,,,
48,748657,21.27,16-12,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,7,Nichlas HALD,32,Anton HELLBERG
49,748657,22.03,,AAH,Skud reddet,Gbr,15,Jack THURIN,,,,30,Svend RUGHAVE
50,748657,22.12,17-12,MTH,Mål,2:e,7,Nichlas HALD,,,,0,
