id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748658,0.00,,,Start 1:e halvleg,,,,,,,,
2,748658,0.43,0-1,SAH,Mål,Gbr,20,Morten BALLING,,,,16,Christian WETCHE
3,748658,1.27,,GIF,Tilkendt straffe,,21,Kristoffer VESTERGAARD,Forårs. str.,20,Morten BALLING,,
4,748658,1.44,1-1,GIF,Mål på straffe,,15,Jonas FUGLSBJERG,,,,12,Magnus BRANDBYGE
5,748658,2.21,1-2,SAH,Mål,ST,5,Frederik ARNOLDSEN,Assist,3,Kristjan ÖRN KRISTJANSSON,16,Christian WETCHE
6,748658,2.57,,GIF,Skud reddet,Gbr,21,Kristoffer VESTERGAARD,,,,12,Magnus BRANDBYGE
7,748658,3.37,1-3,SAH,Mål,PL,20,Morten BALLING,,,,16,Christian WETCHE
8,748658,4.08,,GIF,Skud reddet,Gbr,21,Kristoffer VESTERGAARD,,,,12,Magnus BRANDBYGE
9,748658,4.45,,SAH,Skud reddet,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,16,Christian WETCHE
10,748658,4.53,2-3,GIF,Mål,2:e,15,Jonas FUGLSBJERG,,,,12,Magnus BRANDBYGE
11,748658,4.54,,SAH,Udvisning,,6,Kristian BONEFELD,,,,,
12,748658,5.24,,SAH,Skud reddet,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,16,Christian WETCHE
13,748658,5.28,3-3,GIF,Mål,1:e,4,Frederik NIELSEN,,,,,
14,748658,6.32,,SAH,Tilkendt straffe,,5,Frederik ARNOLDSEN,Forårs. str.,8,Rolf RAVN,,
15,748658,6.40,,SAH,Straffekast reddet,,23,Morten Hempel JENSEN,,,,16,Christian WETCHE
16,748658,6.57,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
17,748658,7.25,3-4,SAH,Mål,PL,20,Morten BALLING,,,,16,Christian WETCHE
18,748658,8.21,4-4,GIF,Mål,HF,7,Jakob VILLEMOES,Assist,21,Kristoffer VESTERGAARD,12,Magnus BRANDBYGE
19,748658,9.06,,GIF,Advarsel,,11,Kristoffer JESSEN,,,,,
20,748658,9.18,,SAH,Fejlaflevering,,3,Kristjan ÖRN KRISTJANSSON,,,,,
21,748658,9.49,,GIF,Tabt bold,,4,Frederik NIELSEN,,,,,
22,748658,10.23,,SAH,Skud på stolpe,PL,15,Emil LÆRKE,,,,16,Christian WETCHE
23,748658,10.36,5-4,GIF,Mål,2:e,7,Jakob VILLEMOES,Assist,15,Jonas FUGLSBJERG,12,Magnus BRANDBYGE
24,748658,11.34,,SAH,Skud blokeret,PL,15,Emil LÆRKE,Blokeret af,8,Rolf RAVN,,
25,748658,12.03,,GIF,Skud reddet,PL,15,Jonas FUGLSBJERG,,,,12,Magnus BRANDBYGE
26,748658,12.14,5-5,SAH,Mål,2:e,3,Kristjan ÖRN KRISTJANSSON,,,,16,Christian WETCHE
27,748658,12.37,,GIF,Tilkendt straffe,,4,Frederik NIELSEN,Forårs. str.,11,Mikkel LANG,,
28,748658,12.53,,GIF,Straffekast reddet,,15,Jonas FUGLSBJERG,,,,12,Magnus BRANDBYGE
29,748658,13.24,,SAH,Skud reddet,ST,5,Frederik ARNOLDSEN,,,,16,Christian WETCHE
30,748658,14.39,,SAH,Udvisning,,5,Frederik ARNOLDSEN,,,,,
31,748658,14.54,6-5,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,,,,12,Magnus BRANDBYGE
32,748658,15.44,6-6,SAH,Mål,PL,15,Emil LÆRKE,,,,16,Christian WETCHE
33,748658,16.19,7-6,GIF,Mål,HB,5,Daniel JØRGENSEN,,,,12,Magnus BRANDBYGE
34,748658,17.19,,SAH,Skud reddet,VB,15,Emil LÆRKE,,,,16,Christian WETCHE
35,748658,18.18,,GIF,Skud blokeret,PL,21,Kristoffer VESTERGAARD,Blokeret af,28,Morten KAALUND,,
36,748658,18.52,7-7,SAH,Mål,ST,28,Morten KAALUND,Assist,32,Fredrik OLSSON,16,Christian WETCHE
37,748658,19.32,,GIF,Regelfejl,,15,Jonas FUGLSBJERG,,,,,
38,748658,20.55,,SAH,Skud reddet,VB,23,Morten Hempel JENSEN,,,,16,Christian WETCHE
39,748658,21.02,,GIF,Time out,,,,,,,,
40,748658,21.22,,SAH,Udvisning,,6,Kristian BONEFELD,,,,,
41,748658,21.54,,GIF,Skud forbi,VF,20,Frederik IVERSEN,,,,12,Magnus BRANDBYGE
42,748658,22.28,,SAH,Tilkendt straffe,,20,Morten BALLING,Forårs. str.,20,Frederik IVERSEN,,
43,748658,22.33,7-8,SAH,Mål på straffe,,25,Jeppe CIESLAK,,,,16,Christian WETCHE
44,748658,22.59,,GIF,Fejlaflevering,,5,Daniel JØRGENSEN,,,,,
45,748658,23.20,,SAH,Time out,,,,,,,,
46,748658,24.07,7-9,SAH,Mål,Gbr,32,Fredrik OLSSON,,,,16,Christian WETCHE
47,748658,24.47,,GIF,Skud på stolpe,HF,7,Jakob VILLEMOES,,,,12,Magnus BRANDBYGE
48,748658,25.20,,SAH,Skud forbi,Gbr,20,Morten BALLING,,,,16,Christian WETCHE
49,748658,25.59,,GIF,Skud reddet,Gbr,5,Daniel JØRGENSEN,,,,12,Magnus BRANDBYGE
50,748658,26.11,7-10,SAH,Mål,2:e,15,Emil LÆRKE,,,,16,Christian WETCHE
51,748658,27.09,8-10,GIF,Mål,VB,23,Bjarke NYBO,,,,12,Magnus BRANDBYGE
52,748658,27.40,,SAH,Skud reddet,Gbr,32,Fredrik OLSSON,,,,16,Christian WETCHE
53,748658,27.51,,GIF,Tabt bold,,5,Daniel JØRGENSEN,,,,,
54,748658,28.43,,SAH,Regelfejl,,11,Mikkel LANG,,,,,
55,748658,29.16,9-10,GIF,Mål,HB,23,Bjarke NYBO,,,,12,Magnus BRANDBYGE
56,748658,29.50,,SAH,Skud reddet,Gbr,32,Fredrik OLSSON,,,,16,Christian WETCHE
57,748658,29.57,10-10,GIF,Mål,2:e,4,Frederik NIELSEN,,,,12,Magnus BRANDBYGE
58,748658,30.00,10-10,,Halvleg,,,,,,,,
59,748658,30.00,,,Start 2:e halvleg,,,,,,,,
60,748658,30.55,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
61,748658,31.02,10-11,SAH,Mål,2:e,15,Emil LÆRKE,,,,16,Christian WETCHE
62,748658,31.02,,GIF,Udvisning,,4,Frederik NIELSEN,,,,,
