id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748663,0.00,,,Start 1:e halvleg,,,,,,,,
2,748663,0.31,0-1,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,,,,1,Matthias DORGELO
3,748663,0.41,1-1,SJE,Mål,2:e,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,1,Sebastian FRANDSEN
4,748663,0.52,1-2,FHK,Mål,2:e,97,Reinier TABOADA,,,,1,Matthias DORGELO
5,748663,1.24,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,,,,,
6,748663,1.32,1-3,FHK,Mål,1:e,97,Reinier TABOADA,,,,1,Matthias DORGELO
7,748663,2.20,,SJE,Tilkendt straffe,,23,Tobias OLSEN,Forårs. str.,9,Martin BISGAARD,,
8,748663,2.36,,FHK,Advarsel,,9,Martin BISGAARD,,,,,
9,748663,2.44,2-3,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,1,Sebastian FRANDSEN
10,748663,3.28,,FHK,Skud reddet,ST,41,Evgeni PEVNOV,Retur,0,,1,Matthias DORGELO
11,748663,3.54,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,,,,,
12,748663,4.01,3-3,SJE,Mål,1:e,28,Patrick VOLZ,,,,1,Sebastian FRANDSEN
13,748663,5.08,3-4,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,,,,1,Matthias DORGELO
14,748663,5.30,,SJE,Regelfejl,,23,Tobias OLSEN,,,,,
15,748663,5.40,3-5,FHK,Mål,2:e,9,Martin BISGAARD,Assist,31,William ANDERSSON MOBERG1,1,Matthias DORGELO
16,748663,6.29,,SJE,Tilkendt straffe,,20,August WIGER,Forårs. str.,97,Reinier TABOADA,,
17,748663,6.42,4-5,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,16,Thorsten FRIES
18,748663,7.15,,FHK,Regelfejl,,4,Nikolaj NIELSEN,,,,,
19,748663,7.22,,SJE,Skud reddet,1:e,14,Jacob BAGERSTED,,,,1,Sebastian FRANDSEN
20,748663,7.57,,SJE,Advarsel,,29,Magnus FREDRIKSEN,,,,,
21,748663,8.20,4-6,FHK,Mål,Gbr,97,Reinier TABOADA,,,,1,Matthias DORGELO
22,748663,9.07,,SJE,Regelfejl,,29,Magnus FREDRIKSEN,,,,,
23,748663,9.15,,FHK,Skud reddet,1:e,7,Kasper YOUNG,,,,1,Matthias DORGELO
24,748663,10.16,,SJE,Regelfejl,,18,Morten BJØRNSHAUGE,,,,,
25,748663,10.53,,FHK,Skud forbi,HB,93,Anders MARTINUSEN,,,,1,Matthias DORGELO
26,748663,11.01,5-6,SJE,Mål,1:e,28,Patrick VOLZ,Assist,,,1,Matthias DORGELO
27,748663,11.45,5-7,FHK,Mål,Gbr,97,Reinier TABOADA,Assist,93,Anders MARTINUSEN,1,Matthias DORGELO
28,748663,11.57,,SJE,Skud reddet,2:e,28,Patrick VOLZ,,,,1,Sebastian FRANDSEN
29,748663,11.57,,SJE,Udvisning,,28,Patrick VOLZ,,,,,
30,748663,12.19,5-8,FHK,Mål,Gbr,93,Anders MARTINUSEN,Assist,97,Reinier TABOADA,1,Matthias DORGELO
31,748663,13.22,,SJE,Skud reddet,VB,11,Nicolaj JØRGENSEN,,,,1,Sebastian FRANDSEN
32,748663,13.51,5-9,FHK,Mål,VF,9,Martin BISGAARD,Assist,93,Anders MARTINUSEN,1,Matthias DORGELO
33,748663,14.32,6-9,SJE,Mål,HF,33,Ebbe STANKIEWICZ,Assist,23,Tobias OLSEN,1,Sebastian FRANDSEN
34,748663,14.44,,FHK,Skud reddet,HF,7,Kasper YOUNG,,,,1,Matthias DORGELO
35,748663,14.54,7-9,SJE,Mål,2:e,33,Ebbe STANKIEWICZ,Assist,23,Tobias OLSEN,1,Sebastian FRANDSEN
36,748663,15.25,7-10,FHK,Mål,Gbr,97,Reinier TABOADA,,,,1,Matthias DORGELO
37,748663,16.06,8-10,SJE,Mål,Gbr,20,August WIGER,,,,1,Sebastian FRANDSEN
38,748663,16.18,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,,,,,
39,748663,17.06,,SJE,Tilkendt straffe,,23,Tobias OLSEN,Forårs. str.,23,Einar ÓLAFSSON,,
40,748663,17.17,,FHK,Advarsel,,23,Einar ÓLAFSSON,,,,,
